EPOCH=001, Accuracy=41.020%, Adv_Accuracy=38.300%
EPOCH=002, Accuracy=49.740%, Adv_Accuracy=44.800%
EPOCH=003, Accuracy=54.140%, Adv_Accuracy=54.800%
EPOCH=004, Accuracy=62.120%, Adv_Accuracy=50.100%
EPOCH=005, Accuracy=65.770%, Adv_Accuracy=49.400%
EPOCH=006, Accuracy=67.840%, Adv_Accuracy=54.400%
EPOCH=007, Accuracy=68.850%, Adv_Accuracy=52.900%
EPOCH=008, Accuracy=68.360%, Adv_Accuracy=47.500%
EPOCH=009, Accuracy=74.950%, Adv_Accuracy=58.600%
EPOCH=010, Accuracy=74.680%, Adv_Accuracy=54.900%
EPOCH=011, Accuracy=73.030%, Adv_Accuracy=53.400%
EPOCH=012, Accuracy=78.280%, Adv_Accuracy=55.100%
EPOCH=013, Accuracy=75.330%, Adv_Accuracy=57.700%
EPOCH=014, Accuracy=78.030%, Adv_Accuracy=54.900%
EPOCH=015, Accuracy=79.630%, Adv_Accuracy=58.200%
EPOCH=016, Accuracy=80.010%, Adv_Accuracy=56.800%
EPOCH=017, Accuracy=79.280%, Adv_Accuracy=53.000%
EPOCH=018, Accuracy=80.080%, Adv_Accuracy=53.400%
EPOCH=019, Accuracy=80.670%, Adv_Accuracy=54.700%
EPOCH=020, Accuracy=80.960%, Adv_Accuracy=52.100%
EPOCH=021, Accuracy=80.250%, Adv_Accuracy=52.800%
EPOCH=022, Accuracy=80.700%, Adv_Accuracy=53.400%
EPOCH=023, Accuracy=81.700%, Adv_Accuracy=55.100%
EPOCH=024, Accuracy=81.910%, Adv_Accuracy=54.000%
EPOCH=025, Accuracy=81.150%, Adv_Accuracy=49.100%
EPOCH=026, Accuracy=83.470%, Adv_Accuracy=55.100%
EPOCH=027, Accuracy=80.630%, Adv_Accuracy=48.300%
EPOCH=028, Accuracy=82.440%, Adv_Accuracy=51.200%
EPOCH=029, Accuracy=83.580%, Adv_Accuracy=47.800%
EPOCH=030, Accuracy=82.260%, Adv_Accuracy=53.100%
EPOCH=031, Accuracy=80.050%, Adv_Accuracy=47.300%
EPOCH=032, Accuracy=83.310%, Adv_Accuracy=49.600%
EPOCH=033, Accuracy=82.940%, Adv_Accuracy=50.600%
EPOCH=034, Accuracy=82.510%, Adv_Accuracy=46.600%
EPOCH=035, Accuracy=85.050%, Adv_Accuracy=50.500%
EPOCH=036, Accuracy=83.870%, Adv_Accuracy=53.000%
EPOCH=037, Accuracy=84.590%, Adv_Accuracy=54.500%
EPOCH=038, Accuracy=83.750%, Adv_Accuracy=48.100%
EPOCH=039, Accuracy=82.450%, Adv_Accuracy=47.700%
EPOCH=040, Accuracy=82.510%, Adv_Accuracy=49.500%
EPOCH=041, Accuracy=84.350%, Adv_Accuracy=47.300%
EPOCH=042, Accuracy=83.810%, Adv_Accuracy=50.000%
EPOCH=043, Accuracy=84.290%, Adv_Accuracy=52.000%
EPOCH=044, Accuracy=84.680%, Adv_Accuracy=49.700%
EPOCH=045, Accuracy=84.260%, Adv_Accuracy=52.800%
EPOCH=046, Accuracy=84.950%, Adv_Accuracy=51.500%
EPOCH=047, Accuracy=86.060%, Adv_Accuracy=54.600%
EPOCH=048, Accuracy=84.200%, Adv_Accuracy=49.800%
EPOCH=049, Accuracy=85.670%, Adv_Accuracy=50.100%
EPOCH=050, Accuracy=81.520%, Adv_Accuracy=46.600%
EPOCH=051, Accuracy=83.490%, Adv_Accuracy=44.800%
EPOCH=052, Accuracy=85.510%, Adv_Accuracy=51.200%
EPOCH=053, Accuracy=84.390%, Adv_Accuracy=45.000%
EPOCH=054, Accuracy=85.040%, Adv_Accuracy=51.600%
EPOCH=055, Accuracy=85.020%, Adv_Accuracy=48.800%
EPOCH=056, Accuracy=85.740%, Adv_Accuracy=47.600%
EPOCH=057, Accuracy=84.980%, Adv_Accuracy=46.300%
EPOCH=058, Accuracy=84.610%, Adv_Accuracy=46.500%
EPOCH=059, Accuracy=85.720%, Adv_Accuracy=48.500%
EPOCH=060, Accuracy=85.490%, Adv_Accuracy=47.900%
EPOCH=061, Accuracy=85.220%, Adv_Accuracy=47.700%
EPOCH=062, Accuracy=86.190%, Adv_Accuracy=49.100%
EPOCH=063, Accuracy=85.750%, Adv_Accuracy=50.300%
EPOCH=064, Accuracy=86.280%, Adv_Accuracy=51.700%
EPOCH=065, Accuracy=84.190%, Adv_Accuracy=45.000%
EPOCH=066, Accuracy=82.900%, Adv_Accuracy=46.900%
EPOCH=067, Accuracy=85.500%, Adv_Accuracy=49.900%
EPOCH=068, Accuracy=86.190%, Adv_Accuracy=49.200%
EPOCH=069, Accuracy=85.470%, Adv_Accuracy=49.000%
EPOCH=070, Accuracy=85.300%, Adv_Accuracy=44.900%
EPOCH=071, Accuracy=85.950%, Adv_Accuracy=47.200%
EPOCH=072, Accuracy=85.660%, Adv_Accuracy=51.200%
EPOCH=073, Accuracy=85.150%, Adv_Accuracy=49.000%
EPOCH=074, Accuracy=82.660%, Adv_Accuracy=46.300%
EPOCH=075, Accuracy=85.740%, Adv_Accuracy=48.200%
EPOCH=076, Accuracy=86.290%, Adv_Accuracy=49.000%
EPOCH=077, Accuracy=84.120%, Adv_Accuracy=43.000%
EPOCH=078, Accuracy=86.240%, Adv_Accuracy=46.300%
EPOCH=079, Accuracy=85.810%, Adv_Accuracy=45.400%
EPOCH=080, Accuracy=84.290%, Adv_Accuracy=44.600%
EPOCH=081, Accuracy=85.860%, Adv_Accuracy=49.500%
EPOCH=082, Accuracy=86.580%, Adv_Accuracy=47.100%
EPOCH=083, Accuracy=85.560%, Adv_Accuracy=47.300%
EPOCH=084, Accuracy=85.920%, Adv_Accuracy=48.700%
EPOCH=085, Accuracy=85.820%, Adv_Accuracy=46.200%
EPOCH=086, Accuracy=87.460%, Adv_Accuracy=47.600%
EPOCH=087, Accuracy=85.740%, Adv_Accuracy=45.700%
EPOCH=088, Accuracy=85.560%, Adv_Accuracy=45.000%
EPOCH=089, Accuracy=84.710%, Adv_Accuracy=47.900%
EPOCH=090, Accuracy=84.250%, Adv_Accuracy=47.400%
EPOCH=091, Accuracy=86.440%, Adv_Accuracy=50.100%
EPOCH=092, Accuracy=86.060%, Adv_Accuracy=49.500%
EPOCH=093, Accuracy=87.880%, Adv_Accuracy=49.600%
EPOCH=094, Accuracy=85.910%, Adv_Accuracy=46.600%
EPOCH=095, Accuracy=85.490%, Adv_Accuracy=48.200%
EPOCH=096, Accuracy=85.450%, Adv_Accuracy=49.300%
EPOCH=097, Accuracy=86.280%, Adv_Accuracy=45.300%
EPOCH=098, Accuracy=87.330%, Adv_Accuracy=50.100%
EPOCH=099, Accuracy=85.070%, Adv_Accuracy=46.900%
EPOCH=100, Accuracy=86.180%, Adv_Accuracy=48.300%
EPOCH=101, Accuracy=87.420%, Adv_Accuracy=48.900%
EPOCH=102, Accuracy=83.230%, Adv_Accuracy=45.500%
EPOCH=103, Accuracy=86.560%, Adv_Accuracy=46.100%
EPOCH=104, Accuracy=86.040%, Adv_Accuracy=47.500%
EPOCH=105, Accuracy=86.490%, Adv_Accuracy=44.200%
EPOCH=106, Accuracy=85.780%, Adv_Accuracy=48.600%
EPOCH=107, Accuracy=86.090%, Adv_Accuracy=44.400%
EPOCH=108, Accuracy=86.490%, Adv_Accuracy=47.400%
EPOCH=109, Accuracy=85.440%, Adv_Accuracy=43.400%
