EPOCH=081, Accuracy=94.790%, Adv_Accuracy=50.100%
EPOCH=082, Accuracy=95.610%, Adv_Accuracy=53.400%
EPOCH=083, Accuracy=95.760%, Adv_Accuracy=51.800%
EPOCH=084, Accuracy=95.860%, Adv_Accuracy=52.800%
EPOCH=085, Accuracy=96.070%, Adv_Accuracy=51.700%
EPOCH=086, Accuracy=96.020%, Adv_Accuracy=53.200%
EPOCH=087, Accuracy=96.290%, Adv_Accuracy=54.100%
EPOCH=088, Accuracy=96.460%, Adv_Accuracy=54.600%
EPOCH=089, Accuracy=96.430%, Adv_Accuracy=52.000%
EPOCH=090, Accuracy=96.390%, Adv_Accuracy=52.000%
EPOCH=091, Accuracy=96.370%, Adv_Accuracy=52.800%
EPOCH=092, Accuracy=96.450%, Adv_Accuracy=52.300%
EPOCH=093, Accuracy=96.410%, Adv_Accuracy=53.100%
EPOCH=094, Accuracy=96.530%, Adv_Accuracy=51.500%
EPOCH=095, Accuracy=96.620%, Adv_Accuracy=53.300%
EPOCH=096, Accuracy=96.650%, Adv_Accuracy=52.800%
EPOCH=097, Accuracy=96.470%, Adv_Accuracy=52.300%
EPOCH=098, Accuracy=96.560%, Adv_Accuracy=53.600%
EPOCH=099, Accuracy=96.710%, Adv_Accuracy=52.700%
EPOCH=100, Accuracy=96.510%, Adv_Accuracy=53.400%
