EPOCH=001, Accuracy=41.040%, Adv_Accuracy=39.400%, FGSM_Accuracy=24.280%, PGD_Accuracy=23.7000%
EPOCH=002, Accuracy=54.680%, Adv_Accuracy=49.100%, FGSM_Accuracy=26.800%, PGD_Accuracy=27.4300%
EPOCH=003, Accuracy=58.620%, Adv_Accuracy=51.100%, FGSM_Accuracy=30.810%, PGD_Accuracy=31.6300%
EPOCH=004, Accuracy=62.590%, Adv_Accuracy=52.700%, FGSM_Accuracy=35.570%, PGD_Accuracy=36.2900%
EPOCH=005, Accuracy=69.680%, Adv_Accuracy=57.100%, FGSM_Accuracy=39.860%, PGD_Accuracy=41.3000%
EPOCH=006, Accuracy=71.850%, Adv_Accuracy=57.100%, FGSM_Accuracy=38.100%, PGD_Accuracy=38.4200%
EPOCH=007, Accuracy=72.960%, Adv_Accuracy=60.600%, FGSM_Accuracy=33.550%, PGD_Accuracy=33.9500%
EPOCH=008, Accuracy=75.430%, Adv_Accuracy=58.600%, FGSM_Accuracy=31.510%, PGD_Accuracy=32.4900%
EPOCH=009, Accuracy=73.080%, Adv_Accuracy=53.600%, FGSM_Accuracy=27.770%, PGD_Accuracy=28.6500%
EPOCH=010, Accuracy=78.380%, Adv_Accuracy=59.800%, FGSM_Accuracy=36.500%, PGD_Accuracy=37.8900%
EPOCH=011, Accuracy=78.280%, Adv_Accuracy=56.400%, FGSM_Accuracy=41.650%, PGD_Accuracy=42.7000%
EPOCH=012, Accuracy=79.740%, Adv_Accuracy=59.300%, FGSM_Accuracy=39.830%, PGD_Accuracy=40.3000%
EPOCH=013, Accuracy=75.390%, Adv_Accuracy=52.200%, FGSM_Accuracy=42.320%, PGD_Accuracy=44.0100%
EPOCH=014, Accuracy=81.490%, Adv_Accuracy=57.600%, FGSM_Accuracy=43.740%, PGD_Accuracy=45.5300%
EPOCH=015, Accuracy=80.410%, Adv_Accuracy=52.300%, FGSM_Accuracy=43.910%, PGD_Accuracy=44.4000%
EPOCH=016, Accuracy=79.680%, Adv_Accuracy=55.300%, FGSM_Accuracy=34.270%, PGD_Accuracy=36.0700%
EPOCH=017, Accuracy=81.000%, Adv_Accuracy=53.100%, FGSM_Accuracy=36.200%, PGD_Accuracy=36.9700%
EPOCH=018, Accuracy=80.490%, Adv_Accuracy=56.800%, FGSM_Accuracy=37.490%, PGD_Accuracy=39.6900%
EPOCH=019, Accuracy=81.620%, Adv_Accuracy=57.900%, FGSM_Accuracy=35.660%, PGD_Accuracy=36.5300%
EPOCH=020, Accuracy=82.470%, Adv_Accuracy=57.600%, FGSM_Accuracy=38.010%, PGD_Accuracy=39.1600%
EPOCH=021, Accuracy=81.630%, Adv_Accuracy=47.600%, FGSM_Accuracy=40.440%, PGD_Accuracy=42.9600%
EPOCH=022, Accuracy=84.780%, Adv_Accuracy=53.300%, FGSM_Accuracy=42.730%, PGD_Accuracy=43.8800%
EPOCH=023, Accuracy=82.680%, Adv_Accuracy=50.100%, FGSM_Accuracy=42.880%, PGD_Accuracy=44.6100%
