081  31281 |Loss: 0.123 | Acc: 95.312% 
081  31282 |Loss: 0.139 | Acc: 94.922% 
081  31283 |Loss: 0.132 | Acc: 94.792% 
081  31284 |Loss: 0.160 | Acc: 93.945% 
081  31285 |Loss: 0.175 | Acc: 93.281% 
081  31286 |Loss: 0.179 | Acc: 93.099% 
081  31287 |Loss: 0.180 | Acc: 93.304% 
081  31288 |Loss: 0.176 | Acc: 93.457% 
081  31289 |Loss: 0.172 | Acc: 93.576% 
081  31290 |Loss: 0.176 | Acc: 93.281% 
081  31291 |Loss: 0.185 | Acc: 92.969% 
081  31292 |Loss: 0.183 | Acc: 93.164% 
081  31293 |Loss: 0.190 | Acc: 92.849% 
081  31294 |Loss: 0.187 | Acc: 93.025% 
081  31295 |Loss: 0.183 | Acc: 93.125% 
081  31296 |Loss: 0.187 | Acc: 93.018% 
081  31297 |Loss: 0.190 | Acc: 92.923% 
081  31298 |Loss: 0.192 | Acc: 92.969% 
081  31299 |Loss: 0.190 | Acc: 93.092% 
081  31300 |Loss: 0.187 | Acc: 93.125% 
081  31301 |Loss: 0.192 | Acc: 93.080% 
081  31302 |Loss: 0.188 | Acc: 93.182% 
081  31303 |Loss: 0.189 | Acc: 93.308% 
081  31304 |Loss: 0.191 | Acc: 93.229% 
081  31305 |Loss: 0.196 | Acc: 93.188% 
081  31306 |Loss: 0.194 | Acc: 93.209% 
081  31307 |Loss: 0.192 | Acc: 93.316% 
081  31308 |Loss: 0.191 | Acc: 93.387% 
081  31309 |Loss: 0.191 | Acc: 93.481% 
081  31310 |Loss: 0.193 | Acc: 93.490% 
081  31311 |Loss: 0.193 | Acc: 93.498% 
081  31312 |Loss: 0.194 | Acc: 93.506% 
081  31313 |Loss: 0.195 | Acc: 93.466% 
081  31314 |Loss: 0.195 | Acc: 93.497% 
081  31315 |Loss: 0.195 | Acc: 93.438% 
081  31316 |Loss: 0.195 | Acc: 93.446% 
081  31317 |Loss: 0.194 | Acc: 93.560% 
081  31318 |Loss: 0.199 | Acc: 93.421% 
081  31319 |Loss: 0.199 | Acc: 93.409% 
081  31320 |Loss: 0.201 | Acc: 93.242% 
081  31321 |Loss: 0.200 | Acc: 93.255% 
081  31322 |Loss: 0.198 | Acc: 93.322% 
081  31323 |Loss: 0.201 | Acc: 93.259% 
081  31324 |Loss: 0.201 | Acc: 93.271% 
081  31325 |Loss: 0.202 | Acc: 93.229% 
081  31326 |Loss: 0.200 | Acc: 93.325% 
081  31327 |Loss: 0.199 | Acc: 93.351% 
081  31328 |Loss: 0.198 | Acc: 93.392% 
081  31329 |Loss: 0.198 | Acc: 93.367% 
081  31330 |Loss: 0.197 | Acc: 93.359% 
081  31331 |Loss: 0.197 | Acc: 93.398% 
081  31332 |Loss: 0.198 | Acc: 93.374% 
081  31333 |Loss: 0.198 | Acc: 93.352% 
081  31334 |Loss: 0.201 | Acc: 93.244% 
081  31335 |Loss: 0.199 | Acc: 93.310% 
081  31336 |Loss: 0.199 | Acc: 93.262% 
081  31337 |Loss: 0.200 | Acc: 93.202% 
081  31338 |Loss: 0.199 | Acc: 93.238% 
081  31339 |Loss: 0.198 | Acc: 93.273% 
081  31340 |Loss: 0.199 | Acc: 93.216% 
081  31341 |Loss: 0.200 | Acc: 93.161% 
081  31342 |Loss: 0.199 | Acc: 93.221% 
081  31343 |Loss: 0.202 | Acc: 93.180% 
081  31344 |Loss: 0.202 | Acc: 93.152% 
081  31345 |Loss: 0.203 | Acc: 93.101% 
081  31346 |Loss: 0.202 | Acc: 93.158% 
081  31347 |Loss: 0.204 | Acc: 93.144% 
081  31348 |Loss: 0.203 | Acc: 93.141% 
081  31349 |Loss: 0.205 | Acc: 93.071% 
081  31350 |Loss: 0.205 | Acc: 93.092% 
081  31351 |Loss: 0.203 | Acc: 93.189% 
081  31352 |Loss: 0.203 | Acc: 93.207% 
081  31353 |Loss: 0.202 | Acc: 93.247% 
081  31354 |Loss: 0.201 | Acc: 93.296% 
081  31355 |Loss: 0.201 | Acc: 93.292% 
081  31356 |Loss: 0.201 | Acc: 93.298% 
081  31357 |Loss: 0.202 | Acc: 93.253% 
081  31358 |Loss: 0.203 | Acc: 93.209% 
081  31359 |Loss: 0.202 | Acc: 93.206% 
081  31360 |Loss: 0.202 | Acc: 93.223% 
081  31361 |Loss: 0.202 | Acc: 93.248% 
081  31362 |Loss: 0.201 | Acc: 93.264% 
081  31363 |Loss: 0.202 | Acc: 93.232% 
081  31364 |Loss: 0.202 | Acc: 93.211% 
081  31365 |Loss: 0.202 | Acc: 93.226% 
081  31366 |Loss: 0.202 | Acc: 93.160% 
081  31367 |Loss: 0.203 | Acc: 93.148% 
081  31368 |Loss: 0.203 | Acc: 93.129% 
081  31369 |Loss: 0.203 | Acc: 93.127% 
081  31370 |Loss: 0.202 | Acc: 93.151% 
081  31371 |Loss: 0.202 | Acc: 93.166% 
081  31372 |Loss: 0.202 | Acc: 93.147% 
081  31373 |Loss: 0.202 | Acc: 93.170% 
081  31374 |Loss: 0.201 | Acc: 93.185% 
081  31375 |Loss: 0.201 | Acc: 93.199% 
081  31376 |Loss: 0.200 | Acc: 93.229% 
081  31377 |Loss: 0.200 | Acc: 93.226% 
081  31378 |Loss: 0.199 | Acc: 93.248% 
081  31379 |Loss: 0.199 | Acc: 93.237% 
081  31380 |Loss: 0.199 | Acc: 93.242% 
081  31381 |Loss: 0.199 | Acc: 93.247% 
081  31382 |Loss: 0.200 | Acc: 93.206% 
081  31383 |Loss: 0.200 | Acc: 93.211% 
081  31384 |Loss: 0.200 | Acc: 93.224% 
081  31385 |Loss: 0.200 | Acc: 93.229% 
081  31386 |Loss: 0.201 | Acc: 93.160% 
081  31387 |Loss: 0.201 | Acc: 93.180% 
