001  00001 |Loss: 2.504 | Acc: 6.250% 
001  00002 |Loss: 2.424 | Acc: 9.766% 
001  00003 |Loss: 2.422 | Acc: 9.375% 
001  00004 |Loss: 2.400 | Acc: 9.766% 
001  00005 |Loss: 2.391 | Acc: 9.688% 
001  00006 |Loss: 2.379 | Acc: 10.286% 
001  00007 |Loss: 2.372 | Acc: 10.156% 
001  00008 |Loss: 2.371 | Acc: 10.645% 
001  00009 |Loss: 2.361 | Acc: 11.372% 
001  00010 |Loss: 2.355 | Acc: 11.797% 
001  00011 |Loss: 2.350 | Acc: 11.790% 
001  00012 |Loss: 2.341 | Acc: 11.979% 
001  00013 |Loss: 2.335 | Acc: 12.079% 
001  00014 |Loss: 2.330 | Acc: 11.998% 
001  00015 |Loss: 2.324 | Acc: 12.240% 
001  00016 |Loss: 2.315 | Acc: 12.695% 
001  00017 |Loss: 2.314 | Acc: 12.730% 
001  00018 |Loss: 2.310 | Acc: 12.674% 
001  00019 |Loss: 2.304 | Acc: 13.158% 
001  00020 |Loss: 2.300 | Acc: 13.320% 
001  00021 |Loss: 2.295 | Acc: 13.281% 
001  00022 |Loss: 2.293 | Acc: 13.423% 
001  00023 |Loss: 2.289 | Acc: 13.553% 
001  00024 |Loss: 2.284 | Acc: 13.704% 
001  00025 |Loss: 2.278 | Acc: 13.750% 
001  00026 |Loss: 2.273 | Acc: 14.002% 
001  00027 |Loss: 2.270 | Acc: 14.120% 
001  00028 |Loss: 2.269 | Acc: 14.090% 
001  00029 |Loss: 2.265 | Acc: 14.386% 
001  00030 |Loss: 2.258 | Acc: 14.766% 
001  00031 |Loss: 2.251 | Acc: 15.045% 
001  00032 |Loss: 2.246 | Acc: 15.234% 
001  00033 |Loss: 2.240 | Acc: 15.365% 
001  00034 |Loss: 2.237 | Acc: 15.602% 
001  00035 |Loss: 2.234 | Acc: 15.670% 
001  00036 |Loss: 2.227 | Acc: 15.972% 
001  00037 |Loss: 2.224 | Acc: 16.047% 
001  00038 |Loss: 2.220 | Acc: 16.283% 
001  00039 |Loss: 2.215 | Acc: 16.446% 
001  00040 |Loss: 2.211 | Acc: 16.484% 
001  00041 |Loss: 2.204 | Acc: 16.768% 
001  00042 |Loss: 2.199 | Acc: 17.020% 
001  00043 |Loss: 2.194 | Acc: 17.260% 
001  00044 |Loss: 2.192 | Acc: 17.383% 
001  00045 |Loss: 2.189 | Acc: 17.413% 
001  00046 |Loss: 2.183 | Acc: 17.561% 
001  00047 |Loss: 2.178 | Acc: 17.620% 
001  00048 |Loss: 2.173 | Acc: 17.855% 
001  00049 |Loss: 2.169 | Acc: 17.873% 
001  00050 |Loss: 2.165 | Acc: 17.938% 
001  00051 |Loss: 2.161 | Acc: 18.045% 
001  00052 |Loss: 2.157 | Acc: 18.044% 
001  00053 |Loss: 2.153 | Acc: 18.249% 
001  00054 |Loss: 2.149 | Acc: 18.519% 
001  00055 |Loss: 2.144 | Acc: 18.707% 
001  00056 |Loss: 2.140 | Acc: 18.862% 
001  00057 |Loss: 2.135 | Acc: 18.956% 
001  00058 |Loss: 2.132 | Acc: 19.141% 
001  00059 |Loss: 2.128 | Acc: 19.240% 
001  00060 |Loss: 2.125 | Acc: 19.440% 
001  00061 |Loss: 2.122 | Acc: 19.467% 
001  00062 |Loss: 2.119 | Acc: 19.569% 
001  00063 |Loss: 2.114 | Acc: 19.754% 
001  00064 |Loss: 2.111 | Acc: 19.861% 
001  00065 |Loss: 2.108 | Acc: 19.964% 
001  00066 |Loss: 2.105 | Acc: 20.111% 
001  00067 |Loss: 2.102 | Acc: 20.278% 
001  00068 |Loss: 2.098 | Acc: 20.370% 
001  00069 |Loss: 2.097 | Acc: 20.414% 
001  00070 |Loss: 2.093 | Acc: 20.603% 
001  00071 |Loss: 2.090 | Acc: 20.709% 
001  00072 |Loss: 2.089 | Acc: 20.844% 
001  00073 |Loss: 2.085 | Acc: 21.019% 
001  00074 |Loss: 2.083 | Acc: 21.083% 
001  00075 |Loss: 2.080 | Acc: 21.146% 
001  00076 |Loss: 2.077 | Acc: 21.279% 
001  00077 |Loss: 2.074 | Acc: 21.418% 
001  00078 |Loss: 2.072 | Acc: 21.484% 
001  00079 |Loss: 2.069 | Acc: 21.470% 
001  00080 |Loss: 2.066 | Acc: 21.592% 
001  00081 |Loss: 2.063 | Acc: 21.663% 
001  00082 |Loss: 2.060 | Acc: 21.742% 
001  00083 |Loss: 2.055 | Acc: 21.969% 
001  00084 |Loss: 2.053 | Acc: 22.098% 
001  00085 |Loss: 2.050 | Acc: 22.270% 
001  00086 |Loss: 2.048 | Acc: 22.411% 
001  00087 |Loss: 2.045 | Acc: 22.486% 
001  00088 |Loss: 2.042 | Acc: 22.603% 
001  00089 |Loss: 2.039 | Acc: 22.753% 
001  00090 |Loss: 2.035 | Acc: 22.873% 
001  00091 |Loss: 2.032 | Acc: 22.965% 
001  00092 |Loss: 2.030 | Acc: 23.072% 
001  00093 |Loss: 2.027 | Acc: 23.194% 
001  00094 |Loss: 2.025 | Acc: 23.354% 
001  00095 |Loss: 2.021 | Acc: 23.479% 
001  00096 |Loss: 2.019 | Acc: 23.519% 
001  00097 |Loss: 2.018 | Acc: 23.550% 
001  00098 |Loss: 2.015 | Acc: 23.605% 
001  00099 |Loss: 2.014 | Acc: 23.666% 
001  00100 |Loss: 2.012 | Acc: 23.703% 
001  00101 |Loss: 2.010 | Acc: 23.724% 
001  00102 |Loss: 2.009 | Acc: 23.752% 
001  00103 |Loss: 2.006 | Acc: 23.824% 
001  00104 |Loss: 2.003 | Acc: 23.851% 
001  00105 |Loss: 2.002 | Acc: 23.891% 
001  00106 |Loss: 2.000 | Acc: 23.990% 
001  00107 |Loss: 1.998 | Acc: 24.044% 
001  00108 |Loss: 1.997 | Acc: 24.175% 
001  00109 |Loss: 1.995 | Acc: 24.204% 
001  00110 |Loss: 1.994 | Acc: 24.297% 
001  00111 |Loss: 1.992 | Acc: 24.402% 
001  00112 |Loss: 1.990 | Acc: 24.491% 
001  00113 |Loss: 1.987 | Acc: 24.585% 
001  00114 |Loss: 1.986 | Acc: 24.644% 
001  00115 |Loss: 1.984 | Acc: 24.708% 
001  00116 |Loss: 1.983 | Acc: 24.751% 
001  00117 |Loss: 1.982 | Acc: 24.820% 
001  00118 |Loss: 1.979 | Acc: 24.954% 
001  00119 |Loss: 1.978 | Acc: 24.993% 
001  00120 |Loss: 1.974 | Acc: 25.104% 
001  00121 |Loss: 1.973 | Acc: 25.168% 
001  00122 |Loss: 1.972 | Acc: 25.154% 
001  00123 |Loss: 1.970 | Acc: 25.235% 
001  00124 |Loss: 1.969 | Acc: 25.284% 
001  00125 |Loss: 1.966 | Acc: 25.381% 
001  00126 |Loss: 1.965 | Acc: 25.415% 
001  00127 |Loss: 1.964 | Acc: 25.443% 
001  00128 |Loss: 1.963 | Acc: 25.452% 
001  00129 |Loss: 1.962 | Acc: 25.503% 
001  00130 |Loss: 1.961 | Acc: 25.517% 
001  00131 |Loss: 1.959 | Acc: 25.620% 
001  00132 |Loss: 1.958 | Acc: 25.627% 
001  00133 |Loss: 1.955 | Acc: 25.705% 
001  00134 |Loss: 1.954 | Acc: 25.717% 
001  00135 |Loss: 1.953 | Acc: 25.747% 
001  00136 |Loss: 1.951 | Acc: 25.798% 
001  00137 |Loss: 1.950 | Acc: 25.838% 
001  00138 |Loss: 1.947 | Acc: 25.917% 
001  00139 |Loss: 1.946 | Acc: 25.916% 
001  00140 |Loss: 1.946 | Acc: 25.971% 
001  00141 |Loss: 1.943 | Acc: 26.080% 
001  00142 |Loss: 1.942 | Acc: 26.155% 
001  00143 |Loss: 1.940 | Acc: 26.224% 
001  00144 |Loss: 1.939 | Acc: 26.313% 
001  00145 |Loss: 1.938 | Acc: 26.315% 
001  00146 |Loss: 1.937 | Acc: 26.391% 
001  00147 |Loss: 1.935 | Acc: 26.424% 
001  00148 |Loss: 1.933 | Acc: 26.510% 
001  00149 |Loss: 1.932 | Acc: 26.594% 
001  00150 |Loss: 1.931 | Acc: 26.661% 
001  00151 |Loss: 1.930 | Acc: 26.718% 
001  00152 |Loss: 1.929 | Acc: 26.748% 
001  00153 |Loss: 1.928 | Acc: 26.802% 
001  00154 |Loss: 1.926 | Acc: 26.867% 
001  00155 |Loss: 1.925 | Acc: 26.885% 
001  00156 |Loss: 1.923 | Acc: 26.933% 
001  00157 |Loss: 1.922 | Acc: 26.966% 
001  00158 |Loss: 1.921 | Acc: 27.008% 
001  00159 |Loss: 1.919 | Acc: 27.093% 
001  00160 |Loss: 1.917 | Acc: 27.188% 
001  00161 |Loss: 1.916 | Acc: 27.203% 
001  00162 |Loss: 1.914 | Acc: 27.262% 
001  00163 |Loss: 1.913 | Acc: 27.353% 
001  00164 |Loss: 1.913 | Acc: 27.372% 
