001  00001 |Loss: 2.711 | Acc: 10.156% 
001  00002 |Loss: 2.731 | Acc: 9.766% 
001  00003 |Loss: 2.657 | Acc: 11.198% 
001  00004 |Loss: 2.587 | Acc: 13.086% 
001  00005 |Loss: 2.544 | Acc: 12.344% 
001  00006 |Loss: 2.514 | Acc: 12.370% 
001  00007 |Loss: 2.491 | Acc: 11.942% 
001  00008 |Loss: 2.490 | Acc: 11.914% 
001  00009 |Loss: 2.485 | Acc: 12.066% 
001  00010 |Loss: 2.469 | Acc: 12.500% 
001  00011 |Loss: 2.452 | Acc: 13.352% 
001  00012 |Loss: 2.442 | Acc: 13.737% 
001  00013 |Loss: 2.427 | Acc: 13.762% 
001  00014 |Loss: 2.411 | Acc: 13.895% 
001  00015 |Loss: 2.396 | Acc: 14.167% 
001  00016 |Loss: 2.383 | Acc: 14.600% 
001  00017 |Loss: 2.375 | Acc: 14.706% 
001  00018 |Loss: 2.367 | Acc: 14.931% 
001  00019 |Loss: 2.356 | Acc: 15.173% 
001  00020 |Loss: 2.351 | Acc: 15.039% 
001  00021 |Loss: 2.342 | Acc: 15.216% 
001  00022 |Loss: 2.332 | Acc: 15.412% 
001  00023 |Loss: 2.324 | Acc: 15.625% 
001  00024 |Loss: 2.319 | Acc: 15.885% 
001  00025 |Loss: 2.312 | Acc: 15.969% 
001  00026 |Loss: 2.303 | Acc: 16.196% 
001  00027 |Loss: 2.295 | Acc: 16.435% 
001  00028 |Loss: 2.289 | Acc: 16.490% 
001  00029 |Loss: 2.285 | Acc: 16.622% 
001  00030 |Loss: 2.279 | Acc: 16.641% 
001  00031 |Loss: 2.277 | Acc: 16.784% 
001  00032 |Loss: 2.273 | Acc: 16.968% 
001  00033 |Loss: 2.267 | Acc: 17.188% 
001  00034 |Loss: 2.260 | Acc: 17.509% 
001  00035 |Loss: 2.256 | Acc: 17.656% 
001  00036 |Loss: 2.254 | Acc: 17.665% 
001  00037 |Loss: 2.252 | Acc: 17.758% 
001  00038 |Loss: 2.245 | Acc: 17.948% 
001  00039 |Loss: 2.237 | Acc: 18.169% 
001  00040 |Loss: 2.234 | Acc: 18.105% 
001  00041 |Loss: 2.232 | Acc: 18.045% 
001  00042 |Loss: 2.228 | Acc: 18.043% 
001  00043 |Loss: 2.224 | Acc: 18.187% 
001  00044 |Loss: 2.219 | Acc: 18.288% 
001  00045 |Loss: 2.218 | Acc: 18.333% 
001  00046 |Loss: 2.214 | Acc: 18.461% 
001  00047 |Loss: 2.212 | Acc: 18.384% 
001  00048 |Loss: 2.210 | Acc: 18.408% 
001  00049 |Loss: 2.206 | Acc: 18.479% 
001  00050 |Loss: 2.203 | Acc: 18.453% 
001  00051 |Loss: 2.198 | Acc: 18.490% 
001  00052 |Loss: 2.196 | Acc: 18.540% 
001  00053 |Loss: 2.191 | Acc: 18.662% 
001  00054 |Loss: 2.187 | Acc: 18.779% 
001  00055 |Loss: 2.182 | Acc: 18.750% 
001  00056 |Loss: 2.180 | Acc: 18.806% 
001  00057 |Loss: 2.176 | Acc: 18.914% 
001  00058 |Loss: 2.172 | Acc: 19.073% 
001  00059 |Loss: 2.170 | Acc: 19.200% 
001  00060 |Loss: 2.168 | Acc: 19.258% 
001  00061 |Loss: 2.162 | Acc: 19.365% 
001  00062 |Loss: 2.159 | Acc: 19.430% 
001  00063 |Loss: 2.157 | Acc: 19.432% 
001  00064 |Loss: 2.154 | Acc: 19.604% 
001  00065 |Loss: 2.151 | Acc: 19.712% 
001  00066 |Loss: 2.147 | Acc: 19.851% 
001  00067 |Loss: 2.145 | Acc: 19.928% 
001  00068 |Loss: 2.141 | Acc: 19.956% 
001  00069 |Loss: 2.139 | Acc: 20.052% 
001  00070 |Loss: 2.136 | Acc: 20.190% 
001  00071 |Loss: 2.134 | Acc: 20.257% 
001  00072 |Loss: 2.132 | Acc: 20.247% 
001  00073 |Loss: 2.132 | Acc: 20.238% 
001  00074 |Loss: 2.129 | Acc: 20.344% 
001  00075 |Loss: 2.126 | Acc: 20.427% 
001  00076 |Loss: 2.123 | Acc: 20.559% 
001  00077 |Loss: 2.122 | Acc: 20.586% 
001  00078 |Loss: 2.121 | Acc: 20.563% 
001  00079 |Loss: 2.118 | Acc: 20.669% 
001  00080 |Loss: 2.116 | Acc: 20.762% 
001  00081 |Loss: 2.113 | Acc: 20.901% 
001  00082 |Loss: 2.111 | Acc: 20.922% 
001  00083 |Loss: 2.109 | Acc: 20.953% 
001  00084 |Loss: 2.106 | Acc: 21.010% 
001  00085 |Loss: 2.104 | Acc: 21.048% 
001  00086 |Loss: 2.101 | Acc: 21.103% 
001  00087 |Loss: 2.099 | Acc: 21.130% 
001  00088 |Loss: 2.096 | Acc: 21.245% 
001  00089 |Loss: 2.094 | Acc: 21.331% 
001  00090 |Loss: 2.092 | Acc: 21.406% 
001  00091 |Loss: 2.091 | Acc: 21.420% 
001  00092 |Loss: 2.091 | Acc: 21.484% 
001  00093 |Loss: 2.089 | Acc: 21.489% 
001  00094 |Loss: 2.088 | Acc: 21.526% 
001  00095 |Loss: 2.088 | Acc: 21.546% 
001  00096 |Loss: 2.087 | Acc: 21.558% 
001  00097 |Loss: 2.085 | Acc: 21.593% 
001  00098 |Loss: 2.083 | Acc: 21.676% 
