101  39101 |Loss: 1.009 | Acc: 61.719% 
101  39102 |Loss: 0.942 | Acc: 66.016% 
101  39103 |Loss: 0.989 | Acc: 65.365% 
101  39104 |Loss: 1.004 | Acc: 64.648% 
101  39105 |Loss: 0.995 | Acc: 64.219% 
101  39106 |Loss: 0.984 | Acc: 64.583% 
101  39107 |Loss: 0.981 | Acc: 64.286% 
101  39108 |Loss: 0.992 | Acc: 63.965% 
101  39109 |Loss: 1.003 | Acc: 63.628% 
101  39110 |Loss: 1.012 | Acc: 63.594% 
101  39111 |Loss: 1.012 | Acc: 63.281% 
101  39112 |Loss: 1.008 | Acc: 63.542% 
101  39113 |Loss: 1.003 | Acc: 63.582% 
101  39114 |Loss: 1.004 | Acc: 63.616% 
101  39115 |Loss: 1.001 | Acc: 63.594% 
101  39116 |Loss: 1.002 | Acc: 63.477% 
101  39117 |Loss: 0.998 | Acc: 63.695% 
101  39118 |Loss: 1.000 | Acc: 63.368% 
101  39119 |Loss: 0.999 | Acc: 63.446% 
101  39120 |Loss: 0.996 | Acc: 63.633% 
101  39121 |Loss: 0.992 | Acc: 63.839% 
101  39122 |Loss: 0.990 | Acc: 63.956% 
101  39123 |Loss: 0.992 | Acc: 63.859% 
101  39124 |Loss: 0.997 | Acc: 63.835% 
101  39125 |Loss: 0.996 | Acc: 63.938% 
101  39126 |Loss: 0.995 | Acc: 63.732% 
101  39127 |Loss: 0.996 | Acc: 63.513% 
101  39128 |Loss: 0.996 | Acc: 63.365% 
101  39129 |Loss: 0.992 | Acc: 63.443% 
101  39130 |Loss: 0.992 | Acc: 63.516% 
101  39131 |Loss: 0.994 | Acc: 63.508% 
101  39132 |Loss: 0.996 | Acc: 63.403% 
101  39133 |Loss: 0.995 | Acc: 63.447% 
101  39134 |Loss: 0.994 | Acc: 63.534% 
101  39135 |Loss: 0.997 | Acc: 63.482% 
101  39136 |Loss: 0.993 | Acc: 63.628% 
101  39137 |Loss: 0.994 | Acc: 63.535% 
101  39138 |Loss: 0.992 | Acc: 63.672% 
101  39139 |Loss: 0.991 | Acc: 63.722% 
101  39140 |Loss: 0.987 | Acc: 63.887% 
101  39141 |Loss: 0.987 | Acc: 63.796% 
101  39142 |Loss: 0.990 | Acc: 63.690% 
101  39143 |Loss: 0.989 | Acc: 63.790% 
101  39144 |Loss: 0.987 | Acc: 63.849% 
101  39145 |Loss: 0.985 | Acc: 63.924% 
101  39146 |Loss: 0.982 | Acc: 64.113% 
101  39147 |Loss: 0.983 | Acc: 64.062% 
101  39148 |Loss: 0.983 | Acc: 63.949% 
101  39149 |Loss: 0.982 | Acc: 63.999% 
101  39150 |Loss: 0.980 | Acc: 64.109% 
101  39151 |Loss: 0.981 | Acc: 64.047% 
101  39152 |Loss: 0.979 | Acc: 64.138% 
101  39153 |Loss: 0.979 | Acc: 64.180% 
101  39154 |Loss: 0.978 | Acc: 64.193% 
101  39155 |Loss: 0.978 | Acc: 64.247% 
101  39156 |Loss: 0.978 | Acc: 64.216% 
101  39157 |Loss: 0.976 | Acc: 64.337% 
101  39158 |Loss: 0.977 | Acc: 64.291% 
101  39159 |Loss: 0.977 | Acc: 64.301% 
101  39160 |Loss: 0.976 | Acc: 64.271% 
101  39161 |Loss: 0.977 | Acc: 64.293% 
101  39162 |Loss: 0.975 | Acc: 64.428% 
101  39163 |Loss: 0.973 | Acc: 64.484% 
101  39164 |Loss: 0.973 | Acc: 64.490% 
101  39165 |Loss: 0.973 | Acc: 64.507% 
101  39166 |Loss: 0.971 | Acc: 64.524% 
101  39167 |Loss: 0.969 | Acc: 64.657% 
101  39168 |Loss: 0.969 | Acc: 64.614% 
101  39169 |Loss: 0.969 | Acc: 64.651% 
101  39170 |Loss: 0.969 | Acc: 64.676% 
101  39171 |Loss: 0.968 | Acc: 64.679% 
101  39172 |Loss: 0.967 | Acc: 64.648% 
101  39173 |Loss: 0.967 | Acc: 64.651% 
101  39174 |Loss: 0.967 | Acc: 64.643% 
101  39175 |Loss: 0.967 | Acc: 64.635% 
101  39176 |Loss: 0.967 | Acc: 64.587% 
101  39177 |Loss: 0.967 | Acc: 64.539% 
101  39178 |Loss: 0.967 | Acc: 64.513% 
101  39179 |Loss: 0.966 | Acc: 64.547% 
101  39180 |Loss: 0.967 | Acc: 64.453% 
101  39181 |Loss: 0.967 | Acc: 64.429% 
101  39182 |Loss: 0.967 | Acc: 64.386% 
101  39183 |Loss: 0.968 | Acc: 64.373% 
101  39184 |Loss: 0.966 | Acc: 64.453% 
101  39185 |Loss: 0.967 | Acc: 64.366% 
101  39186 |Loss: 0.966 | Acc: 64.353% 
101  39187 |Loss: 0.964 | Acc: 64.395% 
101  39188 |Loss: 0.963 | Acc: 64.418% 
101  39189 |Loss: 0.964 | Acc: 64.405% 
101  39190 |Loss: 0.963 | Acc: 64.444% 
101  39191 |Loss: 0.963 | Acc: 64.449% 
101  39192 |Loss: 0.965 | Acc: 64.402% 
101  39193 |Loss: 0.965 | Acc: 64.449% 
101  39194 |Loss: 0.964 | Acc: 64.470% 
101  39195 |Loss: 0.964 | Acc: 64.474% 
101  39196 |Loss: 0.963 | Acc: 64.461% 
101  39197 |Loss: 0.961 | Acc: 64.505% 
101  39198 |Loss: 0.959 | Acc: 64.557% 
101  39199 |Loss: 0.959 | Acc: 64.560% 
101  39200 |Loss: 0.959 | Acc: 64.531% 
101  39201 |Loss: 0.959 | Acc: 64.527% 
101  39202 |Loss: 0.958 | Acc: 64.545% 
101  39203 |Loss: 0.958 | Acc: 64.548% 
101  39204 |Loss: 0.958 | Acc: 64.551% 
101  39205 |Loss: 0.958 | Acc: 64.568% 
101  39206 |Loss: 0.957 | Acc: 64.667% 
101  39207 |Loss: 0.956 | Acc: 64.661% 
101  39208 |Loss: 0.957 | Acc: 64.656% 
101  39209 |Loss: 0.957 | Acc: 64.693% 
101  39210 |Loss: 0.956 | Acc: 64.723% 
101  39211 |Loss: 0.957 | Acc: 64.738% 
101  39212 |Loss: 0.958 | Acc: 64.718% 
101  39213 |Loss: 0.958 | Acc: 64.747% 
101  39214 |Loss: 0.956 | Acc: 64.837% 
101  39215 |Loss: 0.955 | Acc: 64.885% 
101  39216 |Loss: 0.955 | Acc: 64.830% 
101  39217 |Loss: 0.955 | Acc: 64.830% 
101  39218 |Loss: 0.955 | Acc: 64.890% 
101  39219 |Loss: 0.955 | Acc: 64.890% 
101  39220 |Loss: 0.955 | Acc: 64.948% 
101  39221 |Loss: 0.954 | Acc: 64.966% 
101  39222 |Loss: 0.954 | Acc: 64.959% 
101  39223 |Loss: 0.954 | Acc: 64.990% 
101  39224 |Loss: 0.954 | Acc: 65.001% 
101  39225 |Loss: 0.954 | Acc: 65.031% 
101  39226 |Loss: 0.954 | Acc: 65.024% 
101  39227 |Loss: 0.953 | Acc: 65.096% 
101  39228 |Loss: 0.952 | Acc: 65.100% 
101  39229 |Loss: 0.954 | Acc: 65.044% 
101  39230 |Loss: 0.955 | Acc: 65.018% 
101  39231 |Loss: 0.954 | Acc: 65.011% 
101  39232 |Loss: 0.955 | Acc: 64.980% 
101  39233 |Loss: 0.954 | Acc: 65.002% 
101  39234 |Loss: 0.953 | Acc: 65.048% 
101  39235 |Loss: 0.952 | Acc: 65.041% 
101  39236 |Loss: 0.952 | Acc: 65.022% 
101  39237 |Loss: 0.954 | Acc: 64.952% 
101  39238 |Loss: 0.954 | Acc: 64.940% 
101  39239 |Loss: 0.954 | Acc: 64.951% 
101  39240 |Loss: 0.953 | Acc: 64.989% 
101  39241 |Loss: 0.952 | Acc: 65.065% 
101  39242 |Loss: 0.952 | Acc: 65.058% 
101  39243 |Loss: 0.952 | Acc: 65.090% 
101  39244 |Loss: 0.952 | Acc: 65.088% 
101  39245 |Loss: 0.952 | Acc: 65.065% 
101  39246 |Loss: 0.952 | Acc: 65.052% 
101  39247 |Loss: 0.952 | Acc: 65.024% 
101  39248 |Loss: 0.952 | Acc: 65.065% 
101  39249 |Loss: 0.952 | Acc: 65.090% 
101  39250 |Loss: 0.952 | Acc: 65.078% 
101  39251 |Loss: 0.952 | Acc: 65.066% 
101  39252 |Loss: 0.951 | Acc: 65.106% 
101  39253 |Loss: 0.951 | Acc: 65.114% 
101  39254 |Loss: 0.950 | Acc: 65.148% 
101  39255 |Loss: 0.949 | Acc: 65.161% 
101  39256 |Loss: 0.949 | Acc: 65.149% 
101  39257 |Loss: 0.948 | Acc: 65.187% 
101  39258 |Loss: 0.947 | Acc: 65.205% 
101  39259 |Loss: 0.947 | Acc: 65.212% 
101  39260 |Loss: 0.946 | Acc: 65.264% 
101  39261 |Loss: 0.946 | Acc: 65.276% 
101  39262 |Loss: 0.946 | Acc: 65.297% 
101  39263 |Loss: 0.946 | Acc: 65.299% 
101  39264 |Loss: 0.946 | Acc: 65.277% 
101  39265 |Loss: 0.944 | Acc: 65.346% 
101  39266 |Loss: 0.943 | Acc: 65.404% 
101  39267 |Loss: 0.942 | Acc: 65.457% 
101  39268 |Loss: 0.942 | Acc: 65.476% 
101  39269 |Loss: 0.943 | Acc: 65.445% 
101  39270 |Loss: 0.942 | Acc: 65.450% 
101  39271 |Loss: 0.942 | Acc: 65.438% 
101  39272 |Loss: 0.942 | Acc: 65.452% 
101  39273 |Loss: 0.942 | Acc: 65.458% 
101  39274 |Loss: 0.941 | Acc: 65.486% 
101  39275 |Loss: 0.940 | Acc: 65.531% 
101  39276 |Loss: 0.941 | Acc: 65.483% 
101  39277 |Loss: 0.941 | Acc: 65.466% 
101  39278 |Loss: 0.942 | Acc: 65.454% 
101  39279 |Loss: 0.941 | Acc: 65.468% 
101  39280 |Loss: 0.940 | Acc: 65.499% 
101  39281 |Loss: 0.940 | Acc: 65.517% 
101  39282 |Loss: 0.940 | Acc: 65.526% 
101  39283 |Loss: 0.940 | Acc: 65.527% 
101  39284 |Loss: 0.939 | Acc: 65.595% 
101  39285 |Loss: 0.939 | Acc: 65.579% 
101  39286 |Loss: 0.939 | Acc: 65.549% 
101  39287 |Loss: 0.939 | Acc: 65.550% 
101  39288 |Loss: 0.939 | Acc: 65.567% 
101  39289 |Loss: 0.939 | Acc: 65.555% 
101  39290 |Loss: 0.940 | Acc: 65.555% 
101  39291 |Loss: 0.940 | Acc: 65.527% 
101  39292 |Loss: 0.939 | Acc: 65.540% 
101  39293 |Loss: 0.939 | Acc: 65.544% 
101  39294 |Loss: 0.939 | Acc: 65.532% 
101  39295 |Loss: 0.939 | Acc: 65.541% 
101  39296 |Loss: 0.940 | Acc: 65.489% 
101  39297 |Loss: 0.940 | Acc: 65.466% 
101  39298 |Loss: 0.939 | Acc: 65.503% 
101  39299 |Loss: 0.940 | Acc: 65.444% 
101  39300 |Loss: 0.941 | Acc: 65.414% 
101  39301 |Loss: 0.941 | Acc: 65.411% 
101  39302 |Loss: 0.940 | Acc: 65.443% 
101  39303 |Loss: 0.939 | Acc: 65.475% 
101  39304 |Loss: 0.940 | Acc: 65.456% 
101  39305 |Loss: 0.940 | Acc: 65.450% 
