EPOCH=071, Accuracy=94.870%, Adv_Accuracy=85.700%
EPOCH=072, Accuracy=95.040%, Adv_Accuracy=84.600%
EPOCH=073, Accuracy=95.050%, Adv_Accuracy=84.900%
EPOCH=074, Accuracy=94.880%, Adv_Accuracy=85.200%
EPOCH=075, Accuracy=95.190%, Adv_Accuracy=85.600%
EPOCH=076, Accuracy=95.110%, Adv_Accuracy=84.200%
EPOCH=077, Accuracy=94.960%, Adv_Accuracy=84.500%
EPOCH=078, Accuracy=94.890%, Adv_Accuracy=85.300%
EPOCH=079, Accuracy=94.660%, Adv_Accuracy=86.000%
EPOCH=080, Accuracy=94.730%, Adv_Accuracy=85.000%
EPOCH=081, Accuracy=95.320%, Adv_Accuracy=84.800%
EPOCH=082, Accuracy=94.780%, Adv_Accuracy=85.400%
EPOCH=083, Accuracy=94.950%, Adv_Accuracy=86.200%
EPOCH=084, Accuracy=95.100%, Adv_Accuracy=85.800%
EPOCH=085, Accuracy=94.770%, Adv_Accuracy=84.300%
EPOCH=086, Accuracy=94.870%, Adv_Accuracy=82.800%
EPOCH=087, Accuracy=94.730%, Adv_Accuracy=85.000%
EPOCH=088, Accuracy=94.670%, Adv_Accuracy=85.300%
EPOCH=089, Accuracy=94.830%, Adv_Accuracy=85.600%
EPOCH=090, Accuracy=94.730%, Adv_Accuracy=84.000%
EPOCH=091, Accuracy=94.690%, Adv_Accuracy=86.100%
EPOCH=092, Accuracy=94.970%, Adv_Accuracy=85.200%
EPOCH=093, Accuracy=95.030%, Adv_Accuracy=84.200%
EPOCH=094, Accuracy=94.780%, Adv_Accuracy=85.600%
EPOCH=095, Accuracy=94.700%, Adv_Accuracy=86.600%
EPOCH=096, Accuracy=95.010%, Adv_Accuracy=84.400%
EPOCH=097, Accuracy=94.710%, Adv_Accuracy=85.000%
EPOCH=098, Accuracy=94.860%, Adv_Accuracy=84.100%
EPOCH=099, Accuracy=94.870%, Adv_Accuracy=84.700%
EPOCH=100, Accuracy=94.550%, Adv_Accuracy=83.800%
