EPOCH=001, Accuracy=39.370%, Adv_Accuracy=38.800%
EPOCH=002, Accuracy=53.640%, Adv_Accuracy=52.300%
EPOCH=003, Accuracy=55.540%, Adv_Accuracy=51.800%
EPOCH=004, Accuracy=63.070%, Adv_Accuracy=57.700%
EPOCH=005, Accuracy=58.140%, Adv_Accuracy=53.700%
EPOCH=006, Accuracy=70.250%, Adv_Accuracy=61.400%
EPOCH=007, Accuracy=65.590%, Adv_Accuracy=58.300%
EPOCH=008, Accuracy=74.100%, Adv_Accuracy=66.500%
EPOCH=009, Accuracy=69.380%, Adv_Accuracy=60.900%
EPOCH=010, Accuracy=75.290%, Adv_Accuracy=68.700%
EPOCH=011, Accuracy=73.750%, Adv_Accuracy=66.800%
EPOCH=012, Accuracy=74.020%, Adv_Accuracy=67.300%
EPOCH=013, Accuracy=76.480%, Adv_Accuracy=71.000%
EPOCH=014, Accuracy=75.620%, Adv_Accuracy=68.200%
EPOCH=015, Accuracy=76.000%, Adv_Accuracy=67.700%
EPOCH=016, Accuracy=73.630%, Adv_Accuracy=67.800%
EPOCH=017, Accuracy=78.590%, Adv_Accuracy=73.400%
EPOCH=018, Accuracy=77.100%, Adv_Accuracy=70.900%
EPOCH=019, Accuracy=77.140%, Adv_Accuracy=73.500%
EPOCH=020, Accuracy=75.420%, Adv_Accuracy=68.900%
EPOCH=021, Accuracy=78.560%, Adv_Accuracy=72.200%
EPOCH=022, Accuracy=77.120%, Adv_Accuracy=72.100%
EPOCH=023, Accuracy=78.820%, Adv_Accuracy=72.900%
EPOCH=024, Accuracy=78.580%, Adv_Accuracy=71.800%
EPOCH=025, Accuracy=78.720%, Adv_Accuracy=73.400%
EPOCH=026, Accuracy=80.860%, Adv_Accuracy=73.700%
EPOCH=027, Accuracy=80.280%, Adv_Accuracy=73.500%
EPOCH=028, Accuracy=78.650%, Adv_Accuracy=71.800%
EPOCH=029, Accuracy=79.420%, Adv_Accuracy=72.400%
EPOCH=030, Accuracy=81.160%, Adv_Accuracy=77.700%
EPOCH=031, Accuracy=80.460%, Adv_Accuracy=75.400%
EPOCH=032, Accuracy=80.710%, Adv_Accuracy=74.500%
EPOCH=033, Accuracy=78.690%, Adv_Accuracy=70.100%
EPOCH=034, Accuracy=81.390%, Adv_Accuracy=74.100%
EPOCH=035, Accuracy=80.960%, Adv_Accuracy=75.300%
EPOCH=036, Accuracy=80.430%, Adv_Accuracy=73.900%
EPOCH=037, Accuracy=81.290%, Adv_Accuracy=76.600%
EPOCH=038, Accuracy=81.380%, Adv_Accuracy=76.500%
EPOCH=039, Accuracy=82.110%, Adv_Accuracy=76.200%
EPOCH=040, Accuracy=80.060%, Adv_Accuracy=74.100%
EPOCH=041, Accuracy=81.780%, Adv_Accuracy=77.000%
EPOCH=042, Accuracy=82.310%, Adv_Accuracy=77.100%
EPOCH=043, Accuracy=81.380%, Adv_Accuracy=76.300%
EPOCH=044, Accuracy=80.910%, Adv_Accuracy=74.600%
EPOCH=045, Accuracy=81.140%, Adv_Accuracy=75.600%
EPOCH=046, Accuracy=80.090%, Adv_Accuracy=74.700%
EPOCH=047, Accuracy=81.080%, Adv_Accuracy=76.500%
EPOCH=048, Accuracy=81.420%, Adv_Accuracy=73.300%
EPOCH=049, Accuracy=81.300%, Adv_Accuracy=74.700%
EPOCH=050, Accuracy=82.700%, Adv_Accuracy=77.400%
EPOCH=051, Accuracy=92.020%, Adv_Accuracy=81.300%
EPOCH=052, Accuracy=92.090%, Adv_Accuracy=81.900%
EPOCH=053, Accuracy=92.560%, Adv_Accuracy=82.600%
EPOCH=054, Accuracy=92.670%, Adv_Accuracy=83.000%
EPOCH=055, Accuracy=92.460%, Adv_Accuracy=83.600%
EPOCH=056, Accuracy=92.250%, Adv_Accuracy=82.800%
EPOCH=057, Accuracy=92.390%, Adv_Accuracy=83.300%
EPOCH=058, Accuracy=92.380%, Adv_Accuracy=83.500%
EPOCH=059, Accuracy=92.370%, Adv_Accuracy=82.600%
EPOCH=060, Accuracy=92.400%, Adv_Accuracy=84.700%
