071  27371 |Loss: 0.195 | Acc: 89.844% 
071  27372 |Loss: 0.157 | Acc: 92.969% 
071  27373 |Loss: 0.160 | Acc: 93.750% 
071  27374 |Loss: 0.175 | Acc: 93.555% 
071  27375 |Loss: 0.166 | Acc: 93.906% 
071  27376 |Loss: 0.162 | Acc: 93.750% 
071  27377 |Loss: 0.166 | Acc: 93.638% 
071  27378 |Loss: 0.168 | Acc: 93.848% 
071  27379 |Loss: 0.166 | Acc: 94.097% 
071  27380 |Loss: 0.161 | Acc: 94.375% 
071  27381 |Loss: 0.163 | Acc: 94.460% 
071  27382 |Loss: 0.155 | Acc: 94.792% 
071  27383 |Loss: 0.158 | Acc: 94.832% 
071  27384 |Loss: 0.156 | Acc: 94.754% 
071  27385 |Loss: 0.154 | Acc: 94.896% 
071  27386 |Loss: 0.152 | Acc: 94.922% 
071  27387 |Loss: 0.151 | Acc: 94.991% 
071  27388 |Loss: 0.147 | Acc: 95.182% 
071  27389 |Loss: 0.144 | Acc: 95.312% 
071  27390 |Loss: 0.147 | Acc: 95.195% 
071  27391 |Loss: 0.150 | Acc: 95.089% 
071  27392 |Loss: 0.155 | Acc: 94.993% 
071  27393 |Loss: 0.157 | Acc: 94.905% 
071  27394 |Loss: 0.155 | Acc: 94.922% 
071  27395 |Loss: 0.163 | Acc: 94.750% 
071  27396 |Loss: 0.163 | Acc: 94.772% 
071  27397 |Loss: 0.162 | Acc: 94.878% 
071  27398 |Loss: 0.162 | Acc: 94.894% 
071  27399 |Loss: 0.161 | Acc: 94.962% 
071  27400 |Loss: 0.162 | Acc: 94.974% 
071  27401 |Loss: 0.162 | Acc: 94.909% 
071  27402 |Loss: 0.162 | Acc: 94.922% 
071  27403 |Loss: 0.161 | Acc: 94.910% 
071  27404 |Loss: 0.162 | Acc: 94.899% 
071  27405 |Loss: 0.161 | Acc: 94.911% 
071  27406 |Loss: 0.161 | Acc: 94.878% 
071  27407 |Loss: 0.162 | Acc: 94.869% 
071  27408 |Loss: 0.162 | Acc: 94.840% 
071  27409 |Loss: 0.163 | Acc: 94.752% 
071  27410 |Loss: 0.164 | Acc: 94.727% 
071  27411 |Loss: 0.163 | Acc: 94.703% 
071  27412 |Loss: 0.163 | Acc: 94.699% 
071  27413 |Loss: 0.162 | Acc: 94.695% 
071  27414 |Loss: 0.162 | Acc: 94.673% 
071  27415 |Loss: 0.163 | Acc: 94.688% 
071  27416 |Loss: 0.163 | Acc: 94.684% 
071  27417 |Loss: 0.162 | Acc: 94.697% 
071  27418 |Loss: 0.163 | Acc: 94.661% 
071  27419 |Loss: 0.163 | Acc: 94.659% 
071  27420 |Loss: 0.163 | Acc: 94.641% 
071  27421 |Loss: 0.164 | Acc: 94.593% 
071  27422 |Loss: 0.165 | Acc: 94.546% 
071  27423 |Loss: 0.166 | Acc: 94.472% 
071  27424 |Loss: 0.165 | Acc: 94.459% 
071  27425 |Loss: 0.165 | Acc: 94.489% 
071  27426 |Loss: 0.165 | Acc: 94.489% 
071  27427 |Loss: 0.165 | Acc: 94.490% 
071  27428 |Loss: 0.165 | Acc: 94.518% 
071  27429 |Loss: 0.165 | Acc: 94.452% 
071  27430 |Loss: 0.165 | Acc: 94.453% 
071  27431 |Loss: 0.165 | Acc: 94.480% 
071  27432 |Loss: 0.165 | Acc: 94.481% 
071  27433 |Loss: 0.165 | Acc: 94.457% 
071  27434 |Loss: 0.165 | Acc: 94.446% 
071  27435 |Loss: 0.164 | Acc: 94.471% 
071  27436 |Loss: 0.163 | Acc: 94.508% 
071  27437 |Loss: 0.163 | Acc: 94.496% 
071  27438 |Loss: 0.163 | Acc: 94.508% 
071  27439 |Loss: 0.162 | Acc: 94.531% 
071  27440 |Loss: 0.163 | Acc: 94.520% 
071  27441 |Loss: 0.163 | Acc: 94.487% 
071  27442 |Loss: 0.163 | Acc: 94.455% 
071  27443 |Loss: 0.163 | Acc: 94.467% 
071  27444 |Loss: 0.162 | Acc: 94.478% 
071  27445 |Loss: 0.162 | Acc: 94.458% 
071  27446 |Loss: 0.162 | Acc: 94.439% 
071  27447 |Loss: 0.162 | Acc: 94.420% 
071  27448 |Loss: 0.162 | Acc: 94.391% 
071  27449 |Loss: 0.162 | Acc: 94.393% 
071  27450 |Loss: 0.163 | Acc: 94.424% 
071  27451 |Loss: 0.162 | Acc: 94.444% 
071  27452 |Loss: 0.162 | Acc: 94.446% 
071  27453 |Loss: 0.163 | Acc: 94.428% 
071  27454 |Loss: 0.164 | Acc: 94.429% 
071  27455 |Loss: 0.165 | Acc: 94.403% 
071  27456 |Loss: 0.166 | Acc: 94.359% 
071  27457 |Loss: 0.166 | Acc: 94.343% 
071  27458 |Loss: 0.166 | Acc: 94.345% 
071  27459 |Loss: 0.166 | Acc: 94.364% 
071  27460 |Loss: 0.165 | Acc: 94.392% 
071  27461 |Loss: 0.165 | Acc: 94.402% 
071  27462 |Loss: 0.166 | Acc: 94.404% 
071  27463 |Loss: 0.165 | Acc: 94.414% 
071  27464 |Loss: 0.165 | Acc: 94.440% 
071  27465 |Loss: 0.165 | Acc: 94.424% 
071  27466 |Loss: 0.165 | Acc: 94.417% 
071  27467 |Loss: 0.165 | Acc: 94.410% 
071  27468 |Loss: 0.165 | Acc: 94.428% 
071  27469 |Loss: 0.164 | Acc: 94.444% 
071  27470 |Loss: 0.164 | Acc: 94.453% 
071  27471 |Loss: 0.164 | Acc: 94.415% 
071  27472 |Loss: 0.164 | Acc: 94.409% 
071  27473 |Loss: 0.163 | Acc: 94.425% 
071  27474 |Loss: 0.163 | Acc: 94.426% 
071  27475 |Loss: 0.163 | Acc: 94.442% 
071  27476 |Loss: 0.163 | Acc: 94.465% 
071  27477 |Loss: 0.162 | Acc: 94.458% 
071  27478 |Loss: 0.162 | Acc: 94.452% 
071  27479 |Loss: 0.162 | Acc: 94.452% 
071  27480 |Loss: 0.162 | Acc: 94.460% 
071  27481 |Loss: 0.162 | Acc: 94.475% 
071  27482 |Loss: 0.162 | Acc: 94.461% 
071  27483 |Loss: 0.162 | Acc: 94.455% 
071  27484 |Loss: 0.162 | Acc: 94.442% 
071  27485 |Loss: 0.162 | Acc: 94.463% 
071  27486 |Loss: 0.162 | Acc: 94.484% 
071  27487 |Loss: 0.162 | Acc: 94.471% 
071  27488 |Loss: 0.163 | Acc: 94.432% 
071  27489 |Loss: 0.163 | Acc: 94.426% 
071  27490 |Loss: 0.162 | Acc: 94.447% 
071  27491 |Loss: 0.162 | Acc: 94.441% 
071  27492 |Loss: 0.163 | Acc: 94.410% 
071  27493 |Loss: 0.162 | Acc: 94.430% 
071  27494 |Loss: 0.161 | Acc: 94.456% 
071  27495 |Loss: 0.161 | Acc: 94.488% 
071  27496 |Loss: 0.161 | Acc: 94.488% 
071  27497 |Loss: 0.160 | Acc: 94.513% 
