001  00001 |Loss: 2.450 | Acc: 14.062% 
001  00002 |Loss: 2.475 | Acc: 12.500% 
001  00003 |Loss: 2.456 | Acc: 13.021% 
001  00004 |Loss: 2.435 | Acc: 13.086% 
001  00005 |Loss: 2.422 | Acc: 12.031% 
001  00006 |Loss: 2.398 | Acc: 12.630% 
001  00007 |Loss: 2.387 | Acc: 12.835% 
001  00008 |Loss: 2.382 | Acc: 13.086% 
001  00009 |Loss: 2.376 | Acc: 13.455% 
001  00010 |Loss: 2.365 | Acc: 13.906% 
001  00011 |Loss: 2.360 | Acc: 13.778% 
001  00012 |Loss: 2.362 | Acc: 13.672% 
001  00013 |Loss: 2.358 | Acc: 14.123% 
001  00014 |Loss: 2.352 | Acc: 13.839% 
001  00015 |Loss: 2.346 | Acc: 13.958% 
001  00016 |Loss: 2.340 | Acc: 13.770% 
001  00017 |Loss: 2.334 | Acc: 13.925% 
001  00018 |Loss: 2.328 | Acc: 14.062% 
001  00019 |Loss: 2.323 | Acc: 14.186% 
001  00020 |Loss: 2.322 | Acc: 14.297% 
001  00021 |Loss: 2.319 | Acc: 14.435% 
001  00022 |Loss: 2.312 | Acc: 14.595% 
001  00023 |Loss: 2.305 | Acc: 14.470% 
001  00024 |Loss: 2.299 | Acc: 14.453% 
001  00025 |Loss: 2.295 | Acc: 14.719% 
001  00026 |Loss: 2.290 | Acc: 14.904% 
001  00027 |Loss: 2.287 | Acc: 15.104% 
001  00028 |Loss: 2.284 | Acc: 15.318% 
001  00029 |Loss: 2.279 | Acc: 15.436% 
001  00030 |Loss: 2.275 | Acc: 15.547% 
001  00031 |Loss: 2.271 | Acc: 15.776% 
001  00032 |Loss: 2.266 | Acc: 15.869% 
001  00033 |Loss: 2.262 | Acc: 15.885% 
001  00034 |Loss: 2.258 | Acc: 15.901% 
001  00035 |Loss: 2.254 | Acc: 16.161% 
001  00036 |Loss: 2.253 | Acc: 16.124% 
001  00037 |Loss: 2.250 | Acc: 16.153% 
001  00038 |Loss: 2.243 | Acc: 16.406% 
001  00039 |Loss: 2.238 | Acc: 16.486% 
001  00040 |Loss: 2.232 | Acc: 16.543% 
001  00041 |Loss: 2.227 | Acc: 16.692% 
001  00042 |Loss: 2.222 | Acc: 16.853% 
001  00043 |Loss: 2.216 | Acc: 16.933% 
001  00044 |Loss: 2.210 | Acc: 16.992% 
001  00045 |Loss: 2.201 | Acc: 17.240% 
001  00046 |Loss: 2.197 | Acc: 17.408% 
001  00047 |Loss: 2.192 | Acc: 17.603% 
001  00048 |Loss: 2.188 | Acc: 17.806% 
001  00049 |Loss: 2.180 | Acc: 18.064% 
001  00050 |Loss: 2.176 | Acc: 18.156% 
001  00051 |Loss: 2.172 | Acc: 18.168% 
001  00052 |Loss: 2.166 | Acc: 18.510% 
001  00053 |Loss: 2.159 | Acc: 18.647% 
001  00054 |Loss: 2.155 | Acc: 18.866% 
001  00055 |Loss: 2.152 | Acc: 18.892% 
001  00056 |Loss: 2.147 | Acc: 18.973% 
001  00057 |Loss: 2.142 | Acc: 19.161% 
001  00058 |Loss: 2.139 | Acc: 19.410% 
001  00059 |Loss: 2.134 | Acc: 19.505% 
001  00060 |Loss: 2.132 | Acc: 19.674% 
001  00061 |Loss: 2.127 | Acc: 19.851% 
001  00062 |Loss: 2.124 | Acc: 19.884% 
001  00063 |Loss: 2.119 | Acc: 19.965% 
001  00064 |Loss: 2.114 | Acc: 19.983% 
001  00065 |Loss: 2.109 | Acc: 20.276% 
001  00066 |Loss: 2.107 | Acc: 20.372% 
001  00067 |Loss: 2.104 | Acc: 20.546% 
001  00068 |Loss: 2.100 | Acc: 20.715% 
001  00069 |Loss: 2.097 | Acc: 20.901% 
001  00070 |Loss: 2.093 | Acc: 21.038% 
001  00071 |Loss: 2.090 | Acc: 21.094% 
001  00072 |Loss: 2.088 | Acc: 21.170% 
001  00073 |Loss: 2.084 | Acc: 21.276% 
001  00074 |Loss: 2.079 | Acc: 21.484% 
001  00075 |Loss: 2.076 | Acc: 21.562% 
001  00076 |Loss: 2.073 | Acc: 21.711% 
001  00077 |Loss: 2.071 | Acc: 21.692% 
001  00078 |Loss: 2.066 | Acc: 21.775% 
