EPOCH=086, Accuracy=93.810%, Adv_Accuracy=99.300%
EPOCH=087, Accuracy=93.820%, Adv_Accuracy=99.700%
EPOCH=088, Accuracy=94.680%, Adv_Accuracy=99.700%
EPOCH=089, Accuracy=94.680%, Adv_Accuracy=99.700%
EPOCH=090, Accuracy=94.680%, Adv_Accuracy=99.800%
EPOCH=091, Accuracy=94.740%, Adv_Accuracy=100.000%
EPOCH=092, Accuracy=94.860%, Adv_Accuracy=100.000%
EPOCH=093, Accuracy=95.120%, Adv_Accuracy=99.800%
EPOCH=094, Accuracy=94.440%, Adv_Accuracy=100.000%
EPOCH=095, Accuracy=95.310%, Adv_Accuracy=99.800%
EPOCH=096, Accuracy=95.000%, Adv_Accuracy=100.000%
EPOCH=097, Accuracy=95.270%, Adv_Accuracy=100.000%
EPOCH=098, Accuracy=95.640%, Adv_Accuracy=100.000%
EPOCH=099, Accuracy=95.350%, Adv_Accuracy=99.900%
EPOCH=100, Accuracy=95.360%, Adv_Accuracy=100.000%
EPOCH=101, Accuracy=95.360%, Adv_Accuracy=99.800%
EPOCH=102, Accuracy=95.690%, Adv_Accuracy=99.900%
EPOCH=103, Accuracy=95.710%, Adv_Accuracy=99.800%
EPOCH=104, Accuracy=95.200%, Adv_Accuracy=99.800%
