001  00001 |Loss: 2.721 | Acc: 8.594% 
001  00002 |Loss: 2.636 | Acc: 10.156% 
001  00003 |Loss: 2.608 | Acc: 10.417% 
001  00004 |Loss: 2.552 | Acc: 10.156% 
001  00005 |Loss: 2.524 | Acc: 10.312% 
001  00006 |Loss: 2.498 | Acc: 10.807% 
001  00007 |Loss: 2.480 | Acc: 11.384% 
001  00008 |Loss: 2.479 | Acc: 11.133% 
001  00009 |Loss: 2.475 | Acc: 11.111% 
001  00010 |Loss: 2.462 | Acc: 11.641% 
001  00011 |Loss: 2.459 | Acc: 11.364% 
001  00012 |Loss: 2.454 | Acc: 11.068% 
001  00013 |Loss: 2.445 | Acc: 11.118% 
001  00014 |Loss: 2.434 | Acc: 11.217% 
001  00015 |Loss: 2.424 | Acc: 11.458% 
001  00016 |Loss: 2.419 | Acc: 11.377% 
001  00017 |Loss: 2.411 | Acc: 11.443% 
001  00018 |Loss: 2.405 | Acc: 11.632% 
001  00019 |Loss: 2.401 | Acc: 11.760% 
001  00020 |Loss: 2.397 | Acc: 11.719% 
001  00021 |Loss: 2.392 | Acc: 11.756% 
001  00022 |Loss: 2.386 | Acc: 11.790% 
001  00023 |Loss: 2.383 | Acc: 11.923% 
001  00024 |Loss: 2.377 | Acc: 12.077% 
001  00025 |Loss: 2.373 | Acc: 12.188% 
001  00026 |Loss: 2.368 | Acc: 12.230% 
001  00027 |Loss: 2.362 | Acc: 12.471% 
001  00028 |Loss: 2.358 | Acc: 12.584% 
001  00029 |Loss: 2.355 | Acc: 12.635% 
001  00030 |Loss: 2.352 | Acc: 12.812% 
001  00031 |Loss: 2.350 | Acc: 12.954% 
001  00032 |Loss: 2.346 | Acc: 13.110% 
001  00033 |Loss: 2.340 | Acc: 13.281% 
001  00034 |Loss: 2.337 | Acc: 13.396% 
001  00035 |Loss: 2.331 | Acc: 13.571% 
001  00036 |Loss: 2.325 | Acc: 13.802% 
001  00037 |Loss: 2.320 | Acc: 13.999% 
001  00038 |Loss: 2.318 | Acc: 14.104% 
001  00039 |Loss: 2.312 | Acc: 14.243% 
001  00040 |Loss: 2.307 | Acc: 14.258% 
001  00041 |Loss: 2.302 | Acc: 14.425% 
001  00042 |Loss: 2.295 | Acc: 14.732% 
001  00043 |Loss: 2.288 | Acc: 15.062% 
001  00044 |Loss: 2.283 | Acc: 15.128% 
001  00045 |Loss: 2.280 | Acc: 15.226% 
001  00046 |Loss: 2.274 | Acc: 15.438% 
001  00047 |Loss: 2.270 | Acc: 15.442% 
001  00048 |Loss: 2.264 | Acc: 15.511% 
001  00049 |Loss: 2.259 | Acc: 15.482% 
001  00050 |Loss: 2.254 | Acc: 15.641% 
001  00051 |Loss: 2.250 | Acc: 15.763% 
001  00052 |Loss: 2.246 | Acc: 15.835% 
001  00053 |Loss: 2.242 | Acc: 15.964% 
001  00054 |Loss: 2.236 | Acc: 16.131% 
001  00055 |Loss: 2.232 | Acc: 16.207% 
001  00056 |Loss: 2.228 | Acc: 16.323% 
001  00057 |Loss: 2.223 | Acc: 16.543% 
001  00058 |Loss: 2.218 | Acc: 16.676% 
001  00059 |Loss: 2.213 | Acc: 16.856% 
001  00060 |Loss: 2.207 | Acc: 17.031% 
001  00061 |Loss: 2.206 | Acc: 17.072% 
001  00062 |Loss: 2.201 | Acc: 17.175% 
001  00063 |Loss: 2.199 | Acc: 17.262% 
001  00064 |Loss: 2.197 | Acc: 17.383% 
001  00065 |Loss: 2.193 | Acc: 17.500% 
001  00066 |Loss: 2.188 | Acc: 17.720% 
001  00067 |Loss: 2.183 | Acc: 17.852% 
001  00068 |Loss: 2.179 | Acc: 18.003% 
001  00069 |Loss: 2.175 | Acc: 18.116% 
001  00070 |Loss: 2.170 | Acc: 18.237% 
001  00071 |Loss: 2.167 | Acc: 18.365% 
001  00072 |Loss: 2.164 | Acc: 18.446% 
001  00073 |Loss: 2.160 | Acc: 18.536% 
001  00074 |Loss: 2.157 | Acc: 18.750% 
001  00075 |Loss: 2.154 | Acc: 18.812% 
001  00076 |Loss: 2.150 | Acc: 18.956% 
001  00077 |Loss: 2.145 | Acc: 19.136% 
001  00078 |Loss: 2.142 | Acc: 19.181% 
001  00079 |Loss: 2.138 | Acc: 19.205% 
001  00080 |Loss: 2.135 | Acc: 19.238% 
001  00081 |Loss: 2.130 | Acc: 19.329% 
001  00082 |Loss: 2.126 | Acc: 19.436% 
001  00083 |Loss: 2.122 | Acc: 19.541% 
001  00084 |Loss: 2.120 | Acc: 19.643% 
001  00085 |Loss: 2.115 | Acc: 19.807% 
