EPOCH=001, Accuracy=45.260%, Adv_Accuracy=43.400%, FGSM_Accuracy=25.970%, PGD_Accuracy=25.7200%
EPOCH=002, Accuracy=55.460%, Adv_Accuracy=48.100%, FGSM_Accuracy=28.640%, PGD_Accuracy=28.5900%
EPOCH=003, Accuracy=61.910%, Adv_Accuracy=53.700%, FGSM_Accuracy=25.130%, PGD_Accuracy=25.2600%
EPOCH=004, Accuracy=67.960%, Adv_Accuracy=58.400%, FGSM_Accuracy=34.800%, PGD_Accuracy=35.3500%
EPOCH=005, Accuracy=70.300%, Adv_Accuracy=55.600%, FGSM_Accuracy=32.910%, PGD_Accuracy=33.5700%
EPOCH=006, Accuracy=75.790%, Adv_Accuracy=57.600%, FGSM_Accuracy=34.840%, PGD_Accuracy=34.6700%
EPOCH=007, Accuracy=75.380%, Adv_Accuracy=56.500%, FGSM_Accuracy=31.160%, PGD_Accuracy=32.1500%
EPOCH=008, Accuracy=76.720%, Adv_Accuracy=54.500%, FGSM_Accuracy=32.120%, PGD_Accuracy=33.4000%
EPOCH=009, Accuracy=78.640%, Adv_Accuracy=56.100%, FGSM_Accuracy=32.760%, PGD_Accuracy=32.9000%
EPOCH=010, Accuracy=78.750%, Adv_Accuracy=58.400%, FGSM_Accuracy=33.300%, PGD_Accuracy=33.2400%
EPOCH=011, Accuracy=81.800%, Adv_Accuracy=56.600%, FGSM_Accuracy=40.280%, PGD_Accuracy=41.0600%
EPOCH=012, Accuracy=81.480%, Adv_Accuracy=57.100%, FGSM_Accuracy=30.540%, PGD_Accuracy=31.9000%
EPOCH=013, Accuracy=83.870%, Adv_Accuracy=59.000%, FGSM_Accuracy=34.440%, PGD_Accuracy=35.7100%
EPOCH=014, Accuracy=84.230%, Adv_Accuracy=56.400%, FGSM_Accuracy=33.290%, PGD_Accuracy=35.3300%
EPOCH=015, Accuracy=84.070%, Adv_Accuracy=58.200%, FGSM_Accuracy=36.770%, PGD_Accuracy=38.0700%
EPOCH=016, Accuracy=83.200%, Adv_Accuracy=57.300%, FGSM_Accuracy=44.010%, PGD_Accuracy=46.1500%
EPOCH=017, Accuracy=82.930%, Adv_Accuracy=54.100%, FGSM_Accuracy=34.590%, PGD_Accuracy=36.0600%
EPOCH=018, Accuracy=80.680%, Adv_Accuracy=52.700%, FGSM_Accuracy=30.650%, PGD_Accuracy=32.9100%
EPOCH=019, Accuracy=85.630%, Adv_Accuracy=54.100%, FGSM_Accuracy=37.470%, PGD_Accuracy=39.1500%
EPOCH=020, Accuracy=85.460%, Adv_Accuracy=54.600%, FGSM_Accuracy=30.570%, PGD_Accuracy=32.8500%
EPOCH=021, Accuracy=85.010%, Adv_Accuracy=54.200%, FGSM_Accuracy=38.210%, PGD_Accuracy=40.5700%
EPOCH=022, Accuracy=84.930%, Adv_Accuracy=51.200%, FGSM_Accuracy=37.070%, PGD_Accuracy=38.7500%
EPOCH=023, Accuracy=84.560%, Adv_Accuracy=51.900%, FGSM_Accuracy=38.630%, PGD_Accuracy=40.7000%
EPOCH=024, Accuracy=86.410%, Adv_Accuracy=51.600%, FGSM_Accuracy=29.430%, PGD_Accuracy=32.3100%
EPOCH=025, Accuracy=87.100%, Adv_Accuracy=50.000%, FGSM_Accuracy=39.040%, PGD_Accuracy=40.6700%
EPOCH=026, Accuracy=87.350%, Adv_Accuracy=52.000%, FGSM_Accuracy=32.170%, PGD_Accuracy=34.2400%
EPOCH=027, Accuracy=86.820%, Adv_Accuracy=53.500%, FGSM_Accuracy=31.460%, PGD_Accuracy=32.8900%
EPOCH=028, Accuracy=86.470%, Adv_Accuracy=50.100%, FGSM_Accuracy=39.180%, PGD_Accuracy=41.0800%
EPOCH=029, Accuracy=86.820%, Adv_Accuracy=52.400%, FGSM_Accuracy=36.010%, PGD_Accuracy=38.1400%
EPOCH=030, Accuracy=87.650%, Adv_Accuracy=50.800%, FGSM_Accuracy=41.680%, PGD_Accuracy=45.1900%
EPOCH=031, Accuracy=88.740%, Adv_Accuracy=53.900%, FGSM_Accuracy=35.120%, PGD_Accuracy=36.6000%
EPOCH=032, Accuracy=88.560%, Adv_Accuracy=54.800%, FGSM_Accuracy=32.540%, PGD_Accuracy=33.9200%
EPOCH=033, Accuracy=89.230%, Adv_Accuracy=51.200%, FGSM_Accuracy=29.480%, PGD_Accuracy=31.7000%
EPOCH=034, Accuracy=88.520%, Adv_Accuracy=51.400%, FGSM_Accuracy=33.690%, PGD_Accuracy=36.1500%
EPOCH=035, Accuracy=89.630%, Adv_Accuracy=49.300%, FGSM_Accuracy=36.900%, PGD_Accuracy=39.0800%
EPOCH=036, Accuracy=90.140%, Adv_Accuracy=53.500%, FGSM_Accuracy=32.530%, PGD_Accuracy=34.7400%
EPOCH=037, Accuracy=89.080%, Adv_Accuracy=52.800%, FGSM_Accuracy=38.090%, PGD_Accuracy=39.8900%
EPOCH=038, Accuracy=88.910%, Adv_Accuracy=49.600%, FGSM_Accuracy=33.670%, PGD_Accuracy=35.6000%
EPOCH=039, Accuracy=89.290%, Adv_Accuracy=50.700%, FGSM_Accuracy=35.320%, PGD_Accuracy=37.5100%
EPOCH=040, Accuracy=89.480%, Adv_Accuracy=50.300%, FGSM_Accuracy=29.990%, PGD_Accuracy=31.5800%
EPOCH=041, Accuracy=89.660%, Adv_Accuracy=50.900%, FGSM_Accuracy=41.710%, PGD_Accuracy=44.2400%
EPOCH=042, Accuracy=90.050%, Adv_Accuracy=49.400%, FGSM_Accuracy=41.800%, PGD_Accuracy=43.7000%
