001  00001 |Loss: 2.756 | Acc: 7.031% 
001  00002 |Loss: 2.635 | Acc: 10.156% 
001  00003 |Loss: 2.604 | Acc: 10.417% 
001  00004 |Loss: 2.548 | Acc: 9.766% 
001  00005 |Loss: 2.502 | Acc: 10.781% 
001  00006 |Loss: 2.473 | Acc: 10.547% 
001  00007 |Loss: 2.454 | Acc: 10.714% 
001  00008 |Loss: 2.449 | Acc: 10.742% 
001  00009 |Loss: 2.444 | Acc: 11.024% 
001  00010 |Loss: 2.443 | Acc: 10.703% 
001  00011 |Loss: 2.443 | Acc: 10.653% 
001  00012 |Loss: 2.432 | Acc: 10.938% 
001  00013 |Loss: 2.420 | Acc: 11.238% 
001  00014 |Loss: 2.411 | Acc: 11.607% 
001  00015 |Loss: 2.404 | Acc: 11.562% 
001  00016 |Loss: 2.394 | Acc: 12.207% 
001  00017 |Loss: 2.390 | Acc: 12.454% 
001  00018 |Loss: 2.389 | Acc: 12.457% 
001  00019 |Loss: 2.388 | Acc: 12.541% 
001  00020 |Loss: 2.383 | Acc: 12.539% 
001  00021 |Loss: 2.378 | Acc: 12.537% 
001  00022 |Loss: 2.371 | Acc: 13.033% 
001  00023 |Loss: 2.365 | Acc: 13.077% 
001  00024 |Loss: 2.357 | Acc: 13.770% 
001  00025 |Loss: 2.349 | Acc: 13.938% 
001  00026 |Loss: 2.343 | Acc: 14.062% 
001  00027 |Loss: 2.337 | Acc: 14.149% 
001  00028 |Loss: 2.334 | Acc: 14.118% 
001  00029 |Loss: 2.330 | Acc: 14.305% 
001  00030 |Loss: 2.321 | Acc: 14.688% 
001  00031 |Loss: 2.314 | Acc: 14.894% 
001  00032 |Loss: 2.305 | Acc: 15.234% 
001  00033 |Loss: 2.301 | Acc: 15.483% 
001  00034 |Loss: 2.298 | Acc: 15.533% 
001  00035 |Loss: 2.295 | Acc: 15.692% 
001  00036 |Loss: 2.288 | Acc: 16.102% 
001  00037 |Loss: 2.282 | Acc: 16.237% 
001  00038 |Loss: 2.276 | Acc: 16.427% 
001  00039 |Loss: 2.270 | Acc: 16.607% 
001  00040 |Loss: 2.264 | Acc: 16.641% 
001  00041 |Loss: 2.257 | Acc: 16.997% 
001  00042 |Loss: 2.251 | Acc: 17.206% 
001  00043 |Loss: 2.245 | Acc: 17.369% 
001  00044 |Loss: 2.240 | Acc: 17.578% 
001  00045 |Loss: 2.233 | Acc: 17.899% 
001  00046 |Loss: 2.227 | Acc: 18.105% 
001  00047 |Loss: 2.221 | Acc: 18.235% 
001  00048 |Loss: 2.216 | Acc: 18.376% 
001  00049 |Loss: 2.215 | Acc: 18.511% 
001  00050 |Loss: 2.212 | Acc: 18.516% 
001  00051 |Loss: 2.207 | Acc: 18.612% 
001  00052 |Loss: 2.203 | Acc: 18.765% 
001  00053 |Loss: 2.199 | Acc: 18.809% 
001  00054 |Loss: 2.194 | Acc: 19.025% 
001  00055 |Loss: 2.190 | Acc: 19.077% 
001  00056 |Loss: 2.183 | Acc: 19.252% 
001  00057 |Loss: 2.179 | Acc: 19.394% 
001  00058 |Loss: 2.174 | Acc: 19.531% 
001  00059 |Loss: 2.171 | Acc: 19.690% 
001  00060 |Loss: 2.168 | Acc: 19.792% 
001  00061 |Loss: 2.163 | Acc: 19.915% 
001  00062 |Loss: 2.160 | Acc: 20.023% 
001  00063 |Loss: 2.156 | Acc: 20.164% 
001  00064 |Loss: 2.153 | Acc: 20.239% 
001  00065 |Loss: 2.148 | Acc: 20.397% 
001  00066 |Loss: 2.144 | Acc: 20.466% 
001  00067 |Loss: 2.141 | Acc: 20.627% 
001  00068 |Loss: 2.136 | Acc: 20.887% 
001  00069 |Loss: 2.133 | Acc: 20.947% 
001  00070 |Loss: 2.130 | Acc: 21.016% 
001  00071 |Loss: 2.129 | Acc: 21.127% 
001  00072 |Loss: 2.125 | Acc: 21.224% 
001  00073 |Loss: 2.123 | Acc: 21.308% 
001  00074 |Loss: 2.121 | Acc: 21.347% 
001  00075 |Loss: 2.117 | Acc: 21.490% 
001  00076 |Loss: 2.116 | Acc: 21.608% 
001  00077 |Loss: 2.112 | Acc: 21.662% 
001  00078 |Loss: 2.109 | Acc: 21.735% 
001  00079 |Loss: 2.105 | Acc: 21.875% 
001  00080 |Loss: 2.103 | Acc: 22.012% 
001  00081 |Loss: 2.100 | Acc: 22.078% 
001  00082 |Loss: 2.098 | Acc: 22.132% 
001  00083 |Loss: 2.096 | Acc: 22.252% 
001  00084 |Loss: 2.093 | Acc: 22.359% 
001  00085 |Loss: 2.090 | Acc: 22.371% 
001  00086 |Loss: 2.087 | Acc: 22.456% 
001  00087 |Loss: 2.084 | Acc: 22.540% 
001  00088 |Loss: 2.082 | Acc: 22.656% 
001  00089 |Loss: 2.080 | Acc: 22.700% 
001  00090 |Loss: 2.078 | Acc: 22.691% 
001  00091 |Loss: 2.077 | Acc: 22.708% 
001  00092 |Loss: 2.074 | Acc: 22.809% 
001  00093 |Loss: 2.071 | Acc: 22.917% 
001  00094 |Loss: 2.069 | Acc: 23.022% 
001  00095 |Loss: 2.066 | Acc: 23.166% 
001  00096 |Loss: 2.065 | Acc: 23.250% 
001  00097 |Loss: 2.064 | Acc: 23.204% 
001  00098 |Loss: 2.062 | Acc: 23.286% 
001  00099 |Loss: 2.060 | Acc: 23.343% 
001  00100 |Loss: 2.060 | Acc: 23.336% 
001  00101 |Loss: 2.058 | Acc: 23.407% 
001  00102 |Loss: 2.056 | Acc: 23.445% 
001  00103 |Loss: 2.053 | Acc: 23.536% 
001  00104 |Loss: 2.052 | Acc: 23.610% 
001  00105 |Loss: 2.048 | Acc: 23.713% 
001  00106 |Loss: 2.046 | Acc: 23.784% 
001  00107 |Loss: 2.042 | Acc: 23.941% 
001  00108 |Loss: 2.040 | Acc: 24.002% 
001  00109 |Loss: 2.038 | Acc: 24.083% 
001  00110 |Loss: 2.035 | Acc: 24.176% 
001  00111 |Loss: 2.033 | Acc: 24.282% 
001  00112 |Loss: 2.031 | Acc: 24.379% 
001  00113 |Loss: 2.030 | Acc: 24.399% 
001  00114 |Loss: 2.028 | Acc: 24.472% 
001  00115 |Loss: 2.025 | Acc: 24.579% 
001  00116 |Loss: 2.023 | Acc: 24.677% 
001  00117 |Loss: 2.021 | Acc: 24.746% 
001  00118 |Loss: 2.020 | Acc: 24.755% 
001  00119 |Loss: 2.018 | Acc: 24.790% 
001  00120 |Loss: 2.017 | Acc: 24.844% 
001  00121 |Loss: 2.015 | Acc: 24.935% 
001  00122 |Loss: 2.012 | Acc: 25.038% 
001  00123 |Loss: 2.009 | Acc: 25.127% 
001  00124 |Loss: 2.007 | Acc: 25.239% 
001  00125 |Loss: 2.004 | Acc: 25.331% 
001  00126 |Loss: 2.002 | Acc: 25.403% 
001  00127 |Loss: 2.000 | Acc: 25.474% 
001  00128 |Loss: 1.999 | Acc: 25.580% 
001  00129 |Loss: 1.997 | Acc: 25.618% 
001  00130 |Loss: 1.996 | Acc: 25.649% 
001  00131 |Loss: 1.993 | Acc: 25.769% 
001  00132 |Loss: 1.991 | Acc: 25.835% 
001  00133 |Loss: 1.989 | Acc: 25.922% 
001  00134 |Loss: 1.988 | Acc: 25.974% 
001  00135 |Loss: 1.986 | Acc: 26.030% 
001  00136 |Loss: 1.985 | Acc: 26.063% 
001  00137 |Loss: 1.984 | Acc: 26.129% 
001  00138 |Loss: 1.982 | Acc: 26.183% 
001  00139 |Loss: 1.980 | Acc: 26.208% 
001  00140 |Loss: 1.978 | Acc: 26.261% 
001  00141 |Loss: 1.977 | Acc: 26.308% 
001  00142 |Loss: 1.975 | Acc: 26.414% 
001  00143 |Loss: 1.973 | Acc: 26.475% 
001  00144 |Loss: 1.972 | Acc: 26.503% 
001  00145 |Loss: 1.971 | Acc: 26.562% 
001  00146 |Loss: 1.969 | Acc: 26.643% 
001  00147 |Loss: 1.967 | Acc: 26.738% 
001  00148 |Loss: 1.965 | Acc: 26.789% 
001  00149 |Loss: 1.963 | Acc: 26.872% 
001  00150 |Loss: 1.962 | Acc: 26.911% 
001  00151 |Loss: 1.961 | Acc: 26.945% 
001  00152 |Loss: 1.958 | Acc: 27.020% 
001  00153 |Loss: 1.957 | Acc: 27.053% 
001  00154 |Loss: 1.956 | Acc: 27.100% 
001  00155 |Loss: 1.953 | Acc: 27.188% 
001  00156 |Loss: 1.952 | Acc: 27.249% 
001  00157 |Loss: 1.951 | Acc: 27.279% 
001  00158 |Loss: 1.949 | Acc: 27.319% 
001  00159 |Loss: 1.948 | Acc: 27.398% 
001  00160 |Loss: 1.946 | Acc: 27.437% 
001  00161 |Loss: 1.945 | Acc: 27.475% 
001  00162 |Loss: 1.943 | Acc: 27.541% 
001  00163 |Loss: 1.943 | Acc: 27.545% 
001  00164 |Loss: 1.943 | Acc: 27.558% 
001  00165 |Loss: 1.941 | Acc: 27.585% 
001  00166 |Loss: 1.940 | Acc: 27.640% 
001  00167 |Loss: 1.938 | Acc: 27.695% 
001  00168 |Loss: 1.937 | Acc: 27.697% 
001  00169 |Loss: 1.936 | Acc: 27.732% 
001  00170 |Loss: 1.935 | Acc: 27.776% 
001  00171 |Loss: 1.933 | Acc: 27.814% 
001  00172 |Loss: 1.931 | Acc: 27.857% 
001  00173 |Loss: 1.930 | Acc: 27.931% 
001  00174 |Loss: 1.927 | Acc: 28.004% 
001  00175 |Loss: 1.926 | Acc: 28.085% 
001  00176 |Loss: 1.926 | Acc: 28.107% 
001  00177 |Loss: 1.924 | Acc: 28.169% 
001  00178 |Loss: 1.922 | Acc: 28.265% 
001  00179 |Loss: 1.920 | Acc: 28.334% 
001  00180 |Loss: 1.919 | Acc: 28.338% 
001  00181 |Loss: 1.917 | Acc: 28.414% 
001  00182 |Loss: 1.916 | Acc: 28.434% 
001  00183 |Loss: 1.915 | Acc: 28.475% 
001  00184 |Loss: 1.914 | Acc: 28.520% 
001  00185 |Loss: 1.912 | Acc: 28.623% 
001  00186 |Loss: 1.911 | Acc: 28.675% 
001  00187 |Loss: 1.909 | Acc: 28.752% 
001  00188 |Loss: 1.908 | Acc: 28.827% 
001  00189 |Loss: 1.906 | Acc: 28.927% 
001  00190 |Loss: 1.904 | Acc: 28.968% 
001  00191 |Loss: 1.904 | Acc: 28.976% 
001  00192 |Loss: 1.903 | Acc: 29.012% 
001  00193 |Loss: 1.901 | Acc: 29.076% 
001  00194 |Loss: 1.900 | Acc: 29.140% 
001  00195 |Loss: 1.899 | Acc: 29.191% 
001  00196 |Loss: 1.897 | Acc: 29.285% 
001  00197 |Loss: 1.895 | Acc: 29.339% 
001  00198 |Loss: 1.894 | Acc: 29.344% 
001  00199 |Loss: 1.893 | Acc: 29.370% 
001  00200 |Loss: 1.892 | Acc: 29.391% 
001  00201 |Loss: 1.891 | Acc: 29.454% 
001  00202 |Loss: 1.889 | Acc: 29.490% 
001  00203 |Loss: 1.888 | Acc: 29.514% 
001  00204 |Loss: 1.887 | Acc: 29.550% 
001  00205 |Loss: 1.886 | Acc: 29.607% 
001  00206 |Loss: 1.884 | Acc: 29.665% 
001  00207 |Loss: 1.884 | Acc: 29.703% 
001  00208 |Loss: 1.882 | Acc: 29.781% 
001  00209 |Loss: 1.881 | Acc: 29.815% 
001  00210 |Loss: 1.879 | Acc: 29.885% 
001  00211 |Loss: 1.878 | Acc: 29.895% 
001  00212 |Loss: 1.877 | Acc: 29.927% 
001  00213 |Loss: 1.876 | Acc: 29.970% 
001  00214 |Loss: 1.874 | Acc: 30.045% 
001  00215 |Loss: 1.873 | Acc: 30.087% 
001  00216 |Loss: 1.872 | Acc: 30.100% 
001  00217 |Loss: 1.871 | Acc: 30.152% 
001  00218 |Loss: 1.870 | Acc: 30.211% 
001  00219 |Loss: 1.868 | Acc: 30.258% 
001  00220 |Loss: 1.867 | Acc: 30.291% 
001  00221 |Loss: 1.866 | Acc: 30.320% 
001  00222 |Loss: 1.865 | Acc: 30.324% 
001  00223 |Loss: 1.864 | Acc: 30.360% 
001  00224 |Loss: 1.862 | Acc: 30.413% 
001  00225 |Loss: 1.862 | Acc: 30.469% 
001  00226 |Loss: 1.861 | Acc: 30.476% 
