EPOCH=001, Accuracy=36.240%, Adv_Accuracy=37.500%, FGSM_Accuracy=28.730%, PGD_Accuracy=29.1200%
EPOCH=002, Accuracy=42.510%, Adv_Accuracy=38.500%, FGSM_Accuracy=39.060%, PGD_Accuracy=38.7900%
EPOCH=003, Accuracy=47.500%, Adv_Accuracy=42.300%, FGSM_Accuracy=46.880%, PGD_Accuracy=47.9800%
EPOCH=004, Accuracy=53.360%, Adv_Accuracy=46.400%, FGSM_Accuracy=53.670%, PGD_Accuracy=54.5400%
EPOCH=005, Accuracy=54.390%, Adv_Accuracy=50.800%, FGSM_Accuracy=54.560%, PGD_Accuracy=54.9300%
EPOCH=006, Accuracy=58.340%, Adv_Accuracy=48.900%, FGSM_Accuracy=56.520%, PGD_Accuracy=57.7500%
EPOCH=007, Accuracy=60.070%, Adv_Accuracy=49.700%, FGSM_Accuracy=56.980%, PGD_Accuracy=57.0900%
EPOCH=008, Accuracy=56.850%, Adv_Accuracy=49.000%, FGSM_Accuracy=58.190%, PGD_Accuracy=59.1100%
EPOCH=009, Accuracy=58.480%, Adv_Accuracy=51.600%, FGSM_Accuracy=57.390%, PGD_Accuracy=58.0700%
EPOCH=010, Accuracy=58.040%, Adv_Accuracy=48.200%, FGSM_Accuracy=57.000%, PGD_Accuracy=58.1200%
EPOCH=011, Accuracy=56.350%, Adv_Accuracy=43.600%, FGSM_Accuracy=59.560%, PGD_Accuracy=61.0000%
EPOCH=012, Accuracy=59.210%, Adv_Accuracy=51.100%, FGSM_Accuracy=60.120%, PGD_Accuracy=61.2200%
EPOCH=013, Accuracy=56.130%, Adv_Accuracy=46.300%, FGSM_Accuracy=53.920%, PGD_Accuracy=55.8200%
EPOCH=014, Accuracy=60.480%, Adv_Accuracy=52.000%, FGSM_Accuracy=64.370%, PGD_Accuracy=63.9500%
EPOCH=015, Accuracy=58.940%, Adv_Accuracy=50.900%, FGSM_Accuracy=60.420%, PGD_Accuracy=61.4700%
EPOCH=016, Accuracy=60.500%, Adv_Accuracy=47.800%, FGSM_Accuracy=62.750%, PGD_Accuracy=64.0100%
EPOCH=017, Accuracy=56.200%, Adv_Accuracy=48.600%, FGSM_Accuracy=56.200%, PGD_Accuracy=57.2000%
EPOCH=018, Accuracy=60.640%, Adv_Accuracy=51.000%, FGSM_Accuracy=64.540%, PGD_Accuracy=64.8700%
EPOCH=019, Accuracy=60.800%, Adv_Accuracy=51.600%, FGSM_Accuracy=62.390%, PGD_Accuracy=63.3200%
EPOCH=020, Accuracy=59.280%, Adv_Accuracy=48.100%, FGSM_Accuracy=64.910%, PGD_Accuracy=65.4600%
EPOCH=021, Accuracy=57.650%, Adv_Accuracy=51.100%, FGSM_Accuracy=59.870%, PGD_Accuracy=60.9000%
EPOCH=022, Accuracy=58.510%, Adv_Accuracy=50.100%, FGSM_Accuracy=62.040%, PGD_Accuracy=62.5000%
EPOCH=023, Accuracy=61.250%, Adv_Accuracy=50.200%, FGSM_Accuracy=63.430%, PGD_Accuracy=64.5400%
EPOCH=024, Accuracy=61.320%, Adv_Accuracy=53.500%, FGSM_Accuracy=64.180%, PGD_Accuracy=65.6100%
EPOCH=025, Accuracy=64.680%, Adv_Accuracy=58.100%, FGSM_Accuracy=66.940%, PGD_Accuracy=67.6800%
EPOCH=026, Accuracy=63.520%, Adv_Accuracy=54.300%, FGSM_Accuracy=68.630%, PGD_Accuracy=69.0500%
EPOCH=027, Accuracy=58.980%, Adv_Accuracy=49.100%, FGSM_Accuracy=64.300%, PGD_Accuracy=65.2500%
EPOCH=028, Accuracy=59.070%, Adv_Accuracy=51.300%, FGSM_Accuracy=65.810%, PGD_Accuracy=66.3700%
EPOCH=029, Accuracy=64.910%, Adv_Accuracy=55.900%, FGSM_Accuracy=68.640%, PGD_Accuracy=69.6700%
EPOCH=030, Accuracy=60.420%, Adv_Accuracy=53.400%, FGSM_Accuracy=65.460%, PGD_Accuracy=67.3400%
EPOCH=031, Accuracy=55.710%, Adv_Accuracy=46.000%, FGSM_Accuracy=60.960%, PGD_Accuracy=62.5700%
EPOCH=032, Accuracy=63.620%, Adv_Accuracy=52.800%, FGSM_Accuracy=65.490%, PGD_Accuracy=67.1200%
EPOCH=033, Accuracy=63.140%, Adv_Accuracy=52.500%, FGSM_Accuracy=66.830%, PGD_Accuracy=68.2600%
EPOCH=034, Accuracy=54.890%, Adv_Accuracy=47.000%, FGSM_Accuracy=62.720%, PGD_Accuracy=63.4100%
EPOCH=035, Accuracy=60.390%, Adv_Accuracy=52.300%, FGSM_Accuracy=67.170%, PGD_Accuracy=68.0200%
EPOCH=036, Accuracy=60.610%, Adv_Accuracy=51.800%, FGSM_Accuracy=66.860%, PGD_Accuracy=68.1600%
EPOCH=037, Accuracy=57.210%, Adv_Accuracy=46.800%, FGSM_Accuracy=60.660%, PGD_Accuracy=61.7400%
EPOCH=038, Accuracy=64.270%, Adv_Accuracy=56.100%, FGSM_Accuracy=65.580%, PGD_Accuracy=66.7600%
EPOCH=039, Accuracy=59.160%, Adv_Accuracy=53.000%, FGSM_Accuracy=63.090%, PGD_Accuracy=63.5500%
EPOCH=040, Accuracy=65.400%, Adv_Accuracy=55.400%, FGSM_Accuracy=68.850%, PGD_Accuracy=69.7300%
EPOCH=041, Accuracy=59.740%, Adv_Accuracy=48.300%, FGSM_Accuracy=63.240%, PGD_Accuracy=63.6800%
