001  00001 |Loss: 2.482 | Acc: 8.333% 
001  00002 |Loss: 2.455 | Acc: 8.333% 
001  00003 |Loss: 2.437 | Acc: 7.222% 
001  00004 |Loss: 2.410 | Acc: 8.333% 
001  00005 |Loss: 2.396 | Acc: 8.833% 
001  00006 |Loss: 2.389 | Acc: 9.306% 
001  00007 |Loss: 2.385 | Acc: 9.524% 
001  00008 |Loss: 2.392 | Acc: 9.479% 
001  00009 |Loss: 2.386 | Acc: 10.000% 
001  00010 |Loss: 2.379 | Acc: 9.833% 
001  00011 |Loss: 2.379 | Acc: 10.000% 
001  00012 |Loss: 2.382 | Acc: 10.139% 
001  00013 |Loss: 2.378 | Acc: 10.577% 
001  00014 |Loss: 2.372 | Acc: 10.655% 
001  00015 |Loss: 2.367 | Acc: 10.556% 
001  00016 |Loss: 2.362 | Acc: 10.625% 
001  00017 |Loss: 2.360 | Acc: 10.686% 
001  00018 |Loss: 2.360 | Acc: 10.509% 
001  00019 |Loss: 2.359 | Acc: 10.702% 
001  00020 |Loss: 2.358 | Acc: 10.500% 
001  00021 |Loss: 2.357 | Acc: 10.635% 
001  00022 |Loss: 2.355 | Acc: 10.682% 
001  00023 |Loss: 2.354 | Acc: 10.978% 
001  00024 |Loss: 2.351 | Acc: 11.042% 
001  00025 |Loss: 2.348 | Acc: 11.233% 
001  00026 |Loss: 2.344 | Acc: 11.410% 
001  00027 |Loss: 2.340 | Acc: 11.574% 
001  00028 |Loss: 2.338 | Acc: 11.756% 
001  00029 |Loss: 2.336 | Acc: 11.810% 
001  00030 |Loss: 2.333 | Acc: 11.778% 
001  00031 |Loss: 2.329 | Acc: 11.720% 
001  00032 |Loss: 2.326 | Acc: 11.641% 
001  00033 |Loss: 2.323 | Acc: 11.641% 
001  00034 |Loss: 2.319 | Acc: 11.814% 
001  00035 |Loss: 2.316 | Acc: 12.048% 
001  00036 |Loss: 2.313 | Acc: 12.222% 
001  00037 |Loss: 2.308 | Acc: 12.455% 
001  00038 |Loss: 2.304 | Acc: 12.588% 
001  00039 |Loss: 2.299 | Acc: 12.756% 
001  00040 |Loss: 2.295 | Acc: 12.917% 
001  00041 |Loss: 2.293 | Acc: 13.211% 
001  00042 |Loss: 2.289 | Acc: 13.452% 
001  00043 |Loss: 2.285 | Acc: 13.663% 
001  00044 |Loss: 2.281 | Acc: 13.788% 
001  00045 |Loss: 2.279 | Acc: 13.889% 
001  00046 |Loss: 2.274 | Acc: 14.221% 
001  00047 |Loss: 2.269 | Acc: 14.486% 
001  00048 |Loss: 2.265 | Acc: 14.618% 
001  00049 |Loss: 2.260 | Acc: 14.796% 
001  00050 |Loss: 2.256 | Acc: 14.817% 
001  00051 |Loss: 2.252 | Acc: 14.918% 
