EPOCH=001, Accuracy=44.490%, Adv_Accuracy=44.300%, FGSM_Accuracy=24.940%, PGD_Accuracy=25.5000%
EPOCH=002, Accuracy=54.110%, Adv_Accuracy=52.500%, FGSM_Accuracy=28.430%, PGD_Accuracy=28.4100%
EPOCH=003, Accuracy=54.440%, Adv_Accuracy=53.000%, FGSM_Accuracy=26.650%, PGD_Accuracy=26.8100%
EPOCH=004, Accuracy=62.760%, Adv_Accuracy=56.700%, FGSM_Accuracy=15.490%, PGD_Accuracy=15.8200%
EPOCH=005, Accuracy=68.820%, Adv_Accuracy=55.600%, FGSM_Accuracy=29.330%, PGD_Accuracy=30.0400%
EPOCH=006, Accuracy=70.680%, Adv_Accuracy=56.300%, FGSM_Accuracy=26.400%, PGD_Accuracy=26.6900%
EPOCH=007, Accuracy=73.000%, Adv_Accuracy=56.800%, FGSM_Accuracy=29.730%, PGD_Accuracy=31.1400%
EPOCH=008, Accuracy=72.330%, Adv_Accuracy=51.500%, FGSM_Accuracy=31.810%, PGD_Accuracy=33.2800%
EPOCH=009, Accuracy=75.760%, Adv_Accuracy=51.700%, FGSM_Accuracy=33.130%, PGD_Accuracy=35.0700%
EPOCH=010, Accuracy=77.250%, Adv_Accuracy=55.800%, FGSM_Accuracy=36.390%, PGD_Accuracy=37.0300%
EPOCH=011, Accuracy=77.720%, Adv_Accuracy=56.800%, FGSM_Accuracy=36.510%, PGD_Accuracy=37.2800%
EPOCH=012, Accuracy=78.160%, Adv_Accuracy=54.200%, FGSM_Accuracy=35.090%, PGD_Accuracy=35.6000%
EPOCH=013, Accuracy=79.000%, Adv_Accuracy=53.100%, FGSM_Accuracy=30.830%, PGD_Accuracy=31.9800%
EPOCH=014, Accuracy=78.750%, Adv_Accuracy=49.200%, FGSM_Accuracy=35.490%, PGD_Accuracy=37.7600%
EPOCH=015, Accuracy=79.780%, Adv_Accuracy=52.600%, FGSM_Accuracy=38.240%, PGD_Accuracy=39.3800%
EPOCH=016, Accuracy=80.620%, Adv_Accuracy=54.200%, FGSM_Accuracy=28.300%, PGD_Accuracy=28.5200%
EPOCH=017, Accuracy=79.690%, Adv_Accuracy=55.000%, FGSM_Accuracy=28.740%, PGD_Accuracy=30.0800%
EPOCH=018, Accuracy=76.230%, Adv_Accuracy=42.700%, FGSM_Accuracy=38.240%, PGD_Accuracy=39.8700%
EPOCH=019, Accuracy=78.930%, Adv_Accuracy=49.600%, FGSM_Accuracy=39.540%, PGD_Accuracy=41.5600%
EPOCH=020, Accuracy=81.900%, Adv_Accuracy=49.900%, FGSM_Accuracy=33.080%, PGD_Accuracy=34.2200%
EPOCH=021, Accuracy=82.710%, Adv_Accuracy=50.000%, FGSM_Accuracy=41.950%, PGD_Accuracy=43.6500%
EPOCH=022, Accuracy=77.390%, Adv_Accuracy=45.700%, FGSM_Accuracy=30.630%, PGD_Accuracy=32.1300%
EPOCH=023, Accuracy=84.170%, Adv_Accuracy=54.700%, FGSM_Accuracy=35.680%, PGD_Accuracy=36.6700%
EPOCH=024, Accuracy=83.070%, Adv_Accuracy=53.600%, FGSM_Accuracy=38.350%, PGD_Accuracy=40.1900%
