001  00001 |Loss: 2.536 | Acc: 12.500% 
001  00002 |Loss: 2.518 | Acc: 12.109% 
001  00003 |Loss: 2.487 | Acc: 11.719% 
001  00004 |Loss: 2.466 | Acc: 12.305% 
001  00005 |Loss: 2.448 | Acc: 11.875% 
001  00006 |Loss: 2.414 | Acc: 12.370% 
001  00007 |Loss: 2.403 | Acc: 12.054% 
001  00008 |Loss: 2.392 | Acc: 12.012% 
001  00009 |Loss: 2.387 | Acc: 11.806% 
001  00010 |Loss: 2.383 | Acc: 11.875% 
001  00011 |Loss: 2.382 | Acc: 11.577% 
001  00012 |Loss: 2.383 | Acc: 11.393% 
001  00013 |Loss: 2.372 | Acc: 11.779% 
001  00014 |Loss: 2.362 | Acc: 11.886% 
001  00015 |Loss: 2.360 | Acc: 11.875% 
001  00016 |Loss: 2.354 | Acc: 11.914% 
001  00017 |Loss: 2.348 | Acc: 12.362% 
001  00018 |Loss: 2.345 | Acc: 12.413% 
001  00019 |Loss: 2.339 | Acc: 12.623% 
001  00020 |Loss: 2.334 | Acc: 12.930% 
001  00021 |Loss: 2.328 | Acc: 13.207% 
001  00022 |Loss: 2.322 | Acc: 13.317% 
001  00023 |Loss: 2.313 | Acc: 13.655% 
001  00024 |Loss: 2.308 | Acc: 13.704% 
001  00025 |Loss: 2.299 | Acc: 14.094% 
001  00026 |Loss: 2.292 | Acc: 14.483% 
001  00027 |Loss: 2.287 | Acc: 14.583% 
001  00028 |Loss: 2.288 | Acc: 14.425% 
001  00029 |Loss: 2.281 | Acc: 14.709% 
001  00030 |Loss: 2.275 | Acc: 14.896% 
001  00031 |Loss: 2.268 | Acc: 15.146% 
001  00032 |Loss: 2.264 | Acc: 15.259% 
001  00033 |Loss: 2.261 | Acc: 15.199% 
001  00034 |Loss: 2.257 | Acc: 15.349% 
001  00035 |Loss: 2.250 | Acc: 15.603% 
001  00036 |Loss: 2.245 | Acc: 15.929% 
001  00037 |Loss: 2.242 | Acc: 16.174% 
001  00038 |Loss: 2.237 | Acc: 16.283% 
001  00039 |Loss: 2.229 | Acc: 16.647% 
001  00040 |Loss: 2.226 | Acc: 16.895% 
001  00041 |Loss: 2.221 | Acc: 17.092% 
