EPOCH=071, Accuracy=96.930%, Adv_Accuracy=52.300%
EPOCH=072, Accuracy=96.820%, Adv_Accuracy=52.700%
EPOCH=073, Accuracy=97.150%, Adv_Accuracy=51.900%
EPOCH=074, Accuracy=96.920%, Adv_Accuracy=51.100%
EPOCH=075, Accuracy=97.130%, Adv_Accuracy=52.700%
EPOCH=076, Accuracy=97.020%, Adv_Accuracy=52.900%
EPOCH=077, Accuracy=96.910%, Adv_Accuracy=51.500%
EPOCH=078, Accuracy=97.010%, Adv_Accuracy=51.200%
EPOCH=079, Accuracy=96.980%, Adv_Accuracy=52.600%
EPOCH=080, Accuracy=97.120%, Adv_Accuracy=51.500%
EPOCH=081, Accuracy=97.050%, Adv_Accuracy=51.200%
EPOCH=082, Accuracy=96.920%, Adv_Accuracy=52.000%
EPOCH=083, Accuracy=97.190%, Adv_Accuracy=52.100%
EPOCH=084, Accuracy=97.060%, Adv_Accuracy=51.200%
EPOCH=085, Accuracy=97.080%, Adv_Accuracy=52.100%
EPOCH=086, Accuracy=97.080%, Adv_Accuracy=51.100%
EPOCH=087, Accuracy=97.320%, Adv_Accuracy=52.800%
EPOCH=088, Accuracy=97.150%, Adv_Accuracy=52.700%
EPOCH=089, Accuracy=97.300%, Adv_Accuracy=50.900%
EPOCH=090, Accuracy=97.200%, Adv_Accuracy=51.900%
EPOCH=091, Accuracy=97.090%, Adv_Accuracy=53.100%
EPOCH=092, Accuracy=97.030%, Adv_Accuracy=50.000%
EPOCH=093, Accuracy=97.200%, Adv_Accuracy=50.300%
EPOCH=094, Accuracy=97.010%, Adv_Accuracy=52.300%
EPOCH=095, Accuracy=97.330%, Adv_Accuracy=52.000%
EPOCH=096, Accuracy=97.370%, Adv_Accuracy=52.900%
EPOCH=097, Accuracy=97.250%, Adv_Accuracy=51.600%
EPOCH=098, Accuracy=97.280%, Adv_Accuracy=53.900%
EPOCH=099, Accuracy=97.200%, Adv_Accuracy=52.300%
EPOCH=100, Accuracy=97.130%, Adv_Accuracy=51.900%
