EPOCH=001, Accuracy=41.490%, Adv_Accuracy=39.600%
EPOCH=002, Accuracy=52.440%, Adv_Accuracy=48.200%
EPOCH=003, Accuracy=59.960%, Adv_Accuracy=53.300%
EPOCH=004, Accuracy=65.780%, Adv_Accuracy=55.000%
EPOCH=005, Accuracy=66.660%, Adv_Accuracy=51.400%
EPOCH=006, Accuracy=73.550%, Adv_Accuracy=57.500%
EPOCH=007, Accuracy=73.410%, Adv_Accuracy=55.300%
EPOCH=008, Accuracy=73.950%, Adv_Accuracy=49.300%
EPOCH=009, Accuracy=75.930%, Adv_Accuracy=57.400%
EPOCH=010, Accuracy=74.830%, Adv_Accuracy=54.400%
EPOCH=011, Accuracy=78.510%, Adv_Accuracy=54.900%
EPOCH=012, Accuracy=79.280%, Adv_Accuracy=51.400%
EPOCH=013, Accuracy=82.570%, Adv_Accuracy=57.900%
EPOCH=014, Accuracy=81.660%, Adv_Accuracy=56.400%
EPOCH=015, Accuracy=81.640%, Adv_Accuracy=53.900%
EPOCH=016, Accuracy=81.420%, Adv_Accuracy=51.000%
EPOCH=017, Accuracy=83.940%, Adv_Accuracy=53.200%
EPOCH=018, Accuracy=83.760%, Adv_Accuracy=50.400%
EPOCH=019, Accuracy=86.090%, Adv_Accuracy=56.100%
EPOCH=020, Accuracy=85.440%, Adv_Accuracy=54.100%
EPOCH=021, Accuracy=86.340%, Adv_Accuracy=52.100%
EPOCH=022, Accuracy=86.120%, Adv_Accuracy=53.600%
EPOCH=023, Accuracy=86.260%, Adv_Accuracy=51.000%
EPOCH=024, Accuracy=85.490%, Adv_Accuracy=51.600%
EPOCH=025, Accuracy=86.200%, Adv_Accuracy=48.400%
EPOCH=026, Accuracy=84.960%, Adv_Accuracy=48.800%
EPOCH=027, Accuracy=86.320%, Adv_Accuracy=45.700%
EPOCH=028, Accuracy=86.210%, Adv_Accuracy=45.300%
EPOCH=029, Accuracy=85.510%, Adv_Accuracy=48.700%
EPOCH=030, Accuracy=89.730%, Adv_Accuracy=53.900%
EPOCH=031, Accuracy=87.660%, Adv_Accuracy=48.300%
EPOCH=032, Accuracy=87.930%, Adv_Accuracy=50.500%
EPOCH=033, Accuracy=88.450%, Adv_Accuracy=48.200%
EPOCH=034, Accuracy=87.310%, Adv_Accuracy=48.400%
EPOCH=035, Accuracy=88.220%, Adv_Accuracy=49.600%
EPOCH=036, Accuracy=87.870%, Adv_Accuracy=46.600%
EPOCH=037, Accuracy=88.280%, Adv_Accuracy=45.100%
EPOCH=038, Accuracy=88.200%, Adv_Accuracy=50.100%
EPOCH=039, Accuracy=90.630%, Adv_Accuracy=51.000%
EPOCH=040, Accuracy=89.510%, Adv_Accuracy=51.100%
EPOCH=041, Accuracy=89.780%, Adv_Accuracy=49.700%
EPOCH=042, Accuracy=86.860%, Adv_Accuracy=48.000%
EPOCH=043, Accuracy=86.660%, Adv_Accuracy=43.300%
EPOCH=044, Accuracy=89.880%, Adv_Accuracy=47.500%
EPOCH=045, Accuracy=89.880%, Adv_Accuracy=50.900%
EPOCH=046, Accuracy=88.890%, Adv_Accuracy=49.300%
EPOCH=047, Accuracy=90.400%, Adv_Accuracy=46.800%
EPOCH=048, Accuracy=88.810%, Adv_Accuracy=47.300%
EPOCH=049, Accuracy=91.970%, Adv_Accuracy=48.100%
EPOCH=050, Accuracy=91.050%, Adv_Accuracy=53.300%
EPOCH=051, Accuracy=95.280%, Adv_Accuracy=54.700%
EPOCH=052, Accuracy=95.840%, Adv_Accuracy=52.000%
EPOCH=053, Accuracy=95.940%, Adv_Accuracy=53.000%
EPOCH=054, Accuracy=96.090%, Adv_Accuracy=51.700%
EPOCH=055, Accuracy=96.160%, Adv_Accuracy=50.600%
EPOCH=056, Accuracy=96.110%, Adv_Accuracy=51.700%
EPOCH=057, Accuracy=96.150%, Adv_Accuracy=51.400%
EPOCH=058, Accuracy=96.520%, Adv_Accuracy=52.400%
EPOCH=059, Accuracy=96.400%, Adv_Accuracy=51.900%
EPOCH=060, Accuracy=96.490%, Adv_Accuracy=51.300%
EPOCH=061, Accuracy=96.720%, Adv_Accuracy=53.400%
EPOCH=062, Accuracy=96.830%, Adv_Accuracy=51.600%
EPOCH=063, Accuracy=96.530%, Adv_Accuracy=54.300%
EPOCH=064, Accuracy=96.580%, Adv_Accuracy=54.000%
EPOCH=065, Accuracy=96.770%, Adv_Accuracy=54.200%
EPOCH=066, Accuracy=96.880%, Adv_Accuracy=52.300%
EPOCH=067, Accuracy=96.860%, Adv_Accuracy=52.400%
EPOCH=068, Accuracy=96.890%, Adv_Accuracy=51.800%
EPOCH=069, Accuracy=97.160%, Adv_Accuracy=50.700%
EPOCH=070, Accuracy=97.050%, Adv_Accuracy=51.100%
EPOCH=071, Accuracy=96.930%, Adv_Accuracy=52.300%
EPOCH=072, Accuracy=96.820%, Adv_Accuracy=52.700%
EPOCH=073, Accuracy=97.150%, Adv_Accuracy=51.900%
EPOCH=074, Accuracy=96.920%, Adv_Accuracy=51.100%
EPOCH=075, Accuracy=97.130%, Adv_Accuracy=52.700%
EPOCH=076, Accuracy=97.020%, Adv_Accuracy=52.900%
EPOCH=077, Accuracy=96.910%, Adv_Accuracy=51.500%
EPOCH=078, Accuracy=97.010%, Adv_Accuracy=51.200%
EPOCH=079, Accuracy=96.980%, Adv_Accuracy=52.600%
EPOCH=080, Accuracy=97.120%, Adv_Accuracy=51.500%
EPOCH=081, Accuracy=97.050%, Adv_Accuracy=51.200%
EPOCH=082, Accuracy=96.920%, Adv_Accuracy=52.000%
EPOCH=083, Accuracy=97.190%, Adv_Accuracy=52.100%
EPOCH=084, Accuracy=97.060%, Adv_Accuracy=51.200%
EPOCH=085, Accuracy=97.080%, Adv_Accuracy=52.100%
EPOCH=086, Accuracy=97.080%, Adv_Accuracy=51.100%
EPOCH=087, Accuracy=97.320%, Adv_Accuracy=52.800%
EPOCH=088, Accuracy=97.150%, Adv_Accuracy=52.700%
