051  19551 |Loss: 0.224 | Acc: 91.406% 
051  19552 |Loss: 0.222 | Acc: 91.016% 
051  19553 |Loss: 0.206 | Acc: 91.667% 
051  19554 |Loss: 0.202 | Acc: 92.383% 
051  19555 |Loss: 0.193 | Acc: 92.656% 
051  19556 |Loss: 0.188 | Acc: 92.839% 
051  19557 |Loss: 0.198 | Acc: 92.411% 
051  19558 |Loss: 0.200 | Acc: 92.578% 
051  19559 |Loss: 0.195 | Acc: 92.882% 
051  19560 |Loss: 0.196 | Acc: 92.891% 
051  19561 |Loss: 0.193 | Acc: 93.040% 
051  19562 |Loss: 0.192 | Acc: 93.164% 
051  19563 |Loss: 0.190 | Acc: 93.209% 
051  19564 |Loss: 0.191 | Acc: 93.192% 
051  19565 |Loss: 0.186 | Acc: 93.385% 
051  19566 |Loss: 0.186 | Acc: 93.457% 
051  19567 |Loss: 0.190 | Acc: 93.382% 
051  19568 |Loss: 0.191 | Acc: 93.273% 
051  19569 |Loss: 0.194 | Acc: 93.051% 
051  19570 |Loss: 0.193 | Acc: 93.047% 
051  19571 |Loss: 0.191 | Acc: 93.155% 
051  19572 |Loss: 0.196 | Acc: 92.933% 
051  19573 |Loss: 0.196 | Acc: 92.935% 
051  19574 |Loss: 0.198 | Acc: 92.839% 
051  19575 |Loss: 0.198 | Acc: 92.875% 
051  19576 |Loss: 0.195 | Acc: 93.059% 
051  19577 |Loss: 0.195 | Acc: 93.027% 
051  19578 |Loss: 0.195 | Acc: 93.052% 
051  19579 |Loss: 0.197 | Acc: 92.969% 
051  19580 |Loss: 0.195 | Acc: 93.073% 
051  19581 |Loss: 0.195 | Acc: 93.044% 
051  19582 |Loss: 0.194 | Acc: 93.042% 
051  19583 |Loss: 0.196 | Acc: 93.063% 
051  19584 |Loss: 0.194 | Acc: 93.153% 
051  19585 |Loss: 0.197 | Acc: 93.058% 
051  19586 |Loss: 0.195 | Acc: 93.121% 
051  19587 |Loss: 0.195 | Acc: 93.095% 
051  19588 |Loss: 0.192 | Acc: 93.236% 
051  19589 |Loss: 0.192 | Acc: 93.269% 
051  19590 |Loss: 0.189 | Acc: 93.340% 
051  19591 |Loss: 0.190 | Acc: 93.312% 
051  19592 |Loss: 0.191 | Acc: 93.285% 
051  19593 |Loss: 0.190 | Acc: 93.332% 
051  19594 |Loss: 0.188 | Acc: 93.430% 
051  19595 |Loss: 0.189 | Acc: 93.368% 
051  19596 |Loss: 0.188 | Acc: 93.359% 
051  19597 |Loss: 0.188 | Acc: 93.351% 
051  19598 |Loss: 0.188 | Acc: 93.392% 
051  19599 |Loss: 0.189 | Acc: 93.367% 
051  19600 |Loss: 0.188 | Acc: 93.422% 
051  19601 |Loss: 0.188 | Acc: 93.444% 
051  19602 |Loss: 0.189 | Acc: 93.434% 
051  19603 |Loss: 0.188 | Acc: 93.499% 
051  19604 |Loss: 0.188 | Acc: 93.490% 
051  19605 |Loss: 0.187 | Acc: 93.509% 
051  19606 |Loss: 0.187 | Acc: 93.485% 
051  19607 |Loss: 0.187 | Acc: 93.531% 
051  19608 |Loss: 0.187 | Acc: 93.534% 
051  19609 |Loss: 0.187 | Acc: 93.551% 
051  19610 |Loss: 0.186 | Acc: 93.555% 
051  19611 |Loss: 0.187 | Acc: 93.532% 
051  19612 |Loss: 0.186 | Acc: 93.586% 
051  19613 |Loss: 0.185 | Acc: 93.626% 
051  19614 |Loss: 0.185 | Acc: 93.616% 
051  19615 |Loss: 0.186 | Acc: 93.582% 
051  19616 |Loss: 0.186 | Acc: 93.620% 
051  19617 |Loss: 0.186 | Acc: 93.598% 
051  19618 |Loss: 0.186 | Acc: 93.601% 
051  19619 |Loss: 0.185 | Acc: 93.637% 
051  19620 |Loss: 0.185 | Acc: 93.650% 
051  19621 |Loss: 0.186 | Acc: 93.607% 
051  19622 |Loss: 0.185 | Acc: 93.609% 
051  19623 |Loss: 0.186 | Acc: 93.557% 
051  19624 |Loss: 0.186 | Acc: 93.539% 
051  19625 |Loss: 0.187 | Acc: 93.542% 
051  19626 |Loss: 0.188 | Acc: 93.483% 
051  19627 |Loss: 0.188 | Acc: 93.466% 
051  19628 |Loss: 0.189 | Acc: 93.450% 
051  19629 |Loss: 0.189 | Acc: 93.483% 
051  19630 |Loss: 0.188 | Acc: 93.506% 
051  19631 |Loss: 0.187 | Acc: 93.528% 
051  19632 |Loss: 0.187 | Acc: 93.531% 
051  19633 |Loss: 0.187 | Acc: 93.543% 
051  19634 |Loss: 0.186 | Acc: 93.592% 
051  19635 |Loss: 0.185 | Acc: 93.612% 
051  19636 |Loss: 0.185 | Acc: 93.632% 
051  19637 |Loss: 0.184 | Acc: 93.660% 
051  19638 |Loss: 0.184 | Acc: 93.661% 
051  19639 |Loss: 0.184 | Acc: 93.680% 
051  19640 |Loss: 0.183 | Acc: 93.672% 
051  19641 |Loss: 0.183 | Acc: 93.630% 
051  19642 |Loss: 0.183 | Acc: 93.623% 
051  19643 |Loss: 0.182 | Acc: 93.658% 
051  19644 |Loss: 0.182 | Acc: 93.700% 
051  19645 |Loss: 0.181 | Acc: 93.742% 
051  19646 |Loss: 0.181 | Acc: 93.750% 
051  19647 |Loss: 0.182 | Acc: 93.710% 
051  19648 |Loss: 0.181 | Acc: 93.718% 
051  19649 |Loss: 0.182 | Acc: 93.695% 
051  19650 |Loss: 0.182 | Acc: 93.680% 
051  19651 |Loss: 0.181 | Acc: 93.704% 
051  19652 |Loss: 0.181 | Acc: 93.704% 
051  19653 |Loss: 0.181 | Acc: 93.720% 
051  19654 |Loss: 0.181 | Acc: 93.690% 
051  19655 |Loss: 0.181 | Acc: 93.728% 
051  19656 |Loss: 0.181 | Acc: 93.706% 
051  19657 |Loss: 0.181 | Acc: 93.728% 
051  19658 |Loss: 0.180 | Acc: 93.750% 
051  19659 |Loss: 0.180 | Acc: 93.757% 
051  19660 |Loss: 0.180 | Acc: 93.771% 
051  19661 |Loss: 0.180 | Acc: 93.785% 
051  19662 |Loss: 0.180 | Acc: 93.806% 
051  19663 |Loss: 0.180 | Acc: 93.812% 
051  19664 |Loss: 0.179 | Acc: 93.839% 
051  19665 |Loss: 0.179 | Acc: 93.852% 
051  19666 |Loss: 0.178 | Acc: 93.885% 
051  19667 |Loss: 0.178 | Acc: 93.877% 
051  19668 |Loss: 0.178 | Acc: 93.882% 
051  19669 |Loss: 0.178 | Acc: 93.908% 
051  19670 |Loss: 0.177 | Acc: 93.919% 
051  19671 |Loss: 0.177 | Acc: 93.957% 
051  19672 |Loss: 0.177 | Acc: 93.968% 
051  19673 |Loss: 0.176 | Acc: 93.972% 
051  19674 |Loss: 0.177 | Acc: 93.983% 
051  19675 |Loss: 0.177 | Acc: 93.969% 
051  19676 |Loss: 0.176 | Acc: 93.973% 
051  19677 |Loss: 0.176 | Acc: 93.984% 
051  19678 |Loss: 0.176 | Acc: 93.982% 
051  19679 |Loss: 0.176 | Acc: 93.974% 
051  19680 |Loss: 0.176 | Acc: 93.996% 
