001  00001 |Loss: 2.454 | Acc: 11.719% 
001  00002 |Loss: 2.472 | Acc: 10.547% 
001  00003 |Loss: 2.463 | Acc: 10.156% 
001  00004 |Loss: 2.425 | Acc: 10.742% 
001  00005 |Loss: 2.402 | Acc: 10.469% 
001  00006 |Loss: 2.382 | Acc: 10.677% 
001  00007 |Loss: 2.381 | Acc: 10.826% 
001  00008 |Loss: 2.388 | Acc: 10.742% 
001  00009 |Loss: 2.388 | Acc: 10.417% 
001  00010 |Loss: 2.387 | Acc: 10.391% 
001  00011 |Loss: 2.379 | Acc: 10.440% 
001  00012 |Loss: 2.374 | Acc: 10.807% 
001  00013 |Loss: 2.366 | Acc: 11.118% 
001  00014 |Loss: 2.358 | Acc: 11.440% 
001  00015 |Loss: 2.350 | Acc: 11.562% 
001  00016 |Loss: 2.346 | Acc: 11.768% 
001  00017 |Loss: 2.337 | Acc: 12.270% 
001  00018 |Loss: 2.339 | Acc: 12.066% 
001  00019 |Loss: 2.336 | Acc: 12.253% 
001  00020 |Loss: 2.330 | Acc: 12.500% 
001  00021 |Loss: 2.326 | Acc: 12.612% 
001  00022 |Loss: 2.323 | Acc: 12.855% 
001  00023 |Loss: 2.318 | Acc: 13.010% 
001  00024 |Loss: 2.315 | Acc: 13.118% 
001  00025 |Loss: 2.309 | Acc: 13.250% 
001  00026 |Loss: 2.306 | Acc: 13.431% 
001  00027 |Loss: 2.304 | Acc: 13.455% 
001  00028 |Loss: 2.301 | Acc: 13.811% 
001  00029 |Loss: 2.296 | Acc: 14.009% 
001  00030 |Loss: 2.291 | Acc: 14.141% 
001  00031 |Loss: 2.287 | Acc: 14.289% 
001  00032 |Loss: 2.284 | Acc: 14.526% 
001  00033 |Loss: 2.281 | Acc: 14.678% 
001  00034 |Loss: 2.276 | Acc: 14.936% 
001  00035 |Loss: 2.271 | Acc: 15.223% 
001  00036 |Loss: 2.267 | Acc: 15.560% 
001  00037 |Loss: 2.262 | Acc: 15.857% 
001  00038 |Loss: 2.258 | Acc: 15.975% 
001  00039 |Loss: 2.254 | Acc: 16.106% 
001  00040 |Loss: 2.249 | Acc: 16.191% 
001  00041 |Loss: 2.246 | Acc: 16.387% 
001  00042 |Loss: 2.239 | Acc: 16.648% 
001  00043 |Loss: 2.233 | Acc: 16.860% 
001  00044 |Loss: 2.228 | Acc: 16.957% 
001  00045 |Loss: 2.224 | Acc: 17.031% 
001  00046 |Loss: 2.218 | Acc: 17.086% 
001  00047 |Loss: 2.212 | Acc: 17.254% 
001  00048 |Loss: 2.208 | Acc: 17.464% 
001  00049 |Loss: 2.204 | Acc: 17.666% 
001  00050 |Loss: 2.198 | Acc: 17.750% 
001  00051 |Loss: 2.195 | Acc: 17.754% 
001  00052 |Loss: 2.192 | Acc: 17.939% 
001  00053 |Loss: 2.187 | Acc: 18.101% 
001  00054 |Loss: 2.182 | Acc: 18.229% 
001  00055 |Loss: 2.176 | Acc: 18.452% 
001  00056 |Loss: 2.171 | Acc: 18.624% 
001  00057 |Loss: 2.168 | Acc: 18.654% 
001  00058 |Loss: 2.163 | Acc: 18.763% 
001  00059 |Loss: 2.162 | Acc: 18.856% 
001  00060 |Loss: 2.158 | Acc: 18.971% 
001  00061 |Loss: 2.155 | Acc: 19.109% 
001  00062 |Loss: 2.152 | Acc: 19.267% 
001  00063 |Loss: 2.149 | Acc: 19.258% 
001  00064 |Loss: 2.147 | Acc: 19.299% 
001  00065 |Loss: 2.143 | Acc: 19.399% 
001  00066 |Loss: 2.137 | Acc: 19.531% 
001  00067 |Loss: 2.132 | Acc: 19.694% 
001  00068 |Loss: 2.131 | Acc: 19.784% 
001  00069 |Loss: 2.128 | Acc: 19.871% 
001  00070 |Loss: 2.126 | Acc: 20.033% 
001  00071 |Loss: 2.122 | Acc: 20.103% 
001  00072 |Loss: 2.121 | Acc: 20.204% 
001  00073 |Loss: 2.118 | Acc: 20.355% 
001  00074 |Loss: 2.116 | Acc: 20.429% 
001  00075 |Loss: 2.111 | Acc: 20.500% 
001  00076 |Loss: 2.107 | Acc: 20.569% 
001  00077 |Loss: 2.105 | Acc: 20.708% 
001  00078 |Loss: 2.101 | Acc: 20.753% 
001  00079 |Loss: 2.098 | Acc: 20.807% 
001  00080 |Loss: 2.095 | Acc: 20.889% 
001  00081 |Loss: 2.092 | Acc: 20.997% 
001  00082 |Loss: 2.089 | Acc: 21.189% 
001  00083 |Loss: 2.084 | Acc: 21.414% 
001  00084 |Loss: 2.080 | Acc: 21.503% 
001  00085 |Loss: 2.078 | Acc: 21.581% 
001  00086 |Loss: 2.074 | Acc: 21.730% 
001  00087 |Loss: 2.073 | Acc: 21.866% 
001  00088 |Loss: 2.069 | Acc: 21.999% 
001  00089 |Loss: 2.066 | Acc: 22.130% 
001  00090 |Loss: 2.063 | Acc: 22.222% 
001  00091 |Loss: 2.060 | Acc: 22.339% 
001  00092 |Loss: 2.056 | Acc: 22.444% 
001  00093 |Loss: 2.054 | Acc: 22.522% 
001  00094 |Loss: 2.052 | Acc: 22.656% 
001  00095 |Loss: 2.050 | Acc: 22.689% 
001  00096 |Loss: 2.048 | Acc: 22.819% 
001  00097 |Loss: 2.045 | Acc: 22.922% 
001  00098 |Loss: 2.042 | Acc: 23.015% 
001  00099 |Loss: 2.041 | Acc: 23.027% 
001  00100 |Loss: 2.039 | Acc: 23.125% 
001  00101 |Loss: 2.037 | Acc: 23.159% 
001  00102 |Loss: 2.034 | Acc: 23.231% 
001  00103 |Loss: 2.032 | Acc: 23.278% 
001  00104 |Loss: 2.031 | Acc: 23.340% 
001  00105 |Loss: 2.028 | Acc: 23.423% 
001  00106 |Loss: 2.026 | Acc: 23.460% 
001  00107 |Loss: 2.025 | Acc: 23.489% 
001  00108 |Loss: 2.022 | Acc: 23.618% 
001  00109 |Loss: 2.020 | Acc: 23.688% 
001  00110 |Loss: 2.018 | Acc: 23.714% 
001  00111 |Loss: 2.016 | Acc: 23.761% 
001  00112 |Loss: 2.014 | Acc: 23.891% 
001  00113 |Loss: 2.013 | Acc: 23.963% 
001  00114 |Loss: 2.011 | Acc: 24.013% 
001  00115 |Loss: 2.010 | Acc: 24.049% 
001  00116 |Loss: 2.008 | Acc: 24.172% 
001  00117 |Loss: 2.005 | Acc: 24.239% 
001  00118 |Loss: 2.003 | Acc: 24.305% 
001  00119 |Loss: 2.002 | Acc: 24.363% 
001  00120 |Loss: 2.000 | Acc: 24.440% 
001  00121 |Loss: 1.998 | Acc: 24.503% 
001  00122 |Loss: 1.996 | Acc: 24.565% 
001  00123 |Loss: 1.993 | Acc: 24.701% 
001  00124 |Loss: 1.991 | Acc: 24.779% 
001  00125 |Loss: 1.988 | Acc: 24.862% 
001  00126 |Loss: 1.987 | Acc: 24.913% 
001  00127 |Loss: 1.984 | Acc: 25.006% 
001  00128 |Loss: 1.983 | Acc: 25.037% 
001  00129 |Loss: 1.982 | Acc: 25.079% 
