001  00001 |Loss: 3.553 | Acc: 0.000% 
001  00002 |Loss: 3.579 | Acc: 0.000% 
001  00003 |Loss: 3.578 | Acc: 0.000% 
001  00004 |Loss: 3.528 | Acc: 0.000% 
001  00005 |Loss: 3.481 | Acc: 0.000% 
001  00006 |Loss: 3.439 | Acc: 0.000% 
001  00007 |Loss: 3.406 | Acc: 0.000% 
001  00008 |Loss: 3.369 | Acc: 0.098% 
001  00009 |Loss: 3.338 | Acc: 0.087% 
001  00010 |Loss: 3.309 | Acc: 0.078% 
001  00011 |Loss: 3.272 | Acc: 0.213% 
001  00012 |Loss: 3.236 | Acc: 0.260% 
001  00013 |Loss: 3.200 | Acc: 0.300% 
001  00014 |Loss: 3.167 | Acc: 0.335% 
001  00015 |Loss: 3.135 | Acc: 0.521% 
001  00016 |Loss: 3.103 | Acc: 0.781% 
001  00017 |Loss: 3.076 | Acc: 0.873% 
001  00018 |Loss: 3.047 | Acc: 1.128% 
001  00019 |Loss: 3.025 | Acc: 1.275% 
001  00020 |Loss: 2.998 | Acc: 1.562% 
001  00021 |Loss: 2.971 | Acc: 1.786% 
001  00022 |Loss: 2.947 | Acc: 1.953% 
001  00023 |Loss: 2.924 | Acc: 2.276% 
001  00024 |Loss: 2.907 | Acc: 2.344% 
001  00025 |Loss: 2.887 | Acc: 2.750% 
001  00026 |Loss: 2.870 | Acc: 2.945% 
001  00027 |Loss: 2.851 | Acc: 3.212% 
001  00028 |Loss: 2.833 | Acc: 3.404% 
001  00029 |Loss: 2.816 | Acc: 3.475% 
001  00030 |Loss: 2.800 | Acc: 3.438% 
001  00031 |Loss: 2.785 | Acc: 3.629% 
001  00032 |Loss: 2.769 | Acc: 3.882% 
001  00033 |Loss: 2.756 | Acc: 4.167% 
001  00034 |Loss: 2.744 | Acc: 4.320% 
001  00035 |Loss: 2.733 | Acc: 4.598% 
001  00036 |Loss: 2.721 | Acc: 4.905% 
001  00037 |Loss: 2.710 | Acc: 5.131% 
001  00038 |Loss: 2.700 | Acc: 5.222% 
001  00039 |Loss: 2.689 | Acc: 5.429% 
001  00040 |Loss: 2.680 | Acc: 5.508% 
001  00041 |Loss: 2.672 | Acc: 5.716% 
001  00042 |Loss: 2.665 | Acc: 5.841% 
001  00043 |Loss: 2.657 | Acc: 5.977% 
001  00044 |Loss: 2.648 | Acc: 6.108% 
001  00045 |Loss: 2.640 | Acc: 6.146% 
001  00046 |Loss: 2.631 | Acc: 6.284% 
001  00047 |Loss: 2.624 | Acc: 6.516% 
001  00048 |Loss: 2.617 | Acc: 6.738% 
001  00049 |Loss: 2.611 | Acc: 6.872% 
001  00050 |Loss: 2.605 | Acc: 7.031% 
001  00051 |Loss: 2.598 | Acc: 7.215% 
001  00052 |Loss: 2.592 | Acc: 7.362% 
001  00053 |Loss: 2.587 | Acc: 7.473% 
001  00054 |Loss: 2.581 | Acc: 7.581% 
001  00055 |Loss: 2.575 | Acc: 7.699% 
001  00056 |Loss: 2.569 | Acc: 7.910% 
001  00057 |Loss: 2.563 | Acc: 7.963% 
001  00058 |Loss: 2.557 | Acc: 8.082% 
001  00059 |Loss: 2.552 | Acc: 8.157% 
001  00060 |Loss: 2.549 | Acc: 8.229% 
001  00061 |Loss: 2.544 | Acc: 8.261% 
001  00062 |Loss: 2.540 | Acc: 8.279% 
001  00063 |Loss: 2.536 | Acc: 8.321% 
001  00064 |Loss: 2.531 | Acc: 8.398% 
001  00065 |Loss: 2.527 | Acc: 8.474% 
001  00066 |Loss: 2.524 | Acc: 8.523% 
001  00067 |Loss: 2.520 | Acc: 8.582% 
001  00068 |Loss: 2.517 | Acc: 8.582% 
001  00069 |Loss: 2.513 | Acc: 8.639% 
001  00070 |Loss: 2.509 | Acc: 8.717% 
001  00071 |Loss: 2.505 | Acc: 8.803% 
001  00072 |Loss: 2.502 | Acc: 8.832% 
001  00073 |Loss: 2.499 | Acc: 8.883% 
001  00074 |Loss: 2.495 | Acc: 9.005% 
001  00075 |Loss: 2.491 | Acc: 9.156% 
001  00076 |Loss: 2.488 | Acc: 9.200% 
001  00077 |Loss: 2.486 | Acc: 9.294% 
001  00078 |Loss: 2.482 | Acc: 9.405% 
001  00079 |Loss: 2.479 | Acc: 9.444% 
001  00080 |Loss: 2.475 | Acc: 9.551% 
001  00081 |Loss: 2.472 | Acc: 9.664% 
001  00082 |Loss: 2.469 | Acc: 9.737% 
001  00083 |Loss: 2.466 | Acc: 9.780% 
001  00084 |Loss: 2.464 | Acc: 9.784% 
001  00085 |Loss: 2.461 | Acc: 9.890% 
001  00086 |Loss: 2.459 | Acc: 9.929% 
001  00087 |Loss: 2.456 | Acc: 10.031% 
001  00088 |Loss: 2.454 | Acc: 10.165% 
001  00089 |Loss: 2.451 | Acc: 10.270% 
001  00090 |Loss: 2.450 | Acc: 10.234% 
001  00091 |Loss: 2.447 | Acc: 10.328% 
001  00092 |Loss: 2.445 | Acc: 10.326% 
001  00093 |Loss: 2.443 | Acc: 10.433% 
001  00094 |Loss: 2.440 | Acc: 10.514% 
001  00095 |Loss: 2.437 | Acc: 10.592% 
001  00096 |Loss: 2.435 | Acc: 10.628% 
001  00097 |Loss: 2.433 | Acc: 10.631% 
001  00098 |Loss: 2.431 | Acc: 10.674% 
