071  27371 |Loss: 1.601 | Acc: 38.281% 
071  27372 |Loss: 1.632 | Acc: 38.672% 
071  27373 |Loss: 1.685 | Acc: 36.458% 
071  27374 |Loss: 1.663 | Acc: 39.062% 
071  27375 |Loss: 1.671 | Acc: 39.531% 
071  27376 |Loss: 1.658 | Acc: 39.974% 
071  27377 |Loss: 1.673 | Acc: 39.397% 
071  27378 |Loss: 1.660 | Acc: 39.355% 
071  27379 |Loss: 1.651 | Acc: 39.497% 
071  27380 |Loss: 1.642 | Acc: 39.766% 
071  27381 |Loss: 1.653 | Acc: 38.778% 
071  27382 |Loss: 1.662 | Acc: 38.151% 
071  27383 |Loss: 1.667 | Acc: 38.101% 
071  27384 |Loss: 1.663 | Acc: 38.337% 
071  27385 |Loss: 1.663 | Acc: 38.490% 
071  27386 |Loss: 1.655 | Acc: 39.062% 
071  27387 |Loss: 1.657 | Acc: 38.971% 
071  27388 |Loss: 1.651 | Acc: 39.323% 
071  27389 |Loss: 1.652 | Acc: 39.309% 
071  27390 |Loss: 1.650 | Acc: 39.336% 
071  27391 |Loss: 1.656 | Acc: 38.802% 
071  27392 |Loss: 1.664 | Acc: 38.459% 
071  27393 |Loss: 1.667 | Acc: 38.383% 
071  27394 |Loss: 1.674 | Acc: 38.118% 
071  27395 |Loss: 1.677 | Acc: 38.094% 
071  27396 |Loss: 1.676 | Acc: 38.101% 
071  27397 |Loss: 1.676 | Acc: 38.021% 
071  27398 |Loss: 1.677 | Acc: 37.919% 
071  27399 |Loss: 1.682 | Acc: 37.554% 
071  27400 |Loss: 1.676 | Acc: 37.656% 
071  27401 |Loss: 1.678 | Acc: 37.475% 
071  27402 |Loss: 1.678 | Acc: 37.524% 
071  27403 |Loss: 1.676 | Acc: 37.571% 
071  27404 |Loss: 1.673 | Acc: 37.431% 
071  27405 |Loss: 1.667 | Acc: 37.701% 
071  27406 |Loss: 1.669 | Acc: 37.717% 
071  27407 |Loss: 1.667 | Acc: 37.774% 
071  27408 |Loss: 1.669 | Acc: 37.788% 
071  27409 |Loss: 1.667 | Acc: 37.780% 
071  27410 |Loss: 1.667 | Acc: 37.598% 
071  27411 |Loss: 1.667 | Acc: 37.519% 
071  27412 |Loss: 1.669 | Acc: 37.444% 
071  27413 |Loss: 1.671 | Acc: 37.427% 
071  27414 |Loss: 1.671 | Acc: 37.500% 
071  27415 |Loss: 1.674 | Acc: 37.465% 
071  27416 |Loss: 1.673 | Acc: 37.517% 
071  27417 |Loss: 1.669 | Acc: 37.616% 
071  27418 |Loss: 1.670 | Acc: 37.533% 
071  27419 |Loss: 1.671 | Acc: 37.564% 
071  27420 |Loss: 1.668 | Acc: 37.688% 
071  27421 |Loss: 1.669 | Acc: 37.669% 
071  27422 |Loss: 1.671 | Acc: 37.530% 
071  27423 |Loss: 1.669 | Acc: 37.633% 
071  27424 |Loss: 1.670 | Acc: 37.630% 
071  27425 |Loss: 1.667 | Acc: 37.713% 
071  27426 |Loss: 1.668 | Acc: 37.695% 
071  27427 |Loss: 1.669 | Acc: 37.678% 
071  27428 |Loss: 1.670 | Acc: 37.689% 
071  27429 |Loss: 1.670 | Acc: 37.659% 
071  27430 |Loss: 1.667 | Acc: 37.878% 
071  27431 |Loss: 1.667 | Acc: 37.833% 
071  27432 |Loss: 1.668 | Acc: 37.865% 
071  27433 |Loss: 1.667 | Acc: 37.884% 
071  27434 |Loss: 1.667 | Acc: 37.866% 
071  27435 |Loss: 1.664 | Acc: 37.993% 
071  27436 |Loss: 1.666 | Acc: 37.950% 
071  27437 |Loss: 1.666 | Acc: 37.920% 
071  27438 |Loss: 1.665 | Acc: 37.994% 
071  27439 |Loss: 1.666 | Acc: 37.919% 
071  27440 |Loss: 1.664 | Acc: 38.025% 
071  27441 |Loss: 1.665 | Acc: 37.962% 
071  27442 |Loss: 1.664 | Acc: 38.140% 
071  27443 |Loss: 1.663 | Acc: 38.142% 
071  27444 |Loss: 1.662 | Acc: 38.155% 
071  27445 |Loss: 1.663 | Acc: 38.125% 
071  27446 |Loss: 1.666 | Acc: 37.942% 
071  27447 |Loss: 1.666 | Acc: 37.855% 
071  27448 |Loss: 1.666 | Acc: 37.861% 
071  27449 |Loss: 1.665 | Acc: 37.925% 
071  27450 |Loss: 1.666 | Acc: 37.861% 
071  27451 |Loss: 1.665 | Acc: 37.876% 
071  27452 |Loss: 1.665 | Acc: 37.900% 
071  27453 |Loss: 1.664 | Acc: 37.924% 
071  27454 |Loss: 1.665 | Acc: 37.946% 
071  27455 |Loss: 1.666 | Acc: 37.904% 
071  27456 |Loss: 1.665 | Acc: 37.891% 
071  27457 |Loss: 1.666 | Acc: 37.850% 
071  27458 |Loss: 1.666 | Acc: 37.855% 
071  27459 |Loss: 1.666 | Acc: 37.913% 
071  27460 |Loss: 1.665 | Acc: 37.951% 
071  27461 |Loss: 1.665 | Acc: 37.929% 
071  27462 |Loss: 1.665 | Acc: 37.959% 
071  27463 |Loss: 1.664 | Acc: 38.004% 
071  27464 |Loss: 1.663 | Acc: 38.024% 
