EPOCH=051, Accuracy=95.070%, Adv_Accuracy=57.700%
EPOCH=052, Accuracy=95.060%, Adv_Accuracy=54.300%
EPOCH=053, Accuracy=95.450%, Adv_Accuracy=54.000%
EPOCH=054, Accuracy=95.240%, Adv_Accuracy=53.600%
EPOCH=055, Accuracy=95.190%, Adv_Accuracy=55.900%
EPOCH=056, Accuracy=95.180%, Adv_Accuracy=55.200%
EPOCH=057, Accuracy=95.380%, Adv_Accuracy=54.500%
EPOCH=058, Accuracy=95.300%, Adv_Accuracy=54.700%
EPOCH=059, Accuracy=95.210%, Adv_Accuracy=53.300%
EPOCH=060, Accuracy=95.490%, Adv_Accuracy=51.500%
EPOCH=061, Accuracy=95.180%, Adv_Accuracy=53.800%
EPOCH=062, Accuracy=95.180%, Adv_Accuracy=52.900%
EPOCH=063, Accuracy=95.400%, Adv_Accuracy=56.500%
EPOCH=064, Accuracy=95.260%, Adv_Accuracy=54.900%
EPOCH=065, Accuracy=95.290%, Adv_Accuracy=54.300%
EPOCH=066, Accuracy=95.530%, Adv_Accuracy=54.900%
EPOCH=067, Accuracy=95.260%, Adv_Accuracy=54.900%
EPOCH=068, Accuracy=95.100%, Adv_Accuracy=54.800%
EPOCH=069, Accuracy=95.070%, Adv_Accuracy=52.200%
EPOCH=070, Accuracy=95.110%, Adv_Accuracy=54.000%
