EPOCH=001, Accuracy=44.370%, Adv_Accuracy=44.000%
EPOCH=002, Accuracy=54.580%, Adv_Accuracy=48.900%
EPOCH=003, Accuracy=61.260%, Adv_Accuracy=57.300%
EPOCH=004, Accuracy=60.060%, Adv_Accuracy=53.200%
EPOCH=005, Accuracy=68.280%, Adv_Accuracy=58.000%
EPOCH=006, Accuracy=70.430%, Adv_Accuracy=59.600%
EPOCH=007, Accuracy=70.340%, Adv_Accuracy=52.800%
EPOCH=008, Accuracy=71.060%, Adv_Accuracy=52.300%
EPOCH=009, Accuracy=73.950%, Adv_Accuracy=50.300%
EPOCH=010, Accuracy=76.900%, Adv_Accuracy=55.300%
EPOCH=011, Accuracy=78.390%, Adv_Accuracy=55.300%
EPOCH=012, Accuracy=77.190%, Adv_Accuracy=53.000%
EPOCH=013, Accuracy=79.950%, Adv_Accuracy=58.900%
EPOCH=014, Accuracy=79.900%, Adv_Accuracy=54.800%
EPOCH=015, Accuracy=76.530%, Adv_Accuracy=53.000%
EPOCH=016, Accuracy=80.530%, Adv_Accuracy=57.700%
EPOCH=017, Accuracy=81.490%, Adv_Accuracy=58.900%
EPOCH=018, Accuracy=80.310%, Adv_Accuracy=50.800%
EPOCH=019, Accuracy=81.720%, Adv_Accuracy=56.400%
EPOCH=020, Accuracy=81.850%, Adv_Accuracy=50.600%
EPOCH=021, Accuracy=82.610%, Adv_Accuracy=46.900%
EPOCH=022, Accuracy=82.880%, Adv_Accuracy=49.300%
EPOCH=023, Accuracy=80.960%, Adv_Accuracy=54.500%
EPOCH=024, Accuracy=83.120%, Adv_Accuracy=51.900%
EPOCH=025, Accuracy=81.510%, Adv_Accuracy=51.700%
EPOCH=026, Accuracy=84.630%, Adv_Accuracy=54.200%
EPOCH=027, Accuracy=84.820%, Adv_Accuracy=54.000%
EPOCH=028, Accuracy=83.960%, Adv_Accuracy=48.500%
EPOCH=029, Accuracy=84.010%, Adv_Accuracy=50.500%
EPOCH=030, Accuracy=84.790%, Adv_Accuracy=53.300%
EPOCH=031, Accuracy=84.030%, Adv_Accuracy=54.400%
EPOCH=032, Accuracy=84.190%, Adv_Accuracy=51.800%
EPOCH=033, Accuracy=84.010%, Adv_Accuracy=48.400%
EPOCH=034, Accuracy=85.030%, Adv_Accuracy=52.000%
EPOCH=035, Accuracy=82.950%, Adv_Accuracy=49.800%
EPOCH=036, Accuracy=83.800%, Adv_Accuracy=49.700%
EPOCH=037, Accuracy=84.580%, Adv_Accuracy=48.700%
EPOCH=038, Accuracy=84.800%, Adv_Accuracy=50.200%
EPOCH=039, Accuracy=86.330%, Adv_Accuracy=52.800%
EPOCH=040, Accuracy=86.200%, Adv_Accuracy=51.700%
EPOCH=041, Accuracy=87.070%, Adv_Accuracy=49.400%
EPOCH=042, Accuracy=86.820%, Adv_Accuracy=54.400%
EPOCH=043, Accuracy=84.360%, Adv_Accuracy=47.700%
EPOCH=044, Accuracy=84.900%, Adv_Accuracy=52.800%
EPOCH=045, Accuracy=86.470%, Adv_Accuracy=50.400%
EPOCH=046, Accuracy=85.300%, Adv_Accuracy=52.900%
EPOCH=047, Accuracy=86.400%, Adv_Accuracy=53.000%
EPOCH=048, Accuracy=86.460%, Adv_Accuracy=50.200%
EPOCH=049, Accuracy=86.670%, Adv_Accuracy=48.500%
EPOCH=050, Accuracy=87.540%, Adv_Accuracy=52.700%
EPOCH=051, Accuracy=95.070%, Adv_Accuracy=57.700%
EPOCH=052, Accuracy=95.060%, Adv_Accuracy=54.300%
EPOCH=053, Accuracy=95.450%, Adv_Accuracy=54.000%
EPOCH=054, Accuracy=95.240%, Adv_Accuracy=53.600%
EPOCH=055, Accuracy=95.190%, Adv_Accuracy=55.900%
EPOCH=056, Accuracy=95.180%, Adv_Accuracy=55.200%
EPOCH=057, Accuracy=95.380%, Adv_Accuracy=54.500%
EPOCH=058, Accuracy=95.300%, Adv_Accuracy=54.700%
EPOCH=059, Accuracy=95.210%, Adv_Accuracy=53.300%
EPOCH=060, Accuracy=95.490%, Adv_Accuracy=51.500%
EPOCH=061, Accuracy=95.180%, Adv_Accuracy=53.800%
EPOCH=062, Accuracy=95.180%, Adv_Accuracy=52.900%
EPOCH=063, Accuracy=95.400%, Adv_Accuracy=56.500%
EPOCH=064, Accuracy=95.260%, Adv_Accuracy=54.900%
EPOCH=065, Accuracy=95.290%, Adv_Accuracy=54.300%
EPOCH=066, Accuracy=95.530%, Adv_Accuracy=54.900%
EPOCH=067, Accuracy=95.260%, Adv_Accuracy=54.900%
EPOCH=068, Accuracy=95.100%, Adv_Accuracy=54.800%
EPOCH=069, Accuracy=95.070%, Adv_Accuracy=52.200%
EPOCH=070, Accuracy=95.110%, Adv_Accuracy=54.000%
EPOCH=071, Accuracy=97.050%, Adv_Accuracy=54.000%
EPOCH=072, Accuracy=97.240%, Adv_Accuracy=53.800%
EPOCH=073, Accuracy=97.230%, Adv_Accuracy=54.800%
EPOCH=074, Accuracy=96.910%, Adv_Accuracy=54.000%
EPOCH=075, Accuracy=97.340%, Adv_Accuracy=56.000%
EPOCH=076, Accuracy=97.210%, Adv_Accuracy=54.000%
EPOCH=077, Accuracy=97.220%, Adv_Accuracy=55.000%
EPOCH=078, Accuracy=97.290%, Adv_Accuracy=55.700%
EPOCH=079, Accuracy=97.190%, Adv_Accuracy=53.600%
EPOCH=080, Accuracy=97.000%, Adv_Accuracy=52.500%
EPOCH=081, Accuracy=97.070%, Adv_Accuracy=53.600%
EPOCH=082, Accuracy=97.130%, Adv_Accuracy=53.900%
EPOCH=083, Accuracy=96.970%, Adv_Accuracy=54.100%
EPOCH=084, Accuracy=96.930%, Adv_Accuracy=54.300%
EPOCH=085, Accuracy=97.010%, Adv_Accuracy=53.800%
EPOCH=086, Accuracy=96.880%, Adv_Accuracy=53.600%
EPOCH=087, Accuracy=96.970%, Adv_Accuracy=52.800%
EPOCH=088, Accuracy=97.090%, Adv_Accuracy=54.500%
EPOCH=089, Accuracy=96.790%, Adv_Accuracy=54.400%
EPOCH=090, Accuracy=97.020%, Adv_Accuracy=53.300%
EPOCH=091, Accuracy=97.070%, Adv_Accuracy=53.400%
EPOCH=092, Accuracy=96.900%, Adv_Accuracy=54.200%
EPOCH=093, Accuracy=97.140%, Adv_Accuracy=52.800%
EPOCH=094, Accuracy=97.010%, Adv_Accuracy=54.400%
EPOCH=095, Accuracy=96.790%, Adv_Accuracy=53.900%
EPOCH=096, Accuracy=96.680%, Adv_Accuracy=54.300%
EPOCH=097, Accuracy=97.150%, Adv_Accuracy=53.800%
EPOCH=098, Accuracy=96.860%, Adv_Accuracy=54.600%
EPOCH=099, Accuracy=96.900%, Adv_Accuracy=53.400%
EPOCH=100, Accuracy=96.650%, Adv_Accuracy=54.900%
