051  19551 |Loss: 0.201 | Acc: 92.188% 
051  19552 |Loss: 0.223 | Acc: 92.188% 
051  19553 |Loss: 0.240 | Acc: 90.625% 
051  19554 |Loss: 0.257 | Acc: 90.430% 
051  19555 |Loss: 0.245 | Acc: 90.625% 
051  19556 |Loss: 0.241 | Acc: 90.495% 
051  19557 |Loss: 0.250 | Acc: 90.402% 
051  19558 |Loss: 0.244 | Acc: 90.527% 
051  19559 |Loss: 0.240 | Acc: 90.625% 
051  19560 |Loss: 0.236 | Acc: 90.781% 
051  19561 |Loss: 0.240 | Acc: 90.625% 
051  19562 |Loss: 0.232 | Acc: 91.146% 
051  19563 |Loss: 0.228 | Acc: 91.106% 
051  19564 |Loss: 0.224 | Acc: 91.295% 
051  19565 |Loss: 0.230 | Acc: 91.354% 
051  19566 |Loss: 0.232 | Acc: 91.162% 
051  19567 |Loss: 0.232 | Acc: 91.268% 
051  19568 |Loss: 0.234 | Acc: 91.102% 
051  19569 |Loss: 0.231 | Acc: 91.201% 
051  19570 |Loss: 0.228 | Acc: 91.289% 
051  19571 |Loss: 0.232 | Acc: 91.257% 
051  19572 |Loss: 0.234 | Acc: 91.300% 
051  19573 |Loss: 0.233 | Acc: 91.406% 
051  19574 |Loss: 0.233 | Acc: 91.406% 
051  19575 |Loss: 0.232 | Acc: 91.469% 
051  19576 |Loss: 0.230 | Acc: 91.556% 
051  19577 |Loss: 0.228 | Acc: 91.667% 
051  19578 |Loss: 0.230 | Acc: 91.713% 
051  19579 |Loss: 0.231 | Acc: 91.649% 
051  19580 |Loss: 0.229 | Acc: 91.693% 
051  19581 |Loss: 0.231 | Acc: 91.683% 
051  19582 |Loss: 0.230 | Acc: 91.772% 
051  19583 |Loss: 0.229 | Acc: 91.809% 
051  19584 |Loss: 0.228 | Acc: 91.843% 
051  19585 |Loss: 0.230 | Acc: 91.763% 
051  19586 |Loss: 0.230 | Acc: 91.732% 
051  19587 |Loss: 0.231 | Acc: 91.723% 
051  19588 |Loss: 0.230 | Acc: 91.797% 
051  19589 |Loss: 0.229 | Acc: 91.867% 
051  19590 |Loss: 0.230 | Acc: 91.895% 
051  19591 |Loss: 0.230 | Acc: 91.883% 
051  19592 |Loss: 0.227 | Acc: 91.983% 
051  19593 |Loss: 0.228 | Acc: 91.951% 
051  19594 |Loss: 0.226 | Acc: 92.010% 
051  19595 |Loss: 0.224 | Acc: 92.101% 
051  19596 |Loss: 0.226 | Acc: 92.086% 
051  19597 |Loss: 0.227 | Acc: 92.088% 
051  19598 |Loss: 0.226 | Acc: 92.122% 
051  19599 |Loss: 0.228 | Acc: 92.092% 
051  19600 |Loss: 0.230 | Acc: 92.000% 
051  19601 |Loss: 0.231 | Acc: 91.942% 
051  19602 |Loss: 0.230 | Acc: 91.992% 
051  19603 |Loss: 0.228 | Acc: 92.055% 
051  19604 |Loss: 0.228 | Acc: 92.072% 
051  19605 |Loss: 0.227 | Acc: 92.116% 
051  19606 |Loss: 0.227 | Acc: 92.104% 
051  19607 |Loss: 0.228 | Acc: 92.064% 
051  19608 |Loss: 0.227 | Acc: 92.093% 
051  19609 |Loss: 0.226 | Acc: 92.108% 
051  19610 |Loss: 0.226 | Acc: 92.109% 
051  19611 |Loss: 0.225 | Acc: 92.149% 
051  19612 |Loss: 0.227 | Acc: 92.087% 
051  19613 |Loss: 0.226 | Acc: 92.088% 
051  19614 |Loss: 0.226 | Acc: 92.114% 
051  19615 |Loss: 0.225 | Acc: 92.103% 
051  19616 |Loss: 0.226 | Acc: 92.069% 
051  19617 |Loss: 0.227 | Acc: 92.001% 
051  19618 |Loss: 0.227 | Acc: 92.027% 
051  19619 |Loss: 0.226 | Acc: 92.040% 
051  19620 |Loss: 0.225 | Acc: 92.087% 
051  19621 |Loss: 0.225 | Acc: 92.088% 
051  19622 |Loss: 0.223 | Acc: 92.144% 
051  19623 |Loss: 0.223 | Acc: 92.188% 
051  19624 |Loss: 0.222 | Acc: 92.240% 
051  19625 |Loss: 0.221 | Acc: 92.281% 
051  19626 |Loss: 0.221 | Acc: 92.290% 
051  19627 |Loss: 0.220 | Acc: 92.330% 
051  19628 |Loss: 0.219 | Acc: 92.368% 
051  19629 |Loss: 0.220 | Acc: 92.366% 
051  19630 |Loss: 0.219 | Acc: 92.393% 
051  19631 |Loss: 0.219 | Acc: 92.409% 
051  19632 |Loss: 0.219 | Acc: 92.435% 
051  19633 |Loss: 0.219 | Acc: 92.423% 
051  19634 |Loss: 0.220 | Acc: 92.401% 
051  19635 |Loss: 0.219 | Acc: 92.436% 
051  19636 |Loss: 0.219 | Acc: 92.442% 
051  19637 |Loss: 0.220 | Acc: 92.394% 
051  19638 |Loss: 0.220 | Acc: 92.392% 
051  19639 |Loss: 0.220 | Acc: 92.433% 
051  19640 |Loss: 0.219 | Acc: 92.448% 
051  19641 |Loss: 0.217 | Acc: 92.522% 
051  19642 |Loss: 0.217 | Acc: 92.527% 
051  19643 |Loss: 0.217 | Acc: 92.549% 
051  19644 |Loss: 0.217 | Acc: 92.553% 
051  19645 |Loss: 0.217 | Acc: 92.525% 
051  19646 |Loss: 0.216 | Acc: 92.554% 
051  19647 |Loss: 0.215 | Acc: 92.582% 
051  19648 |Loss: 0.216 | Acc: 92.586% 
051  19649 |Loss: 0.216 | Acc: 92.582% 
051  19650 |Loss: 0.215 | Acc: 92.609% 
051  19651 |Loss: 0.214 | Acc: 92.644% 
051  19652 |Loss: 0.214 | Acc: 92.639% 
051  19653 |Loss: 0.214 | Acc: 92.643% 
051  19654 |Loss: 0.214 | Acc: 92.638% 
051  19655 |Loss: 0.214 | Acc: 92.626% 
051  19656 |Loss: 0.214 | Acc: 92.644% 
051  19657 |Loss: 0.214 | Acc: 92.647% 
051  19658 |Loss: 0.213 | Acc: 92.701% 
051  19659 |Loss: 0.214 | Acc: 92.696% 
051  19660 |Loss: 0.214 | Acc: 92.692% 
051  19661 |Loss: 0.214 | Acc: 92.680% 
051  19662 |Loss: 0.214 | Acc: 92.669% 
051  19663 |Loss: 0.214 | Acc: 92.685% 
051  19664 |Loss: 0.214 | Acc: 92.681% 
051  19665 |Loss: 0.214 | Acc: 92.670% 
051  19666 |Loss: 0.213 | Acc: 92.686% 
051  19667 |Loss: 0.213 | Acc: 92.715% 
051  19668 |Loss: 0.212 | Acc: 92.724% 
051  19669 |Loss: 0.212 | Acc: 92.752% 
051  19670 |Loss: 0.211 | Acc: 92.780% 
051  19671 |Loss: 0.211 | Acc: 92.782% 
051  19672 |Loss: 0.210 | Acc: 92.821% 
051  19673 |Loss: 0.210 | Acc: 92.823% 
051  19674 |Loss: 0.209 | Acc: 92.849% 
051  19675 |Loss: 0.209 | Acc: 92.863% 
051  19676 |Loss: 0.210 | Acc: 92.839% 
051  19677 |Loss: 0.210 | Acc: 92.846% 
051  19678 |Loss: 0.210 | Acc: 92.859% 
051  19679 |Loss: 0.209 | Acc: 92.848% 
051  19680 |Loss: 0.209 | Acc: 92.873% 
051  19681 |Loss: 0.209 | Acc: 92.909% 
051  19682 |Loss: 0.208 | Acc: 92.921% 
051  19683 |Loss: 0.208 | Acc: 92.928% 
051  19684 |Loss: 0.208 | Acc: 92.934% 
051  19685 |Loss: 0.208 | Acc: 92.946% 
051  19686 |Loss: 0.208 | Acc: 92.934% 
051  19687 |Loss: 0.208 | Acc: 92.923% 
051  19688 |Loss: 0.208 | Acc: 92.912% 
051  19689 |Loss: 0.207 | Acc: 92.941% 
051  19690 |Loss: 0.207 | Acc: 92.930% 
051  19691 |Loss: 0.208 | Acc: 92.919% 
051  19692 |Loss: 0.207 | Acc: 92.936% 
051  19693 |Loss: 0.207 | Acc: 92.947% 
051  19694 |Loss: 0.207 | Acc: 92.952% 
051  19695 |Loss: 0.206 | Acc: 92.958% 
051  19696 |Loss: 0.206 | Acc: 92.979% 
051  19697 |Loss: 0.206 | Acc: 92.974% 
051  19698 |Loss: 0.206 | Acc: 92.963% 
051  19699 |Loss: 0.206 | Acc: 92.943% 
051  19700 |Loss: 0.206 | Acc: 92.969% 
051  19701 |Loss: 0.206 | Acc: 92.969% 
051  19702 |Loss: 0.205 | Acc: 92.969% 
051  19703 |Loss: 0.206 | Acc: 92.948% 
051  19704 |Loss: 0.206 | Acc: 92.948% 
051  19705 |Loss: 0.205 | Acc: 92.969% 
