001  00001 |Loss: 2.419 | Acc: 15.625% 
001  00002 |Loss: 2.454 | Acc: 10.547% 
001  00003 |Loss: 2.422 | Acc: 12.760% 
001  00004 |Loss: 2.404 | Acc: 12.305% 
001  00005 |Loss: 2.384 | Acc: 12.656% 
001  00006 |Loss: 2.370 | Acc: 13.542% 
001  00007 |Loss: 2.358 | Acc: 12.946% 
001  00008 |Loss: 2.359 | Acc: 12.891% 
001  00009 |Loss: 2.358 | Acc: 13.368% 
001  00010 |Loss: 2.360 | Acc: 13.438% 
001  00011 |Loss: 2.360 | Acc: 13.281% 
001  00012 |Loss: 2.358 | Acc: 13.021% 
001  00013 |Loss: 2.347 | Acc: 13.341% 
001  00014 |Loss: 2.339 | Acc: 13.895% 
001  00015 |Loss: 2.332 | Acc: 14.010% 
001  00016 |Loss: 2.324 | Acc: 14.111% 
001  00017 |Loss: 2.317 | Acc: 14.292% 
001  00018 |Loss: 2.311 | Acc: 14.193% 
001  00019 |Loss: 2.308 | Acc: 14.309% 
001  00020 |Loss: 2.304 | Acc: 14.453% 
001  00021 |Loss: 2.300 | Acc: 14.695% 
001  00022 |Loss: 2.293 | Acc: 15.092% 
001  00023 |Loss: 2.287 | Acc: 15.455% 
001  00024 |Loss: 2.282 | Acc: 15.690% 
001  00025 |Loss: 2.277 | Acc: 15.750% 
001  00026 |Loss: 2.276 | Acc: 15.895% 
001  00027 |Loss: 2.273 | Acc: 16.204% 
001  00028 |Loss: 2.267 | Acc: 16.406% 
001  00029 |Loss: 2.262 | Acc: 16.595% 
001  00030 |Loss: 2.255 | Acc: 16.667% 
001  00031 |Loss: 2.250 | Acc: 16.557% 
001  00032 |Loss: 2.248 | Acc: 16.650% 
001  00033 |Loss: 2.243 | Acc: 16.809% 
001  00034 |Loss: 2.239 | Acc: 16.912% 
001  00035 |Loss: 2.235 | Acc: 17.054% 
001  00036 |Loss: 2.231 | Acc: 17.296% 
001  00037 |Loss: 2.226 | Acc: 17.462% 
001  00038 |Loss: 2.222 | Acc: 17.640% 
001  00039 |Loss: 2.219 | Acc: 17.748% 
001  00040 |Loss: 2.214 | Acc: 17.930% 
001  00041 |Loss: 2.210 | Acc: 18.083% 
001  00042 |Loss: 2.206 | Acc: 18.192% 
001  00043 |Loss: 2.200 | Acc: 18.496% 
