EPOCH=001, Accuracy=49.130%, Adv_Accuracy=42.700%
EPOCH=002, Accuracy=58.540%, Adv_Accuracy=50.900%
EPOCH=003, Accuracy=64.340%, Adv_Accuracy=55.600%
EPOCH=004, Accuracy=70.310%, Adv_Accuracy=63.900%
EPOCH=005, Accuracy=64.950%, Adv_Accuracy=56.300%
EPOCH=006, Accuracy=70.210%, Adv_Accuracy=63.600%
EPOCH=007, Accuracy=58.380%, Adv_Accuracy=50.000%
EPOCH=008, Accuracy=68.440%, Adv_Accuracy=60.700%
EPOCH=009, Accuracy=70.560%, Adv_Accuracy=60.500%
EPOCH=010, Accuracy=69.140%, Adv_Accuracy=62.900%
EPOCH=011, Accuracy=71.380%, Adv_Accuracy=63.000%
EPOCH=012, Accuracy=69.220%, Adv_Accuracy=62.100%
EPOCH=013, Accuracy=69.540%, Adv_Accuracy=61.100%
EPOCH=014, Accuracy=66.800%, Adv_Accuracy=61.300%
EPOCH=015, Accuracy=69.190%, Adv_Accuracy=65.400%
EPOCH=016, Accuracy=70.690%, Adv_Accuracy=65.600%
EPOCH=017, Accuracy=69.400%, Adv_Accuracy=64.200%
EPOCH=018, Accuracy=71.750%, Adv_Accuracy=64.200%
EPOCH=019, Accuracy=73.990%, Adv_Accuracy=66.000%
EPOCH=020, Accuracy=72.870%, Adv_Accuracy=68.200%
EPOCH=021, Accuracy=70.900%, Adv_Accuracy=65.700%
EPOCH=022, Accuracy=71.880%, Adv_Accuracy=67.000%
EPOCH=023, Accuracy=68.710%, Adv_Accuracy=61.900%
EPOCH=024, Accuracy=70.960%, Adv_Accuracy=63.100%
EPOCH=025, Accuracy=70.540%, Adv_Accuracy=60.400%
EPOCH=026, Accuracy=73.520%, Adv_Accuracy=64.300%
EPOCH=027, Accuracy=71.300%, Adv_Accuracy=61.800%
EPOCH=028, Accuracy=72.550%, Adv_Accuracy=62.000%
EPOCH=029, Accuracy=72.430%, Adv_Accuracy=62.400%
EPOCH=030, Accuracy=72.580%, Adv_Accuracy=62.800%
EPOCH=031, Accuracy=71.170%, Adv_Accuracy=62.100%
EPOCH=032, Accuracy=73.470%, Adv_Accuracy=65.600%
EPOCH=033, Accuracy=73.740%, Adv_Accuracy=63.400%
EPOCH=034, Accuracy=71.590%, Adv_Accuracy=61.200%
EPOCH=035, Accuracy=72.470%, Adv_Accuracy=59.300%
EPOCH=036, Accuracy=73.070%, Adv_Accuracy=64.800%
EPOCH=037, Accuracy=72.850%, Adv_Accuracy=63.400%
EPOCH=038, Accuracy=70.950%, Adv_Accuracy=63.500%
EPOCH=039, Accuracy=71.250%, Adv_Accuracy=64.100%
EPOCH=040, Accuracy=74.140%, Adv_Accuracy=67.200%
EPOCH=041, Accuracy=71.260%, Adv_Accuracy=61.000%
EPOCH=042, Accuracy=72.280%, Adv_Accuracy=62.300%
EPOCH=043, Accuracy=72.140%, Adv_Accuracy=63.000%
EPOCH=044, Accuracy=73.240%, Adv_Accuracy=64.200%
EPOCH=045, Accuracy=71.910%, Adv_Accuracy=63.200%
EPOCH=046, Accuracy=73.030%, Adv_Accuracy=63.100%
EPOCH=047, Accuracy=74.280%, Adv_Accuracy=67.800%
EPOCH=048, Accuracy=73.840%, Adv_Accuracy=64.400%
EPOCH=049, Accuracy=73.840%, Adv_Accuracy=66.300%
EPOCH=050, Accuracy=73.620%, Adv_Accuracy=63.900%
EPOCH=051, Accuracy=73.040%, Adv_Accuracy=63.200%
EPOCH=052, Accuracy=74.180%, Adv_Accuracy=64.500%
EPOCH=053, Accuracy=73.370%, Adv_Accuracy=64.500%
EPOCH=054, Accuracy=72.250%, Adv_Accuracy=62.700%
EPOCH=055, Accuracy=73.410%, Adv_Accuracy=63.900%
EPOCH=056, Accuracy=72.370%, Adv_Accuracy=64.300%
EPOCH=057, Accuracy=73.160%, Adv_Accuracy=65.000%
EPOCH=058, Accuracy=73.530%, Adv_Accuracy=64.400%
EPOCH=059, Accuracy=73.430%, Adv_Accuracy=64.100%
EPOCH=060, Accuracy=73.740%, Adv_Accuracy=62.600%
EPOCH=061, Accuracy=74.850%, Adv_Accuracy=66.100%
EPOCH=062, Accuracy=70.960%, Adv_Accuracy=62.300%
EPOCH=063, Accuracy=74.070%, Adv_Accuracy=67.600%
EPOCH=064, Accuracy=76.050%, Adv_Accuracy=66.500%
EPOCH=065, Accuracy=75.580%, Adv_Accuracy=70.100%
EPOCH=066, Accuracy=74.310%, Adv_Accuracy=68.300%
EPOCH=067, Accuracy=75.500%, Adv_Accuracy=68.000%
EPOCH=068, Accuracy=73.490%, Adv_Accuracy=66.700%
EPOCH=069, Accuracy=75.600%, Adv_Accuracy=69.000%
EPOCH=070, Accuracy=72.000%, Adv_Accuracy=65.600%
EPOCH=071, Accuracy=73.820%, Adv_Accuracy=67.800%
EPOCH=072, Accuracy=73.530%, Adv_Accuracy=70.700%
EPOCH=073, Accuracy=75.340%, Adv_Accuracy=69.500%
EPOCH=074, Accuracy=74.080%, Adv_Accuracy=68.900%
EPOCH=075, Accuracy=74.090%, Adv_Accuracy=68.300%
EPOCH=076, Accuracy=74.510%, Adv_Accuracy=70.600%
EPOCH=077, Accuracy=77.290%, Adv_Accuracy=73.500%
EPOCH=078, Accuracy=75.140%, Adv_Accuracy=71.300%
EPOCH=079, Accuracy=76.310%, Adv_Accuracy=71.700%
EPOCH=080, Accuracy=73.420%, Adv_Accuracy=68.700%
EPOCH=081, Accuracy=76.300%, Adv_Accuracy=73.100%
EPOCH=082, Accuracy=73.770%, Adv_Accuracy=70.300%
EPOCH=083, Accuracy=71.930%, Adv_Accuracy=68.200%
EPOCH=084, Accuracy=75.730%, Adv_Accuracy=70.900%
EPOCH=085, Accuracy=74.010%, Adv_Accuracy=69.400%
EPOCH=086, Accuracy=73.060%, Adv_Accuracy=69.600%
EPOCH=087, Accuracy=72.980%, Adv_Accuracy=68.200%
EPOCH=088, Accuracy=73.050%, Adv_Accuracy=70.000%
EPOCH=089, Accuracy=71.670%, Adv_Accuracy=69.400%
EPOCH=090, Accuracy=69.560%, Adv_Accuracy=68.200%
EPOCH=091, Accuracy=71.780%, Adv_Accuracy=69.600%
EPOCH=092, Accuracy=70.720%, Adv_Accuracy=67.100%
EPOCH=093, Accuracy=71.060%, Adv_Accuracy=71.000%
EPOCH=094, Accuracy=68.850%, Adv_Accuracy=66.400%
EPOCH=095, Accuracy=73.610%, Adv_Accuracy=67.100%
EPOCH=096, Accuracy=69.150%, Adv_Accuracy=68.100%
EPOCH=097, Accuracy=74.090%, Adv_Accuracy=72.400%
EPOCH=098, Accuracy=72.200%, Adv_Accuracy=67.400%
EPOCH=099, Accuracy=72.700%, Adv_Accuracy=67.800%
EPOCH=100, Accuracy=68.340%, Adv_Accuracy=66.300%
EPOCH=101, Accuracy=72.050%, Adv_Accuracy=71.000%
EPOCH=102, Accuracy=71.910%, Adv_Accuracy=66.400%
EPOCH=103, Accuracy=72.520%, Adv_Accuracy=68.800%
EPOCH=104, Accuracy=72.680%, Adv_Accuracy=70.100%
EPOCH=105, Accuracy=79.070%, Adv_Accuracy=73.500%
EPOCH=106, Accuracy=79.260%, Adv_Accuracy=73.500%
EPOCH=107, Accuracy=78.560%, Adv_Accuracy=74.300%
EPOCH=108, Accuracy=78.680%, Adv_Accuracy=73.200%
EPOCH=109, Accuracy=78.290%, Adv_Accuracy=72.200%
EPOCH=110, Accuracy=79.150%, Adv_Accuracy=73.800%
EPOCH=111, Accuracy=78.840%, Adv_Accuracy=73.200%
EPOCH=112, Accuracy=78.140%, Adv_Accuracy=73.500%
EPOCH=113, Accuracy=78.290%, Adv_Accuracy=73.700%
EPOCH=114, Accuracy=78.920%, Adv_Accuracy=75.300%
EPOCH=115, Accuracy=78.960%, Adv_Accuracy=74.700%
EPOCH=116, Accuracy=78.220%, Adv_Accuracy=73.300%
EPOCH=117, Accuracy=77.200%, Adv_Accuracy=73.100%
EPOCH=118, Accuracy=77.570%, Adv_Accuracy=72.400%
EPOCH=119, Accuracy=77.390%, Adv_Accuracy=74.700%
