161  62561 |Loss: 0.259 | Acc: 90.625% 
161  62562 |Loss: 0.254 | Acc: 90.234% 
161  62563 |Loss: 0.262 | Acc: 90.104% 
161  62564 |Loss: 0.254 | Acc: 90.430% 
161  62565 |Loss: 0.251 | Acc: 90.156% 
161  62566 |Loss: 0.240 | Acc: 90.365% 
161  62567 |Loss: 0.226 | Acc: 90.848% 
161  62568 |Loss: 0.229 | Acc: 90.820% 
161  62569 |Loss: 0.222 | Acc: 91.233% 
161  62570 |Loss: 0.223 | Acc: 91.484% 
161  62571 |Loss: 0.221 | Acc: 91.619% 
161  62572 |Loss: 0.218 | Acc: 91.862% 
161  62573 |Loss: 0.213 | Acc: 92.067% 
161  62574 |Loss: 0.214 | Acc: 91.964% 
161  62575 |Loss: 0.213 | Acc: 92.031% 
161  62576 |Loss: 0.215 | Acc: 92.041% 
161  62577 |Loss: 0.213 | Acc: 92.096% 
161  62578 |Loss: 0.215 | Acc: 92.057% 
161  62579 |Loss: 0.209 | Acc: 92.393% 
161  62580 |Loss: 0.205 | Acc: 92.500% 
161  62581 |Loss: 0.206 | Acc: 92.485% 
161  62582 |Loss: 0.204 | Acc: 92.543% 
161  62583 |Loss: 0.205 | Acc: 92.425% 
161  62584 |Loss: 0.206 | Acc: 92.448% 
161  62585 |Loss: 0.206 | Acc: 92.469% 
161  62586 |Loss: 0.205 | Acc: 92.548% 
161  62587 |Loss: 0.207 | Acc: 92.477% 
161  62588 |Loss: 0.204 | Acc: 92.634% 
161  62589 |Loss: 0.200 | Acc: 92.726% 
161  62590 |Loss: 0.202 | Acc: 92.682% 
161  62591 |Loss: 0.203 | Acc: 92.641% 
161  62592 |Loss: 0.204 | Acc: 92.578% 
161  62593 |Loss: 0.201 | Acc: 92.732% 
161  62594 |Loss: 0.200 | Acc: 92.762% 
161  62595 |Loss: 0.202 | Acc: 92.679% 
161  62596 |Loss: 0.202 | Acc: 92.708% 
161  62597 |Loss: 0.201 | Acc: 92.821% 
161  62598 |Loss: 0.199 | Acc: 92.887% 
161  62599 |Loss: 0.197 | Acc: 92.989% 
161  62600 |Loss: 0.197 | Acc: 92.988% 
161  62601 |Loss: 0.198 | Acc: 92.950% 
161  62602 |Loss: 0.196 | Acc: 93.025% 
161  62603 |Loss: 0.198 | Acc: 92.951% 
