001  00001 |Loss: 3.824 | Acc: 30.469% 
001  00002 |Loss: 3.271 | Acc: 35.156% 
001  00003 |Loss: 3.100 | Acc: 38.021% 
001  00004 |Loss: 3.210 | Acc: 37.891% 
001  00005 |Loss: 3.300 | Acc: 36.406% 
001  00006 |Loss: 3.395 | Acc: 35.417% 
001  00007 |Loss: 3.389 | Acc: 35.268% 
001  00008 |Loss: 3.378 | Acc: 34.863% 
001  00009 |Loss: 3.355 | Acc: 34.722% 
001  00010 |Loss: 3.380 | Acc: 33.359% 
001  00011 |Loss: 3.369 | Acc: 32.812% 
001  00012 |Loss: 3.350 | Acc: 32.096% 
001  00013 |Loss: 3.340 | Acc: 31.490% 
001  00014 |Loss: 3.309 | Acc: 31.194% 
001  00015 |Loss: 3.255 | Acc: 30.938% 
001  00016 |Loss: 3.238 | Acc: 30.176% 
001  00017 |Loss: 3.207 | Acc: 29.412% 
001  00018 |Loss: 3.161 | Acc: 29.427% 
001  00019 |Loss: 3.121 | Acc: 29.235% 
001  00020 |Loss: 3.088 | Acc: 28.633% 
001  00021 |Loss: 3.049 | Acc: 28.534% 
001  00022 |Loss: 3.031 | Acc: 27.912% 
001  00023 |Loss: 3.006 | Acc: 27.106% 
001  00024 |Loss: 2.984 | Acc: 26.823% 
001  00025 |Loss: 2.961 | Acc: 26.344% 
001  00026 |Loss: 2.939 | Acc: 26.052% 
001  00027 |Loss: 2.909 | Acc: 25.810% 
001  00028 |Loss: 2.892 | Acc: 25.474% 
001  00029 |Loss: 2.864 | Acc: 25.458% 
001  00030 |Loss: 2.846 | Acc: 25.130% 
001  00031 |Loss: 2.829 | Acc: 24.874% 
001  00032 |Loss: 2.807 | Acc: 24.854% 
001  00033 |Loss: 2.788 | Acc: 24.976% 
001  00034 |Loss: 2.773 | Acc: 24.954% 
001  00035 |Loss: 2.757 | Acc: 24.888% 
001  00036 |Loss: 2.739 | Acc: 24.913% 
001  00037 |Loss: 2.723 | Acc: 24.958% 
001  00038 |Loss: 2.703 | Acc: 24.918% 
001  00039 |Loss: 2.689 | Acc: 25.020% 
001  00040 |Loss: 2.668 | Acc: 25.078% 
001  00041 |Loss: 2.654 | Acc: 25.114% 
001  00042 |Loss: 2.639 | Acc: 25.167% 
001  00043 |Loss: 2.626 | Acc: 25.018% 
001  00044 |Loss: 2.613 | Acc: 24.911% 
001  00045 |Loss: 2.601 | Acc: 24.757% 
001  00046 |Loss: 2.592 | Acc: 24.677% 
001  00047 |Loss: 2.578 | Acc: 24.784% 
001  00048 |Loss: 2.566 | Acc: 24.707% 
001  00049 |Loss: 2.556 | Acc: 24.697% 
001  00050 |Loss: 2.546 | Acc: 24.641% 
001  00051 |Loss: 2.535 | Acc: 24.510% 
001  00052 |Loss: 2.523 | Acc: 24.564% 
001  00053 |Loss: 2.512 | Acc: 24.661% 
001  00054 |Loss: 2.503 | Acc: 24.696% 
001  00055 |Loss: 2.493 | Acc: 24.730% 
001  00056 |Loss: 2.483 | Acc: 24.902% 
001  00057 |Loss: 2.474 | Acc: 24.931% 
001  00058 |Loss: 2.466 | Acc: 24.811% 
001  00059 |Loss: 2.456 | Acc: 24.907% 
001  00060 |Loss: 2.448 | Acc: 24.883% 
001  00061 |Loss: 2.437 | Acc: 24.962% 
001  00062 |Loss: 2.429 | Acc: 25.038% 
001  00063 |Loss: 2.421 | Acc: 25.099% 
001  00064 |Loss: 2.413 | Acc: 25.220% 
001  00065 |Loss: 2.403 | Acc: 25.349% 
001  00066 |Loss: 2.394 | Acc: 25.497% 
001  00067 |Loss: 2.387 | Acc: 25.408% 
001  00068 |Loss: 2.379 | Acc: 25.483% 
001  00069 |Loss: 2.373 | Acc: 25.464% 
001  00070 |Loss: 2.366 | Acc: 25.424% 
001  00071 |Loss: 2.361 | Acc: 25.473% 
001  00072 |Loss: 2.355 | Acc: 25.521% 
001  00073 |Loss: 2.348 | Acc: 25.546% 
001  00074 |Loss: 2.341 | Acc: 25.697% 
001  00075 |Loss: 2.334 | Acc: 25.802% 
001  00076 |Loss: 2.329 | Acc: 25.812% 
001  00077 |Loss: 2.323 | Acc: 25.781% 
001  00078 |Loss: 2.318 | Acc: 25.831% 
001  00079 |Loss: 2.313 | Acc: 25.761% 
001  00080 |Loss: 2.308 | Acc: 25.830% 
001  00081 |Loss: 2.302 | Acc: 25.897% 
001  00082 |Loss: 2.298 | Acc: 25.886% 
001  00083 |Loss: 2.293 | Acc: 25.988% 
001  00084 |Loss: 2.289 | Acc: 25.967% 
001  00085 |Loss: 2.284 | Acc: 26.048% 
001  00086 |Loss: 2.279 | Acc: 26.081% 
