061  28141 |Loss: 0.073 | Acc: 96.875% 
061  28142 |Loss: 0.089 | Acc: 96.875% 
061  28143 |Loss: 0.084 | Acc: 97.135% 
061  28144 |Loss: 0.072 | Acc: 97.656% 
061  28145 |Loss: 0.070 | Acc: 97.656% 
061  28146 |Loss: 0.071 | Acc: 97.396% 
061  28147 |Loss: 0.075 | Acc: 97.321% 
061  28148 |Loss: 0.082 | Acc: 97.070% 
061  28149 |Loss: 0.081 | Acc: 97.135% 
061  28150 |Loss: 0.085 | Acc: 96.953% 
061  28151 |Loss: 0.086 | Acc: 96.804% 
061  28152 |Loss: 0.089 | Acc: 96.680% 
061  28153 |Loss: 0.091 | Acc: 96.575% 
061  28154 |Loss: 0.089 | Acc: 96.596% 
061  28155 |Loss: 0.087 | Acc: 96.667% 
061  28156 |Loss: 0.087 | Acc: 96.631% 
061  28157 |Loss: 0.091 | Acc: 96.553% 
061  28158 |Loss: 0.091 | Acc: 96.615% 
061  28159 |Loss: 0.089 | Acc: 96.711% 
061  28160 |Loss: 0.090 | Acc: 96.719% 
061  28161 |Loss: 0.091 | Acc: 96.652% 
061  28162 |Loss: 0.094 | Acc: 96.520% 
061  28163 |Loss: 0.096 | Acc: 96.467% 
061  28164 |Loss: 0.097 | Acc: 96.452% 
061  28165 |Loss: 0.097 | Acc: 96.469% 
061  28166 |Loss: 0.096 | Acc: 96.514% 
061  28167 |Loss: 0.097 | Acc: 96.528% 
061  28168 |Loss: 0.096 | Acc: 96.624% 
061  28169 |Loss: 0.096 | Acc: 96.659% 
061  28170 |Loss: 0.095 | Acc: 96.719% 
061  28171 |Loss: 0.094 | Acc: 96.774% 
061  28172 |Loss: 0.092 | Acc: 96.851% 
061  28173 |Loss: 0.093 | Acc: 96.780% 
061  28174 |Loss: 0.092 | Acc: 96.829% 
061  28175 |Loss: 0.093 | Acc: 96.808% 
061  28176 |Loss: 0.091 | Acc: 96.897% 
061  28177 |Loss: 0.090 | Acc: 96.917% 
061  28178 |Loss: 0.090 | Acc: 96.937% 
061  28179 |Loss: 0.090 | Acc: 96.955% 
061  28180 |Loss: 0.090 | Acc: 96.973% 
061  28181 |Loss: 0.089 | Acc: 97.008% 
061  28182 |Loss: 0.089 | Acc: 97.005% 
061  28183 |Loss: 0.089 | Acc: 97.002% 
061  28184 |Loss: 0.089 | Acc: 97.035% 
061  28185 |Loss: 0.089 | Acc: 97.031% 
061  28186 |Loss: 0.088 | Acc: 97.062% 
061  28187 |Loss: 0.088 | Acc: 97.074% 
061  28188 |Loss: 0.088 | Acc: 97.087% 
061  28189 |Loss: 0.088 | Acc: 97.066% 
061  28190 |Loss: 0.088 | Acc: 97.062% 
061  28191 |Loss: 0.088 | Acc: 97.074% 
061  28192 |Loss: 0.087 | Acc: 97.070% 
061  28193 |Loss: 0.087 | Acc: 97.022% 
061  28194 |Loss: 0.088 | Acc: 96.976% 
061  28195 |Loss: 0.088 | Acc: 96.974% 
061  28196 |Loss: 0.088 | Acc: 96.987% 
061  28197 |Loss: 0.089 | Acc: 96.957% 
061  28198 |Loss: 0.090 | Acc: 96.956% 
061  28199 |Loss: 0.089 | Acc: 96.954% 
061  28200 |Loss: 0.090 | Acc: 96.966% 
061  28201 |Loss: 0.089 | Acc: 97.003% 
061  28202 |Loss: 0.089 | Acc: 97.014% 
061  28203 |Loss: 0.089 | Acc: 97.036% 
061  28204 |Loss: 0.089 | Acc: 97.046% 
061  28205 |Loss: 0.089 | Acc: 97.067% 
061  28206 |Loss: 0.089 | Acc: 97.064% 
061  28207 |Loss: 0.088 | Acc: 97.108% 
061  28208 |Loss: 0.088 | Acc: 97.128% 
061  28209 |Loss: 0.089 | Acc: 97.090% 
061  28210 |Loss: 0.088 | Acc: 97.087% 
061  28211 |Loss: 0.089 | Acc: 97.062% 
061  28212 |Loss: 0.090 | Acc: 97.005% 
061  28213 |Loss: 0.090 | Acc: 97.014% 
061  28214 |Loss: 0.089 | Acc: 97.033% 
061  28215 |Loss: 0.090 | Acc: 97.010% 
061  28216 |Loss: 0.090 | Acc: 96.998% 
061  28217 |Loss: 0.090 | Acc: 97.007% 
061  28218 |Loss: 0.091 | Acc: 96.985% 
061  28219 |Loss: 0.090 | Acc: 97.013% 
061  28220 |Loss: 0.090 | Acc: 97.041% 
061  28221 |Loss: 0.089 | Acc: 97.058% 
061  28222 |Loss: 0.089 | Acc: 97.075% 
061  28223 |Loss: 0.089 | Acc: 97.082% 
061  28224 |Loss: 0.089 | Acc: 97.080% 
061  28225 |Loss: 0.089 | Acc: 97.096% 
061  28226 |Loss: 0.090 | Acc: 97.075% 
061  28227 |Loss: 0.089 | Acc: 97.099% 
061  28228 |Loss: 0.089 | Acc: 97.097% 
061  28229 |Loss: 0.090 | Acc: 97.077% 
061  28230 |Loss: 0.090 | Acc: 97.075% 
061  28231 |Loss: 0.090 | Acc: 97.072% 
061  28232 |Loss: 0.090 | Acc: 97.104% 
061  28233 |Loss: 0.089 | Acc: 97.127% 
061  28234 |Loss: 0.089 | Acc: 97.141% 
061  28235 |Loss: 0.089 | Acc: 97.138% 
061  28236 |Loss: 0.089 | Acc: 97.144% 
061  28237 |Loss: 0.089 | Acc: 97.149% 
061  28238 |Loss: 0.088 | Acc: 97.154% 
061  28239 |Loss: 0.089 | Acc: 97.104% 
061  28240 |Loss: 0.089 | Acc: 97.109% 
061  28241 |Loss: 0.089 | Acc: 97.115% 
061  28242 |Loss: 0.090 | Acc: 97.105% 
061  28243 |Loss: 0.090 | Acc: 97.080% 
061  28244 |Loss: 0.091 | Acc: 97.063% 
061  28245 |Loss: 0.090 | Acc: 97.061% 
061  28246 |Loss: 0.090 | Acc: 97.059% 
