EPOCH=001, Accuracy=26.410%, Adv_Accuracy=22.800%, FGSM_Accuracy=13.980%, PGD_Accuracy=14.0100%
EPOCH=002, Accuracy=31.180%, Adv_Accuracy=27.600%, FGSM_Accuracy=17.650%, PGD_Accuracy=18.3600%
EPOCH=003, Accuracy=36.240%, Adv_Accuracy=33.300%, FGSM_Accuracy=25.720%, PGD_Accuracy=25.0300%
EPOCH=004, Accuracy=33.230%, Adv_Accuracy=30.600%, FGSM_Accuracy=25.670%, PGD_Accuracy=24.7500%
EPOCH=005, Accuracy=35.530%, Adv_Accuracy=32.700%, FGSM_Accuracy=26.620%, PGD_Accuracy=27.0900%
EPOCH=006, Accuracy=36.570%, Adv_Accuracy=33.000%, FGSM_Accuracy=24.000%, PGD_Accuracy=25.1700%
EPOCH=007, Accuracy=43.610%, Adv_Accuracy=37.400%, FGSM_Accuracy=27.670%, PGD_Accuracy=27.9800%
EPOCH=008, Accuracy=45.430%, Adv_Accuracy=39.900%, FGSM_Accuracy=29.310%, PGD_Accuracy=29.1000%
EPOCH=009, Accuracy=46.650%, Adv_Accuracy=42.500%, FGSM_Accuracy=27.450%, PGD_Accuracy=27.7000%
EPOCH=010, Accuracy=50.110%, Adv_Accuracy=43.400%, FGSM_Accuracy=31.870%, PGD_Accuracy=31.8900%
EPOCH=011, Accuracy=44.110%, Adv_Accuracy=39.500%, FGSM_Accuracy=27.150%, PGD_Accuracy=26.9800%
EPOCH=012, Accuracy=50.900%, Adv_Accuracy=43.900%, FGSM_Accuracy=26.610%, PGD_Accuracy=27.6600%
EPOCH=013, Accuracy=55.910%, Adv_Accuracy=40.800%, FGSM_Accuracy=19.630%, PGD_Accuracy=22.0000%
EPOCH=014, Accuracy=47.310%, Adv_Accuracy=41.800%, FGSM_Accuracy=27.790%, PGD_Accuracy=27.9600%
EPOCH=015, Accuracy=56.050%, Adv_Accuracy=44.500%, FGSM_Accuracy=26.540%, PGD_Accuracy=28.0700%
EPOCH=016, Accuracy=51.730%, Adv_Accuracy=43.700%, FGSM_Accuracy=23.990%, PGD_Accuracy=24.4300%
EPOCH=017, Accuracy=55.310%, Adv_Accuracy=45.600%, FGSM_Accuracy=30.950%, PGD_Accuracy=31.1500%
EPOCH=018, Accuracy=59.950%, Adv_Accuracy=54.200%, FGSM_Accuracy=31.790%, PGD_Accuracy=31.1200%
EPOCH=019, Accuracy=60.300%, Adv_Accuracy=49.600%, FGSM_Accuracy=40.580%, PGD_Accuracy=40.0300%
EPOCH=020, Accuracy=59.340%, Adv_Accuracy=50.200%, FGSM_Accuracy=30.330%, PGD_Accuracy=31.7300%
EPOCH=021, Accuracy=60.390%, Adv_Accuracy=50.100%, FGSM_Accuracy=30.630%, PGD_Accuracy=32.0400%
EPOCH=022, Accuracy=59.560%, Adv_Accuracy=49.200%, FGSM_Accuracy=37.480%, PGD_Accuracy=36.7100%
EPOCH=023, Accuracy=65.200%, Adv_Accuracy=52.900%, FGSM_Accuracy=37.310%, PGD_Accuracy=39.4300%
