001  00001 |Loss: 2.561 | Acc: 9.375% 
001  00002 |Loss: 2.474 | Acc: 9.766% 
001  00003 |Loss: 2.433 | Acc: 9.896% 
001  00004 |Loss: 2.406 | Acc: 9.570% 
001  00005 |Loss: 2.384 | Acc: 9.375% 
001  00006 |Loss: 2.371 | Acc: 9.635% 
001  00007 |Loss: 2.362 | Acc: 9.710% 
001  00008 |Loss: 2.358 | Acc: 9.766% 
001  00009 |Loss: 2.363 | Acc: 9.896% 
001  00010 |Loss: 2.364 | Acc: 10.078% 
001  00011 |Loss: 2.362 | Acc: 10.156% 
001  00012 |Loss: 2.357 | Acc: 10.286% 
001  00013 |Loss: 2.349 | Acc: 10.697% 
001  00014 |Loss: 2.344 | Acc: 11.272% 
001  00015 |Loss: 2.344 | Acc: 11.302% 
001  00016 |Loss: 2.340 | Acc: 11.279% 
001  00017 |Loss: 2.334 | Acc: 11.259% 
001  00018 |Loss: 2.332 | Acc: 11.155% 
001  00019 |Loss: 2.329 | Acc: 11.266% 
001  00020 |Loss: 2.327 | Acc: 11.250% 
001  00021 |Loss: 2.325 | Acc: 11.607% 
001  00022 |Loss: 2.327 | Acc: 11.825% 
001  00023 |Loss: 2.325 | Acc: 11.821% 
001  00024 |Loss: 2.320 | Acc: 12.044% 
001  00025 |Loss: 2.317 | Acc: 12.281% 
001  00026 |Loss: 2.313 | Acc: 12.380% 
001  00027 |Loss: 2.309 | Acc: 12.413% 
001  00028 |Loss: 2.305 | Acc: 12.528% 
001  00029 |Loss: 2.305 | Acc: 12.581% 
001  00030 |Loss: 2.305 | Acc: 12.630% 
001  00031 |Loss: 2.300 | Acc: 12.702% 
001  00032 |Loss: 2.296 | Acc: 12.817% 
001  00033 |Loss: 2.295 | Acc: 12.926% 
001  00034 |Loss: 2.296 | Acc: 12.983% 
001  00035 |Loss: 2.293 | Acc: 13.103% 
001  00036 |Loss: 2.292 | Acc: 13.086% 
001  00037 |Loss: 2.289 | Acc: 13.239% 
001  00038 |Loss: 2.288 | Acc: 13.281% 
001  00039 |Loss: 2.287 | Acc: 13.221% 
001  00040 |Loss: 2.284 | Acc: 13.320% 
001  00041 |Loss: 2.279 | Acc: 13.434% 
001  00042 |Loss: 2.276 | Acc: 13.504% 
001  00043 |Loss: 2.276 | Acc: 13.517% 
001  00044 |Loss: 2.273 | Acc: 13.601% 
001  00045 |Loss: 2.272 | Acc: 13.681% 
001  00046 |Loss: 2.269 | Acc: 13.791% 
001  00047 |Loss: 2.267 | Acc: 13.863% 
