EPOCH=001, Accuracy=22.410%, Adv_Accuracy=22.300%, FGSM_Accuracy=13.390%, PGD_Accuracy=13.8500%
EPOCH=002, Accuracy=30.210%, Adv_Accuracy=28.300%, FGSM_Accuracy=14.700%, PGD_Accuracy=14.7400%
EPOCH=003, Accuracy=34.160%, Adv_Accuracy=33.100%, FGSM_Accuracy=19.690%, PGD_Accuracy=19.5800%
EPOCH=004, Accuracy=37.000%, Adv_Accuracy=39.100%, FGSM_Accuracy=18.380%, PGD_Accuracy=18.4200%
EPOCH=005, Accuracy=41.280%, Adv_Accuracy=40.800%, FGSM_Accuracy=19.220%, PGD_Accuracy=20.1200%
EPOCH=006, Accuracy=43.350%, Adv_Accuracy=41.700%, FGSM_Accuracy=19.600%, PGD_Accuracy=21.1500%
EPOCH=007, Accuracy=45.980%, Adv_Accuracy=45.300%, FGSM_Accuracy=21.790%, PGD_Accuracy=22.8500%
EPOCH=008, Accuracy=47.980%, Adv_Accuracy=45.600%, FGSM_Accuracy=21.360%, PGD_Accuracy=22.5300%
EPOCH=009, Accuracy=49.270%, Adv_Accuracy=46.100%, FGSM_Accuracy=20.310%, PGD_Accuracy=21.4800%
EPOCH=010, Accuracy=52.310%, Adv_Accuracy=50.200%, FGSM_Accuracy=22.620%, PGD_Accuracy=23.8100%
EPOCH=011, Accuracy=54.840%, Adv_Accuracy=50.200%, FGSM_Accuracy=22.690%, PGD_Accuracy=23.2400%
EPOCH=012, Accuracy=56.230%, Adv_Accuracy=52.500%, FGSM_Accuracy=21.240%, PGD_Accuracy=21.8600%
EPOCH=013, Accuracy=58.890%, Adv_Accuracy=53.000%, FGSM_Accuracy=21.280%, PGD_Accuracy=21.9400%
EPOCH=014, Accuracy=59.230%, Adv_Accuracy=52.700%, FGSM_Accuracy=20.640%, PGD_Accuracy=21.3400%
EPOCH=015, Accuracy=60.450%, Adv_Accuracy=54.100%, FGSM_Accuracy=24.160%, PGD_Accuracy=24.6200%
EPOCH=016, Accuracy=61.130%, Adv_Accuracy=55.700%, FGSM_Accuracy=23.720%, PGD_Accuracy=23.9200%
EPOCH=017, Accuracy=63.520%, Adv_Accuracy=57.700%, FGSM_Accuracy=23.100%, PGD_Accuracy=23.5400%
EPOCH=018, Accuracy=64.260%, Adv_Accuracy=58.000%, FGSM_Accuracy=24.840%, PGD_Accuracy=26.3400%
