001  00001 |Loss: 2.485 | Acc: 9.375% 
001  00002 |Loss: 2.537 | Acc: 8.984% 
001  00003 |Loss: 2.558 | Acc: 10.156% 
001  00004 |Loss: 2.525 | Acc: 10.547% 
001  00005 |Loss: 2.526 | Acc: 10.625% 
001  00006 |Loss: 2.526 | Acc: 10.677% 
001  00007 |Loss: 2.516 | Acc: 10.826% 
001  00008 |Loss: 2.509 | Acc: 11.621% 
001  00009 |Loss: 2.508 | Acc: 11.632% 
001  00010 |Loss: 2.506 | Acc: 11.016% 
001  00011 |Loss: 2.490 | Acc: 11.080% 
001  00012 |Loss: 2.483 | Acc: 11.458% 
001  00013 |Loss: 2.477 | Acc: 11.358% 
001  00014 |Loss: 2.475 | Acc: 11.049% 
001  00015 |Loss: 2.464 | Acc: 10.885% 
001  00016 |Loss: 2.458 | Acc: 10.791% 
001  00017 |Loss: 2.452 | Acc: 10.708% 
001  00018 |Loss: 2.446 | Acc: 10.677% 
001  00019 |Loss: 2.444 | Acc: 10.485% 
001  00020 |Loss: 2.437 | Acc: 10.430% 
001  00021 |Loss: 2.431 | Acc: 10.193% 
001  00022 |Loss: 2.423 | Acc: 10.476% 
001  00023 |Loss: 2.417 | Acc: 10.598% 
001  00024 |Loss: 2.412 | Acc: 10.612% 
001  00025 |Loss: 2.410 | Acc: 10.594% 
001  00026 |Loss: 2.405 | Acc: 10.577% 
001  00027 |Loss: 2.401 | Acc: 10.503% 
001  00028 |Loss: 2.398 | Acc: 10.491% 
001  00029 |Loss: 2.395 | Acc: 10.641% 
001  00030 |Loss: 2.392 | Acc: 10.573% 
001  00031 |Loss: 2.389 | Acc: 10.635% 
001  00032 |Loss: 2.386 | Acc: 10.693% 
001  00033 |Loss: 2.382 | Acc: 10.701% 
001  00034 |Loss: 2.379 | Acc: 10.662% 
001  00035 |Loss: 2.377 | Acc: 10.670% 
001  00036 |Loss: 2.376 | Acc: 10.742% 
001  00037 |Loss: 2.373 | Acc: 10.747% 
001  00038 |Loss: 2.372 | Acc: 10.650% 
001  00039 |Loss: 2.370 | Acc: 10.617% 
001  00040 |Loss: 2.368 | Acc: 10.430% 
001  00041 |Loss: 2.367 | Acc: 10.423% 
001  00042 |Loss: 2.365 | Acc: 10.528% 
001  00043 |Loss: 2.364 | Acc: 10.574% 
001  00044 |Loss: 2.362 | Acc: 10.547% 
001  00045 |Loss: 2.360 | Acc: 10.625% 
001  00046 |Loss: 2.359 | Acc: 10.615% 
001  00047 |Loss: 2.357 | Acc: 10.688% 
001  00048 |Loss: 2.356 | Acc: 10.677% 
001  00049 |Loss: 2.355 | Acc: 10.666% 
001  00050 |Loss: 2.354 | Acc: 10.609% 
001  00051 |Loss: 2.352 | Acc: 10.677% 
001  00052 |Loss: 2.351 | Acc: 10.622% 
001  00053 |Loss: 2.350 | Acc: 10.613% 
001  00054 |Loss: 2.349 | Acc: 10.605% 
001  00055 |Loss: 2.348 | Acc: 10.668% 
001  00056 |Loss: 2.346 | Acc: 10.714% 
001  00057 |Loss: 2.345 | Acc: 10.636% 
001  00058 |Loss: 2.344 | Acc: 10.682% 
001  00059 |Loss: 2.343 | Acc: 10.686% 
001  00060 |Loss: 2.342 | Acc: 10.651% 
001  00061 |Loss: 2.341 | Acc: 10.720% 
001  00062 |Loss: 2.340 | Acc: 10.685% 
001  00063 |Loss: 2.339 | Acc: 10.665% 
001  00064 |Loss: 2.338 | Acc: 10.620% 
001  00065 |Loss: 2.337 | Acc: 10.673% 
001  00066 |Loss: 2.336 | Acc: 10.653% 
001  00067 |Loss: 2.335 | Acc: 10.669% 
001  00068 |Loss: 2.333 | Acc: 10.685% 
001  00069 |Loss: 2.333 | Acc: 10.677% 
001  00070 |Loss: 2.332 | Acc: 10.770% 
001  00071 |Loss: 2.331 | Acc: 10.750% 
001  00072 |Loss: 2.330 | Acc: 10.720% 
001  00073 |Loss: 2.329 | Acc: 10.766% 
001  00074 |Loss: 2.328 | Acc: 10.779% 
001  00075 |Loss: 2.327 | Acc: 10.833% 
001  00076 |Loss: 2.327 | Acc: 10.814% 
001  00077 |Loss: 2.326 | Acc: 10.826% 
001  00078 |Loss: 2.325 | Acc: 10.917% 
001  00079 |Loss: 2.324 | Acc: 10.888% 
001  00080 |Loss: 2.323 | Acc: 10.908% 
001  00081 |Loss: 2.323 | Acc: 10.966% 
001  00082 |Loss: 2.322 | Acc: 10.995% 
001  00083 |Loss: 2.321 | Acc: 11.003% 
001  00084 |Loss: 2.321 | Acc: 11.021% 
001  00085 |Loss: 2.320 | Acc: 11.029% 
001  00086 |Loss: 2.320 | Acc: 11.056% 
001  00087 |Loss: 2.319 | Acc: 11.045% 
001  00088 |Loss: 2.318 | Acc: 11.053% 
001  00089 |Loss: 2.318 | Acc: 11.052% 
001  00090 |Loss: 2.317 | Acc: 11.102% 
001  00091 |Loss: 2.316 | Acc: 11.135% 
001  00092 |Loss: 2.315 | Acc: 11.175% 
001  00093 |Loss: 2.315 | Acc: 11.148% 
001  00094 |Loss: 2.314 | Acc: 11.203% 
001  00095 |Loss: 2.314 | Acc: 11.209% 
001  00096 |Loss: 2.313 | Acc: 11.304% 
001  00097 |Loss: 2.313 | Acc: 11.276% 
001  00098 |Loss: 2.312 | Acc: 11.272% 
001  00099 |Loss: 2.312 | Acc: 11.285% 
001  00100 |Loss: 2.312 | Acc: 11.297% 
001  00101 |Loss: 2.311 | Acc: 11.301% 
001  00102 |Loss: 2.311 | Acc: 11.297% 
001  00103 |Loss: 2.311 | Acc: 11.324% 
001  00104 |Loss: 2.311 | Acc: 11.373% 
001  00105 |Loss: 2.310 | Acc: 11.399% 
001  00106 |Loss: 2.310 | Acc: 11.446% 
001  00107 |Loss: 2.309 | Acc: 11.485% 
001  00108 |Loss: 2.309 | Acc: 11.545% 
001  00109 |Loss: 2.309 | Acc: 11.568% 
001  00110 |Loss: 2.308 | Acc: 11.584% 
001  00111 |Loss: 2.307 | Acc: 11.669% 
001  00112 |Loss: 2.307 | Acc: 11.670% 
001  00113 |Loss: 2.307 | Acc: 11.684% 
001  00114 |Loss: 2.305 | Acc: 11.767% 
001  00115 |Loss: 2.305 | Acc: 11.793% 
001  00116 |Loss: 2.304 | Acc: 11.847% 
001  00117 |Loss: 2.304 | Acc: 11.866% 
001  00118 |Loss: 2.304 | Acc: 11.911% 
001  00119 |Loss: 2.303 | Acc: 11.929% 
001  00120 |Loss: 2.303 | Acc: 11.992% 
001  00121 |Loss: 2.303 | Acc: 12.054% 
001  00122 |Loss: 2.302 | Acc: 12.084% 
001  00123 |Loss: 2.302 | Acc: 12.068% 
001  00124 |Loss: 2.302 | Acc: 12.072% 
001  00125 |Loss: 2.301 | Acc: 12.131% 
001  00126 |Loss: 2.301 | Acc: 12.178% 
001  00127 |Loss: 2.301 | Acc: 12.168% 
001  00128 |Loss: 2.300 | Acc: 12.256% 
001  00129 |Loss: 2.299 | Acc: 12.270% 
001  00130 |Loss: 2.299 | Acc: 12.344% 
001  00131 |Loss: 2.298 | Acc: 12.357% 
001  00132 |Loss: 2.298 | Acc: 12.376% 
001  00133 |Loss: 2.297 | Acc: 12.435% 
001  00134 |Loss: 2.297 | Acc: 12.477% 
001  00135 |Loss: 2.297 | Acc: 12.517% 
001  00136 |Loss: 2.296 | Acc: 12.557% 
001  00137 |Loss: 2.296 | Acc: 12.603% 
001  00138 |Loss: 2.295 | Acc: 12.653% 
001  00139 |Loss: 2.295 | Acc: 12.635% 
001  00140 |Loss: 2.295 | Acc: 12.695% 
001  00141 |Loss: 2.295 | Acc: 12.711% 
001  00142 |Loss: 2.294 | Acc: 12.781% 
001  00143 |Loss: 2.294 | Acc: 12.817% 
001  00144 |Loss: 2.294 | Acc: 12.793% 
001  00145 |Loss: 2.294 | Acc: 12.829% 
001  00146 |Loss: 2.293 | Acc: 12.832% 
001  00147 |Loss: 2.293 | Acc: 12.867% 
001  00148 |Loss: 2.293 | Acc: 12.901% 
001  00149 |Loss: 2.293 | Acc: 12.951% 
001  00150 |Loss: 2.293 | Acc: 13.005% 
001  00151 |Loss: 2.293 | Acc: 13.043% 
001  00152 |Loss: 2.292 | Acc: 13.106% 
001  00153 |Loss: 2.292 | Acc: 13.123% 
001  00154 |Loss: 2.292 | Acc: 13.124% 
001  00155 |Loss: 2.292 | Acc: 13.130% 
001  00156 |Loss: 2.291 | Acc: 13.151% 
001  00157 |Loss: 2.291 | Acc: 13.202% 
001  00158 |Loss: 2.291 | Acc: 13.247% 
001  00159 |Loss: 2.290 | Acc: 13.281% 
001  00160 |Loss: 2.290 | Acc: 13.291% 
001  00161 |Loss: 2.290 | Acc: 13.315% 
001  00162 |Loss: 2.290 | Acc: 13.325% 
001  00163 |Loss: 2.290 | Acc: 13.315% 
001  00164 |Loss: 2.289 | Acc: 13.348% 
001  00165 |Loss: 2.289 | Acc: 13.376% 
001  00166 |Loss: 2.289 | Acc: 13.441% 
001  00167 |Loss: 2.288 | Acc: 13.464% 
001  00168 |Loss: 2.288 | Acc: 13.472% 
001  00169 |Loss: 2.288 | Acc: 13.517% 
001  00170 |Loss: 2.287 | Acc: 13.539% 
001  00171 |Loss: 2.287 | Acc: 13.587% 
001  00172 |Loss: 2.287 | Acc: 13.599% 
001  00173 |Loss: 2.287 | Acc: 13.615% 
001  00174 |Loss: 2.286 | Acc: 13.622% 
001  00175 |Loss: 2.286 | Acc: 13.647% 
001  00176 |Loss: 2.286 | Acc: 13.654% 
001  00177 |Loss: 2.285 | Acc: 13.652% 
001  00178 |Loss: 2.286 | Acc: 13.667% 
001  00179 |Loss: 2.285 | Acc: 13.696% 
001  00180 |Loss: 2.285 | Acc: 13.711% 
001  00181 |Loss: 2.285 | Acc: 13.743% 
001  00182 |Loss: 2.284 | Acc: 13.741% 
001  00183 |Loss: 2.284 | Acc: 13.772% 
