EPOCH=001, Accuracy=81.620%, Adv_Accuracy=84.300%, FGSM_Accuracy=45.810%, PGD_Accuracy=46.7100%
EPOCH=002, Accuracy=83.460%, Adv_Accuracy=83.100%, FGSM_Accuracy=43.020%, PGD_Accuracy=44.4700%
EPOCH=003, Accuracy=84.910%, Adv_Accuracy=84.000%, FGSM_Accuracy=41.360%, PGD_Accuracy=42.1300%
EPOCH=004, Accuracy=85.390%, Adv_Accuracy=84.300%, FGSM_Accuracy=44.600%, PGD_Accuracy=46.2800%
EPOCH=005, Accuracy=85.970%, Adv_Accuracy=83.600%, FGSM_Accuracy=43.520%, PGD_Accuracy=44.1500%
EPOCH=006, Accuracy=86.810%, Adv_Accuracy=85.500%, FGSM_Accuracy=42.680%, PGD_Accuracy=44.0700%
EPOCH=007, Accuracy=87.510%, Adv_Accuracy=84.900%, FGSM_Accuracy=44.970%, PGD_Accuracy=46.1100%
EPOCH=008, Accuracy=87.030%, Adv_Accuracy=85.200%, FGSM_Accuracy=46.460%, PGD_Accuracy=48.1200%
EPOCH=009, Accuracy=87.420%, Adv_Accuracy=82.900%, FGSM_Accuracy=41.020%, PGD_Accuracy=42.5100%
EPOCH=010, Accuracy=87.490%, Adv_Accuracy=84.400%, FGSM_Accuracy=37.590%, PGD_Accuracy=38.5600%
EPOCH=011, Accuracy=88.130%, Adv_Accuracy=85.100%, FGSM_Accuracy=37.870%, PGD_Accuracy=39.4600%
EPOCH=012, Accuracy=88.640%, Adv_Accuracy=83.300%, FGSM_Accuracy=38.290%, PGD_Accuracy=40.8100%
EPOCH=013, Accuracy=87.210%, Adv_Accuracy=81.100%, FGSM_Accuracy=40.660%, PGD_Accuracy=41.9900%
EPOCH=014, Accuracy=88.950%, Adv_Accuracy=86.000%, FGSM_Accuracy=40.370%, PGD_Accuracy=42.1800%
EPOCH=015, Accuracy=88.310%, Adv_Accuracy=85.000%, FGSM_Accuracy=37.300%, PGD_Accuracy=39.9500%
EPOCH=016, Accuracy=89.000%, Adv_Accuracy=85.600%, FGSM_Accuracy=45.930%, PGD_Accuracy=47.7700%
EPOCH=017, Accuracy=89.440%, Adv_Accuracy=85.900%, FGSM_Accuracy=32.150%, PGD_Accuracy=34.0700%
EPOCH=018, Accuracy=89.360%, Adv_Accuracy=88.900%, FGSM_Accuracy=37.820%, PGD_Accuracy=39.6900%
EPOCH=019, Accuracy=87.270%, Adv_Accuracy=85.900%, FGSM_Accuracy=40.730%, PGD_Accuracy=42.6000%
EPOCH=020, Accuracy=89.720%, Adv_Accuracy=87.700%, FGSM_Accuracy=33.690%, PGD_Accuracy=35.7200%
EPOCH=021, Accuracy=90.170%, Adv_Accuracy=88.700%, FGSM_Accuracy=35.950%, PGD_Accuracy=38.6800%
EPOCH=022, Accuracy=89.880%, Adv_Accuracy=88.900%, FGSM_Accuracy=37.730%, PGD_Accuracy=40.5200%
EPOCH=023, Accuracy=90.150%, Adv_Accuracy=87.700%, FGSM_Accuracy=39.840%, PGD_Accuracy=42.5900%
EPOCH=024, Accuracy=89.410%, Adv_Accuracy=88.700%, FGSM_Accuracy=37.600%, PGD_Accuracy=40.3200%
EPOCH=025, Accuracy=90.560%, Adv_Accuracy=88.300%, FGSM_Accuracy=34.100%, PGD_Accuracy=35.7300%
EPOCH=026, Accuracy=91.190%, Adv_Accuracy=90.800%, FGSM_Accuracy=39.860%, PGD_Accuracy=41.3900%
EPOCH=027, Accuracy=89.660%, Adv_Accuracy=88.000%, FGSM_Accuracy=39.210%, PGD_Accuracy=42.0300%
EPOCH=028, Accuracy=90.500%, Adv_Accuracy=90.600%, FGSM_Accuracy=41.210%, PGD_Accuracy=42.1200%
EPOCH=029, Accuracy=90.800%, Adv_Accuracy=90.100%, FGSM_Accuracy=29.400%, PGD_Accuracy=30.5600%
EPOCH=030, Accuracy=90.370%, Adv_Accuracy=92.600%, FGSM_Accuracy=32.120%, PGD_Accuracy=33.2200%
EPOCH=031, Accuracy=89.550%, Adv_Accuracy=90.800%, FGSM_Accuracy=32.420%, PGD_Accuracy=33.8400%
EPOCH=032, Accuracy=90.490%, Adv_Accuracy=91.400%, FGSM_Accuracy=34.890%, PGD_Accuracy=36.9300%
EPOCH=033, Accuracy=88.820%, Adv_Accuracy=89.500%, FGSM_Accuracy=38.780%, PGD_Accuracy=40.8500%
EPOCH=034, Accuracy=88.400%, Adv_Accuracy=87.300%, FGSM_Accuracy=37.580%, PGD_Accuracy=40.9200%
EPOCH=035, Accuracy=90.340%, Adv_Accuracy=92.200%, FGSM_Accuracy=35.300%, PGD_Accuracy=37.0300%
EPOCH=036, Accuracy=89.980%, Adv_Accuracy=91.700%, FGSM_Accuracy=39.760%, PGD_Accuracy=42.0500%
EPOCH=037, Accuracy=90.830%, Adv_Accuracy=92.000%, FGSM_Accuracy=35.330%, PGD_Accuracy=37.2000%
EPOCH=038, Accuracy=90.500%, Adv_Accuracy=91.400%, FGSM_Accuracy=42.810%, PGD_Accuracy=44.6600%
EPOCH=039, Accuracy=88.260%, Adv_Accuracy=88.200%, FGSM_Accuracy=33.650%, PGD_Accuracy=35.8100%
EPOCH=040, Accuracy=90.820%, Adv_Accuracy=93.100%, FGSM_Accuracy=27.960%, PGD_Accuracy=29.2000%
EPOCH=041, Accuracy=88.260%, Adv_Accuracy=87.100%, FGSM_Accuracy=25.990%, PGD_Accuracy=27.6400%
