EPOCH=001, Accuracy=22.230%, Adv_Accuracy=20.200%, FGSM_Accuracy=19.620%, PGD_Accuracy=18.8500%
EPOCH=002, Accuracy=22.630%, Adv_Accuracy=23.300%, FGSM_Accuracy=18.850%, PGD_Accuracy=18.8400%
EPOCH=003, Accuracy=26.340%, Adv_Accuracy=28.000%, FGSM_Accuracy=19.320%, PGD_Accuracy=19.4700%
EPOCH=004, Accuracy=31.910%, Adv_Accuracy=33.600%, FGSM_Accuracy=26.400%, PGD_Accuracy=25.6300%
EPOCH=005, Accuracy=31.720%, Adv_Accuracy=35.800%, FGSM_Accuracy=24.030%, PGD_Accuracy=24.0300%
EPOCH=006, Accuracy=39.750%, Adv_Accuracy=43.400%, FGSM_Accuracy=28.420%, PGD_Accuracy=28.8000%
EPOCH=007, Accuracy=35.530%, Adv_Accuracy=41.400%, FGSM_Accuracy=22.930%, PGD_Accuracy=22.5400%
EPOCH=008, Accuracy=34.130%, Adv_Accuracy=37.000%, FGSM_Accuracy=19.080%, PGD_Accuracy=18.6400%
EPOCH=009, Accuracy=42.140%, Adv_Accuracy=47.700%, FGSM_Accuracy=30.930%, PGD_Accuracy=30.5900%
EPOCH=010, Accuracy=40.890%, Adv_Accuracy=46.600%, FGSM_Accuracy=28.180%, PGD_Accuracy=28.4300%
EPOCH=011, Accuracy=44.700%, Adv_Accuracy=48.400%, FGSM_Accuracy=31.320%, PGD_Accuracy=31.4400%
EPOCH=012, Accuracy=42.940%, Adv_Accuracy=48.000%, FGSM_Accuracy=31.940%, PGD_Accuracy=32.3300%
EPOCH=013, Accuracy=44.370%, Adv_Accuracy=50.000%, FGSM_Accuracy=28.240%, PGD_Accuracy=28.9200%
EPOCH=014, Accuracy=46.170%, Adv_Accuracy=53.300%, FGSM_Accuracy=32.050%, PGD_Accuracy=32.4000%
EPOCH=015, Accuracy=46.870%, Adv_Accuracy=57.000%, FGSM_Accuracy=29.300%, PGD_Accuracy=29.3800%
EPOCH=016, Accuracy=49.930%, Adv_Accuracy=60.600%, FGSM_Accuracy=29.500%, PGD_Accuracy=29.7400%
EPOCH=017, Accuracy=48.830%, Adv_Accuracy=61.900%, FGSM_Accuracy=30.150%, PGD_Accuracy=29.9500%
EPOCH=018, Accuracy=49.010%, Adv_Accuracy=63.400%, FGSM_Accuracy=32.590%, PGD_Accuracy=32.5600%
EPOCH=019, Accuracy=47.790%, Adv_Accuracy=57.900%, FGSM_Accuracy=32.050%, PGD_Accuracy=32.0300%
EPOCH=020, Accuracy=44.700%, Adv_Accuracy=57.400%, FGSM_Accuracy=30.140%, PGD_Accuracy=30.7200%
EPOCH=021, Accuracy=44.540%, Adv_Accuracy=56.400%, FGSM_Accuracy=29.140%, PGD_Accuracy=30.3300%
EPOCH=022, Accuracy=51.470%, Adv_Accuracy=64.200%, FGSM_Accuracy=34.530%, PGD_Accuracy=34.1800%
EPOCH=023, Accuracy=49.360%, Adv_Accuracy=60.700%, FGSM_Accuracy=27.200%, PGD_Accuracy=27.5800%
EPOCH=024, Accuracy=51.100%, Adv_Accuracy=62.100%, FGSM_Accuracy=30.840%, PGD_Accuracy=31.2900%
EPOCH=025, Accuracy=51.630%, Adv_Accuracy=65.600%, FGSM_Accuracy=28.970%, PGD_Accuracy=29.3800%
EPOCH=026, Accuracy=51.760%, Adv_Accuracy=69.300%, FGSM_Accuracy=31.500%, PGD_Accuracy=32.5900%
EPOCH=027, Accuracy=51.010%, Adv_Accuracy=64.300%, FGSM_Accuracy=31.610%, PGD_Accuracy=31.4200%
EPOCH=028, Accuracy=53.170%, Adv_Accuracy=70.200%, FGSM_Accuracy=29.250%, PGD_Accuracy=29.6800%
EPOCH=029, Accuracy=53.880%, Adv_Accuracy=72.800%, FGSM_Accuracy=36.420%, PGD_Accuracy=36.1600%
EPOCH=030, Accuracy=51.020%, Adv_Accuracy=68.900%, FGSM_Accuracy=33.130%, PGD_Accuracy=32.4500%
