001  00001 |Loss: 0.538 | Acc: 79.688% 
001  00002 |Loss: 0.641 | Acc: 79.688% 
001  00003 |Loss: 0.560 | Acc: 81.250% 
001  00004 |Loss: 0.579 | Acc: 80.664% 
001  00005 |Loss: 0.524 | Acc: 82.344% 
001  00006 |Loss: 0.523 | Acc: 82.161% 
001  00007 |Loss: 0.512 | Acc: 82.589% 
001  00008 |Loss: 0.506 | Acc: 83.203% 
001  00009 |Loss: 0.477 | Acc: 83.941% 
001  00010 |Loss: 0.479 | Acc: 84.219% 
001  00011 |Loss: 0.476 | Acc: 84.517% 
001  00012 |Loss: 0.482 | Acc: 84.440% 
001  00013 |Loss: 0.462 | Acc: 85.156% 
001  00014 |Loss: 0.465 | Acc: 85.379% 
001  00015 |Loss: 0.464 | Acc: 85.573% 
001  00016 |Loss: 0.466 | Acc: 85.449% 
001  00017 |Loss: 0.467 | Acc: 85.432% 
001  00018 |Loss: 0.475 | Acc: 85.330% 
001  00019 |Loss: 0.467 | Acc: 85.485% 
001  00020 |Loss: 0.464 | Acc: 85.508% 
001  00021 |Loss: 0.459 | Acc: 85.640% 
001  00022 |Loss: 0.461 | Acc: 85.582% 
001  00023 |Loss: 0.460 | Acc: 85.598% 
001  00024 |Loss: 0.465 | Acc: 85.514% 
001  00025 |Loss: 0.464 | Acc: 85.562% 
001  00026 |Loss: 0.464 | Acc: 85.547% 
001  00027 |Loss: 0.459 | Acc: 85.648% 
001  00028 |Loss: 0.455 | Acc: 85.770% 
001  00029 |Loss: 0.448 | Acc: 85.938% 
001  00030 |Loss: 0.450 | Acc: 85.964% 
001  00031 |Loss: 0.447 | Acc: 86.089% 
001  00032 |Loss: 0.450 | Acc: 85.938% 
001  00033 |Loss: 0.447 | Acc: 85.985% 
001  00034 |Loss: 0.444 | Acc: 86.075% 
001  00035 |Loss: 0.447 | Acc: 85.982% 
001  00036 |Loss: 0.448 | Acc: 85.829% 
001  00037 |Loss: 0.446 | Acc: 85.959% 
001  00038 |Loss: 0.443 | Acc: 85.958% 
001  00039 |Loss: 0.445 | Acc: 85.938% 
001  00040 |Loss: 0.445 | Acc: 85.957% 
001  00041 |Loss: 0.447 | Acc: 85.976% 
001  00042 |Loss: 0.446 | Acc: 85.956% 
001  00043 |Loss: 0.444 | Acc: 85.974% 
001  00044 |Loss: 0.443 | Acc: 86.026% 
001  00045 |Loss: 0.445 | Acc: 86.007% 
001  00046 |Loss: 0.444 | Acc: 86.039% 
001  00047 |Loss: 0.446 | Acc: 85.987% 
001  00048 |Loss: 0.448 | Acc: 85.954% 
001  00049 |Loss: 0.443 | Acc: 86.081% 
001  00050 |Loss: 0.443 | Acc: 86.125% 
001  00051 |Loss: 0.443 | Acc: 86.137% 
001  00052 |Loss: 0.442 | Acc: 86.208% 
001  00053 |Loss: 0.439 | Acc: 86.262% 
001  00054 |Loss: 0.441 | Acc: 86.198% 
001  00055 |Loss: 0.439 | Acc: 86.207% 
001  00056 |Loss: 0.438 | Acc: 86.272% 
001  00057 |Loss: 0.441 | Acc: 86.225% 
001  00058 |Loss: 0.439 | Acc: 86.288% 
001  00059 |Loss: 0.441 | Acc: 86.295% 
001  00060 |Loss: 0.441 | Acc: 86.341% 
001  00061 |Loss: 0.439 | Acc: 86.399% 
001  00062 |Loss: 0.438 | Acc: 86.379% 
001  00063 |Loss: 0.439 | Acc: 86.372% 
001  00064 |Loss: 0.436 | Acc: 86.450% 
001  00065 |Loss: 0.435 | Acc: 86.454% 
001  00066 |Loss: 0.437 | Acc: 86.435% 
001  00067 |Loss: 0.437 | Acc: 86.451% 
001  00068 |Loss: 0.435 | Acc: 86.500% 
001  00069 |Loss: 0.433 | Acc: 86.515% 
001  00070 |Loss: 0.433 | Acc: 86.507% 
001  00071 |Loss: 0.433 | Acc: 86.488% 
001  00072 |Loss: 0.433 | Acc: 86.502% 
001  00073 |Loss: 0.431 | Acc: 86.548% 
001  00074 |Loss: 0.432 | Acc: 86.529% 
001  00075 |Loss: 0.431 | Acc: 86.542% 
001  00076 |Loss: 0.431 | Acc: 86.534% 
001  00077 |Loss: 0.431 | Acc: 86.556% 
001  00078 |Loss: 0.431 | Acc: 86.579% 
001  00079 |Loss: 0.431 | Acc: 86.630% 
001  00080 |Loss: 0.432 | Acc: 86.582% 
001  00081 |Loss: 0.433 | Acc: 86.535% 
