001  00001 |Loss: 1.092 | Acc: 80.000% 
001  00002 |Loss: 1.423 | Acc: 65.000% 
001  00003 |Loss: 1.597 | Acc: 63.333% 
001  00004 |Loss: 1.476 | Acc: 65.000% 
001  00005 |Loss: 1.707 | Acc: 62.000% 
001  00006 |Loss: 2.191 | Acc: 55.000% 
001  00007 |Loss: 2.246 | Acc: 54.286% 
001  00008 |Loss: 2.325 | Acc: 53.750% 
001  00009 |Loss: 2.500 | Acc: 50.000% 
001  00010 |Loss: 2.716 | Acc: 46.000% 
001  00011 |Loss: 2.678 | Acc: 45.455% 
001  00012 |Loss: 2.741 | Acc: 45.000% 
001  00013 |Loss: 2.800 | Acc: 43.077% 
001  00014 |Loss: 2.790 | Acc: 41.429% 
001  00015 |Loss: 2.818 | Acc: 40.667% 
001  00016 |Loss: 2.880 | Acc: 38.750% 
001  00017 |Loss: 3.028 | Acc: 36.471% 
001  00018 |Loss: 3.095 | Acc: 36.111% 
001  00019 |Loss: 3.129 | Acc: 35.263% 
001  00020 |Loss: 3.169 | Acc: 34.000% 
001  00021 |Loss: 3.179 | Acc: 32.857% 
001  00022 |Loss: 3.141 | Acc: 32.273% 
001  00023 |Loss: 3.105 | Acc: 30.870% 
001  00024 |Loss: 3.073 | Acc: 30.417% 
001  00025 |Loss: 3.053 | Acc: 30.000% 
001  00026 |Loss: 3.023 | Acc: 29.231% 
001  00027 |Loss: 3.010 | Acc: 28.519% 
001  00028 |Loss: 2.990 | Acc: 27.857% 
001  00029 |Loss: 3.011 | Acc: 27.241% 
001  00030 |Loss: 3.006 | Acc: 27.333% 
001  00031 |Loss: 2.987 | Acc: 27.097% 
001  00032 |Loss: 2.968 | Acc: 26.875% 
001  00033 |Loss: 2.945 | Acc: 26.667% 
001  00034 |Loss: 2.920 | Acc: 26.471% 
001  00035 |Loss: 2.897 | Acc: 26.571% 
001  00036 |Loss: 2.870 | Acc: 26.111% 
001  00037 |Loss: 2.859 | Acc: 25.676% 
001  00038 |Loss: 2.838 | Acc: 25.789% 
001  00039 |Loss: 2.820 | Acc: 25.641% 
001  00040 |Loss: 2.804 | Acc: 25.000% 
001  00041 |Loss: 2.782 | Acc: 24.878% 
001  00042 |Loss: 2.769 | Acc: 25.000% 
001  00043 |Loss: 2.752 | Acc: 24.884% 
001  00044 |Loss: 2.741 | Acc: 24.545% 
001  00045 |Loss: 2.728 | Acc: 24.222% 
001  00046 |Loss: 2.722 | Acc: 24.130% 
001  00047 |Loss: 2.706 | Acc: 23.830% 
001  00048 |Loss: 2.698 | Acc: 23.750% 
001  00049 |Loss: 2.687 | Acc: 24.082% 
001  00050 |Loss: 2.682 | Acc: 23.800% 
001  00051 |Loss: 2.687 | Acc: 23.529% 
001  00052 |Loss: 2.680 | Acc: 23.654% 
001  00053 |Loss: 2.672 | Acc: 23.774% 
001  00054 |Loss: 2.665 | Acc: 23.333% 
001  00055 |Loss: 2.656 | Acc: 23.455% 
001  00056 |Loss: 2.644 | Acc: 23.214% 
001  00057 |Loss: 2.642 | Acc: 22.807% 
001  00058 |Loss: 2.633 | Acc: 22.586% 
001  00059 |Loss: 2.627 | Acc: 22.542% 
001  00060 |Loss: 2.621 | Acc: 22.500% 
001  00061 |Loss: 2.618 | Acc: 22.131% 
001  00062 |Loss: 2.610 | Acc: 21.935% 
001  00063 |Loss: 2.601 | Acc: 21.746% 
001  00064 |Loss: 2.595 | Acc: 21.562% 
001  00065 |Loss: 2.583 | Acc: 22.000% 
001  00066 |Loss: 2.574 | Acc: 22.121% 
001  00067 |Loss: 2.571 | Acc: 21.940% 
001  00068 |Loss: 2.565 | Acc: 21.765% 
001  00069 |Loss: 2.555 | Acc: 21.884% 
001  00070 |Loss: 2.550 | Acc: 21.571% 
001  00071 |Loss: 2.545 | Acc: 21.549% 
001  00072 |Loss: 2.536 | Acc: 21.667% 
001  00073 |Loss: 2.535 | Acc: 21.507% 
001  00074 |Loss: 2.526 | Acc: 21.757% 
001  00075 |Loss: 2.521 | Acc: 21.733% 
001  00076 |Loss: 2.513 | Acc: 21.842% 
001  00077 |Loss: 2.506 | Acc: 21.948% 
001  00078 |Loss: 2.500 | Acc: 21.795% 
001  00079 |Loss: 2.496 | Acc: 21.772% 
001  00080 |Loss: 2.492 | Acc: 21.750% 
001  00081 |Loss: 2.487 | Acc: 21.728% 
001  00082 |Loss: 2.480 | Acc: 21.707% 
001  00083 |Loss: 2.474 | Acc: 21.687% 
001  00084 |Loss: 2.469 | Acc: 21.667% 
001  00085 |Loss: 2.460 | Acc: 22.000% 
001  00086 |Loss: 2.458 | Acc: 21.977% 
001  00087 |Loss: 2.451 | Acc: 21.954% 
001  00088 |Loss: 2.446 | Acc: 21.932% 
001  00089 |Loss: 2.439 | Acc: 21.910% 
001  00090 |Loss: 2.434 | Acc: 21.778% 
001  00091 |Loss: 2.428 | Acc: 21.978% 
001  00092 |Loss: 2.425 | Acc: 21.848% 
001  00093 |Loss: 2.423 | Acc: 21.935% 
001  00094 |Loss: 2.418 | Acc: 22.021% 
001  00095 |Loss: 2.417 | Acc: 21.895% 
001  00096 |Loss: 2.415 | Acc: 21.771% 
001  00097 |Loss: 2.408 | Acc: 22.062% 
001  00098 |Loss: 2.403 | Acc: 21.939% 
001  00099 |Loss: 2.397 | Acc: 22.020% 
001  00100 |Loss: 2.394 | Acc: 22.000% 
002  00101 |Loss: 1.867 | Acc: 20.000% 
002  00102 |Loss: 1.985 | Acc: 30.000% 
002  00103 |Loss: 1.938 | Acc: 26.667% 
002  00104 |Loss: 1.894 | Acc: 30.000% 
002  00105 |Loss: 1.921 | Acc: 26.000% 
002  00106 |Loss: 1.928 | Acc: 26.667% 
002  00107 |Loss: 1.926 | Acc: 24.286% 
002  00108 |Loss: 1.916 | Acc: 22.500% 
002  00109 |Loss: 1.893 | Acc: 23.333% 
002  00110 |Loss: 1.900 | Acc: 21.000% 
002  00111 |Loss: 1.927 | Acc: 20.909% 
002  00112 |Loss: 1.944 | Acc: 20.000% 
002  00113 |Loss: 1.929 | Acc: 21.538% 
002  00114 |Loss: 1.934 | Acc: 20.714% 
002  00115 |Loss: 1.946 | Acc: 20.667% 
002  00116 |Loss: 1.935 | Acc: 21.250% 
002  00117 |Loss: 1.961 | Acc: 21.176% 
002  00118 |Loss: 1.968 | Acc: 20.556% 
002  00119 |Loss: 1.973 | Acc: 21.053% 
002  00120 |Loss: 1.954 | Acc: 23.000% 
002  00121 |Loss: 1.976 | Acc: 22.381% 
002  00122 |Loss: 1.985 | Acc: 22.727% 
002  00123 |Loss: 1.997 | Acc: 22.174% 
002  00124 |Loss: 1.986 | Acc: 22.500% 
002  00125 |Loss: 1.970 | Acc: 24.000% 
002  00126 |Loss: 1.961 | Acc: 25.000% 
002  00127 |Loss: 1.961 | Acc: 24.444% 
002  00128 |Loss: 1.960 | Acc: 25.000% 
002  00129 |Loss: 1.960 | Acc: 24.828% 
002  00130 |Loss: 1.964 | Acc: 25.000% 
002  00131 |Loss: 1.961 | Acc: 24.516% 
002  00132 |Loss: 1.969 | Acc: 23.750% 
002  00133 |Loss: 1.958 | Acc: 24.242% 
002  00134 |Loss: 1.958 | Acc: 23.824% 
002  00135 |Loss: 1.960 | Acc: 23.714% 
002  00136 |Loss: 1.963 | Acc: 24.167% 
002  00137 |Loss: 1.956 | Acc: 24.595% 
